# 20230817_M6.1_ElCalvario median gmf, Stations:None, gmlt:Adjusted, Rupture:GFZ
custom_site_id,lon,lat,AbrahamsonEtAl2014,AkkarEtAlRjb2014,BooreEtAl2014,CampbellBozorgnia2014,CauzziEtAl2014,ChiouYoungs2014
t_0,-71.89413,2.17577,0.0029158536,0.0036189808,0.0026552356,0.0029282207,0.004695506,0.0031815455
t_1,-71.8043,2.17577,0.0031077496,0.0038462696,0.0029259606,0.003259689,0.0049538943,0.0034326091
t_10,-71.8043,2.26554,0.00233798,0.0030025998,0.0020019258,0.0025190804,0.0040491954,0.0024947089
t_100,-71.89413,6.11723,0.0032590756,0.0034462132,0.0027972895,0.0034817308,0.004794096,0.0034813315
t_1000,-72.52295,3.25253,0.012968679,0.007918393,0.012049982,0.01236355,0.011532563,0.013501086
t_1001,-72.16363,3.25253,0.009733435,0.00668782,0.009256279,0.009368341,0.009463791,0.010507699
t_1002,-72.34329,3.25253,0.009279414,0.006262705,0.008287828,0.009346966,0.0091381315,0.009669118
t_1003,-72.52295,3.34221,0.015226305,0.008786986,0.014443245,0.014533052,0.012947862,0.015857028
t_1004,-72.25346,3.34221,0.011578395,0.007403541,0.011045655,0.011134006,0.0106425965,0.012377714
t_1005,-72.34329,3.34221,0.012094361,0.0075952625,0.011358061,0.011421861,0.010967164,0.01275416
t_1006,-72.70262,3.34221,0.018291017,0.009930782,0.017302928,0.017468086,0.0148870405,0.018687103
t_1007,-72.61278,3.34221,0.0138398055,0.008159508,0.012455309,0.013808453,0.012157056,0.0140108075
t_1008,-72.43312,3.34221,0.015822496,0.008732571,0.0157087,0.01582295,0.013321258,0.016968504
t_1009,-72.16363,3.34221,0.007831074,0.0055836295,0.006900803,0.0080353925,0.0081500495,0.008190305
t_101,-71.53481,6.11723,0.0038626601,0.004249096,0.003733617,0.0040937457,0.0055974317,0.0043189647
t_1010,-72.34329,3.43188,0.014261857,0.008377836,0.013766891,0.013864321,0.012335028,0.015121572
t_1011,-72.70262,3.43188,0.018520381,0.01006832,0.017076956,0.01786095,0.015109331,0.01854173
t_1012,-72.25346,3.43188,0.01213689,0.0076181763,0.011501745,0.0115767885,0.010994368,0.012873148
t_1013,-72.61278,3.43188,0.018801203,0.010069248,0.01795517,0.018136842,0.015191022,0.01929271
t_1014,-72.52295,3.43188,0.013707376,0.008108101,0.012341998,0.013665953,0.012068743,0.013894111
t_1015,-72.43312,3.43188,0.015298368,0.008795154,0.014615359,0.014711442,0.012987606,0.016006162
t_1016,-72.16363,3.43188,0.011062688,0.0072045443,0.010501164,0.010588294,0.01031187,0.01182766
t_1017,-72.61278,3.52155,0.0203422,0.010643609,0.019360028,0.019605668,0.016171051,0.020658484
t_1018,-72.70262,3.52155,0.022080842,0.011333553,0.02081871,0.021163953,0.01730273,0.022078069
t_1019,-72.25346,3.52155,0.0139109,0.00824342,0.01345318,0.013550688,0.0121161165,0.014798115
t_102,-71.26531,6.11723,0.0030726446,0.003862564,0.0029472327,0.0033201643,0.004994592,0.0034156167
t_1020,-72.6577,3.52155,0.022129185,0.011191146,0.021266745,0.02159206,0.017281631,0.022449138
t_1021,-72.74753,3.52155,0.023057545,0.011715453,0.021655638,0.022067236,0.017941644,0.02288184
t_1022,-72.34329,3.52155,0.015040637,0.008685753,0.014429404,0.014526677,0.012823655,0.015807254
t_1023,-72.79245,3.52155,0.019900521,0.010564322,0.017688604,0.020288957,0.016210435,0.019230751
t_1024,-72.52295,3.52155,0.019169003,0.010098548,0.01856064,0.018751498,0.0154045485,0.019837337
t_1025,-72.43312,3.52155,0.01565116,0.00895961,0.014714036,0.014808246,0.013227476,0.016156362
t_1026,-72.16363,3.52155,0.011812821,0.007494185,0.011210505,0.0112887435,0.010788903,0.012566482
t_1027,-72.70262,3.56638,0.02396545,0.011909949,0.022851245,0.02329762,0.018470217,0.02396656
t_1028,-72.6577,3.56638,0.018019803,0.009820949,0.016115563,0.018181171,0.014929907,0.017682798
t_1029,-72.61278,3.56638,0.021100765,0.010930578,0.020038152,0.020322103,0.016657233,0.021314185
t_103,-71.8043,6.11723,0.0031760016,0.003466684,0.0027540326,0.0033500865,0.004754368,0.0034071384
t_1030,-72.74753,3.56638,0.025819672,0.012475039,0.024774667,0.025338095,0.019641668,0.025746824
t_1031,-72.79245,3.56638,0.028407808,0.0130789885,0.027707476,0.028418235,0.02128692,0.02841336
t_1032,-72.52295,3.61121,0.018762022,0.010135804,0.017586527,0.01777464,0.015208235,0.018991075
t_1033,-72.43312,3.61121,0.018777292,0.009926298,0.018258594,0.018435894,0.015156226,0.019532872
t_1034,-72.16363,3.61121,0.012562071,0.0077812388,0.011915836,0.011989581,0.011264163,0.013296058
t_1035,-72.70262,3.61121,0.026167255,0.012460122,0.025346246,0.025910124,0.019846123,0.026252482
t_1036,-72.6577,3.61121,0.02152846,0.01121393,0.019937446,0.020650277,0.017022304,0.021288522
t_1037,-72.61278,3.61121,0.023197068,0.011485084,0.022437079,0.022812452,0.017948493,0.023537824
t_1038,-72.74753,3.61121,0.025797507,0.012671361,0.024327146,0.024929231,0.01968685,0.02537757
t_1039,-72.34329,3.61121,0.012702561,0.00768491,0.011394722,0.012728332,0.011415682,0.012933
t_104,-72.0738,6.20654,0.002973296,0.0031043843,0.0024523656,0.0033349884,0.004478936,0.0031251672
t_1040,-72.25346,3.61121,0.014483342,0.00848447,0.01388393,0.013974611,0.01247425,0.015261861
t_1041,-73.15177,5.49163,0.01628182,0.009077078,0.014322449,0.017095758,0.01392217,0.01588503
t_1042,-73.24161,5.49163,0.013827235,0.0077908337,0.011489735,0.01564736,0.012487983,0.013121367
t_1043,-72.88228,5.49163,0.010392917,0.0061968006,0.0083715925,0.011984533,0.010058179,0.009966663
t_1044,-72.88228,5.58105,0.010284131,0.0063158935,0.0085911285,0.01139523,0.009919538,0.010141481
t_1045,-73.06194,5.58105,0.009603625,0.005799631,0.007617286,0.011360261,0.009531089,0.009145135
t_1046,-72.79245,5.58105,0.009267274,0.0058220946,0.007632568,0.010400886,0.00920466,0.009140384
t_1047,-73.15177,5.58105,0.0140625425,0.0081416685,0.012339763,0.014784555,0.012428324,0.013903598
t_1048,-72.97211,5.58105,0.010771019,0.0065109646,0.0089811385,0.012001277,0.010274952,0.010546915
t_1049,-73.24161,5.58105,0.014400394,0.0082683535,0.0125975795,0.01522894,0.012674226,0.014164884
t_105,-71.71447,6.20654,0.0037495864,0.004141933,0.0035198564,0.0038207974,0.0054166894,0.0041430923
t_1050,-73.06194,5.67045,0.008917426,0.005569086,0.007179746,0.010322756,0.0089794025,0.0086470945
t_1051,-72.79245,5.67045,0.009670451,0.006225068,0.008341811,0.010272411,0.0094374865,0.009815524
t_1052,-73.15177,5.67045,0.013188007,0.00786217,0.01176849,0.013504631,0.011776724,0.013286117
t_1053,-73.24161,5.67045,0.013648098,0.008052928,0.012181078,0.013982571,0.012084865,0.013704159
t_1054,-72.97211,5.67045,0.014959491,0.008738495,0.014098414,0.014126112,0.012795115,0.01549838
t_1055,-72.88228,5.67045,0.007701894,0.0049851257,0.006101897,0.009045638,0.008090981,0.0074947714
t_1056,-73.06194,5.75983,0.009510229,0.0060949987,0.0081174,0.010304131,0.009344148,0.009570346
t_1057,-73.15177,5.75983,0.010470952,0.0065853884,0.0090857325,0.011120288,0.009992622,0.01056834
t_1058,-73.24161,5.75983,0.011685,0.007203911,0.010353402,0.012067357,0.010782748,0.011848952
t_1059,-72.97211,5.75983,0.014890244,0.008625683,0.014532567,0.014533339,0.012728683,0.015814627
t_106,-71.98396,6.20654,0.0034324566,0.003616506,0.0029931096,0.0035907063,0.0049667046,0.0036878926
t_1060,-72.88228,5.75983,0.0065557095,0.0044444767,0.005135579,0.0078231925,0.007235285,0.00641507
t_1061,-73.06194,5.8492,0.0066399192,0.004526634,0.005260029,0.0078107305,0.007286388,0.00653307
t_1062,-73.15177,5.8492,0.007382209,0.0049378583,0.0059745735,0.008472253,0.0078337,0.0073087336
t_1063,-72.97211,5.8492,0.0058714533,0.0041050874,0.0045551346,0.007119525,0.0067164865,0.005756165
t_1064,-73.24161,5.8492,0.007799441,0.0051556453,0.0063691563,0.008873163,0.008141002,0.0077357017
t_1065,-72.88228,5.8492,0.0073594893,0.00510131,0.006177349,0.008101989,0.007813926,0.0074816393
t_1066,-72.97211,5.93856,0.005127032,0.0037539345,0.0039525833,0.0062650833,0.006128984,0.0050578904
t_1067,-73.06194,5.93856,0.008056119,0.0055795475,0.006998297,0.008509186,0.008306923,0.008318237
t_1068,-72.88228,5.93856,0.0060933577,0.0044384035,0.0049886853,0.00689311,0.0068729874,0.006174317
t_1069,-73.24161,5.93856,0.00552522,0.0039109075,0.004242497,0.0068086274,0.006455294,0.005406773
t_107,-71.62464,6.20654,0.0038134572,0.0042232345,0.0036660673,0.0040170057,0.0055431994,0.0042542885
t_1070,-73.15177,5.93856,0.008760907,0.005955349,0.007717593,0.009084867,0.008792797,0.009070036
t_1071,-72.88228,6.0279,0.004141804,0.003286383,0.0031410407,0.005179604,0.0053300764,0.004104723
t_1072,-73.06194,6.0279,0.004225926,0.0034443731,0.0031644267,0.005391337,0.0054041264,0.0042046527
t_1073,-73.24161,6.0279,0.0056212763,0.0040923534,0.004457135,0.0065838504,0.0065007117,0.005605514
t_1074,-73.15177,6.0279,0.0053580985,0.003949138,0.004220849,0.006331102,0.006297951,0.0053390795
t_1075,-72.97211,6.0279,0.007192082,0.005261533,0.0062982636,0.007505629,0.007700663,0.0075236093
t_1076,-73.06194,6.11723,0.0043183835,0.0034053044,0.0033336594,0.0052485666,0.0054724547,0.0043115946
t_1077,-73.15177,6.11723,0.004330229,0.0033864314,0.0033244623,0.005310941,0.005483102,0.0043094796
t_1078,-72.97211,6.11723,0.0042277793,0.0033756902,0.0032713127,0.0051173205,0.0053985743,0.0042317472
t_1079,-72.88228,6.11723,0.0040151733,0.0032646207,0.0030947495,0.0048869154,0.0052240775,0.0040219505
t_108,-71.35514,6.20654,0.0030483427,0.0038437,0.0029059264,0.0032676845,0.004953861,0.0033807298
t_1080,-73.24161,6.11723,0.007494586,0.0054912367,0.0066779186,0.007636306,0.00791953,0.007900733
t_1081,-72.88228,6.20654,0.004003163,0.0033684794,0.0031618222,0.004699021,0.0052278754,0.004064443
t_1082,-73.15177,6.20654,0.004205406,0.0034130672,0.003288668,0.0050071985,0.0053832103,0.004235259
t_1083,-73.06194,6.20654,0.0042544524,0.003477272,0.0033586249,0.0049983533,0.0054278825,0.0043050162
t_1084,-72.97211,6.20654,0.0035421143,0.0029923874,0.0026916673,0.0044045323,0.004826117,0.0035447031
t_1085,-73.24161,6.20654,0.0044276873,0.0035483,0.0034914578,0.005211645,0.005564913,0.0044677244
t_1086,-73.24161,6.29584,0.005015538,0.00413953,0.0042474414,0.0054576276,0.006097948,0.0052513457
t_1087,-72.97211,6.29584,0.0035072414,0.0030699333,0.0027221362,0.0042156875,0.004809266,0.003548854
t_1088,-73.06194,6.29584,0.0040410697,0.00345289,0.0032431402,0.0046666563,0.0052784323,0.0041411202
t_1089,-73.15177,6.29584,0.0039260527,0.0033304759,0.003098186,0.0046131094,0.005165154,0.0039878045
t_109,-71.89413,6.20654,0.0041781394,0.004320677,0.0039033047,0.0041742637,0.00570982,0.0046062088
