ID_0,NAME_0,FATALITIES,FATALITIES_GROUND_SHAKING,INJURIES,LIGHT_INJURY,BAD_INJURY,INJURIES_LIGHT ,INJURIES_SEVERE ,DISPLACED_POPULATION,AFFECTED_POPULATION,AFFECTED_UNITS,DAMAGED_UNITS,HOMELESS,COLLAPSED_UNITS,LIGHT,MODERATE,HEAVY,DS1_SLIGHT ,DS2_MODERATE ,DS3_EXTENSIVE,UNIT_TYPES,ECONOMIC_LOSSES,INSURED_LOSSES,CURRENCY,INDUCED_EFFECTS,FLAG,REFERENCE,COMMENTS
IDN,Indonesia,5749,,38568,,,,,600000,,,451000,,>127000,,,,,,,Buildings,3100000000,,USD,,,USGS,
IDN,Indonesia,5749,,38568,,,,,,,,,,,,,,,,,,,,,,,UTSU,
IDN,Indonesia,5749,,38568,,,,,,,,127000,,127000,,,,,,,Buildings,3100000000,,USD,,,NOAA,
IDN,Indonesia,5778,,137883,,,,,,2340745,,,699295,,,,,,,,,3100000000,40000000,USD,Ground movement,,EM-DAT,"Geo Locations: Bantul, Boyolali, Gunungkidul, Klaten, Kota Klaten, Kota Yogyakarta, Kulonprogo, Magelang, Purworejo, Sleman (Adm2)."
IDN,Indonesia,5700-5778,,38658-137883,,,,,600000-699295,,,,,,,,,,,,,,,,,,PAGER-CAT,
IDN,Indonesia,,,,,,,,,,,,,,,,,,,,,29100000000000,,RP,,,CGI_2006 ,
IDN,Indonesia,,,,,,,,,,,,,,,,,,,,,3100000000,,USD,,,CGI_2006 ,
IDN,Indonesia,,,,,,,,,,,260000,,154000,,,,,,,Buildings,,,,,,EERI_Report,
IDN,Indonesia,5176,,>40000,,,,,600000,,,260000,,154000,,,,,,,Buildings,3100000000,,USD,,,Learning_From_Earthquakes,
IDN,Indonesia,5749,5749,,,,,,,,,,,,,,,,,,,,,,,,CEQID,
IDN,Indonesia,5751,,,7862,29473,7862,29473,,,,,,,273679,190843,145929,273679,190843,145929,Buildings,,,,,,Idham_And_Mohd_2018,
IDN,Indonesia,5716,,37927,,,,,,,,,,,167168,116211,75315,167168,116211,75315,,,,,,,BAPPENAS_et_al_2006,
IDN,Indonesia,5782,,36299,,,,,,,,390077,,,,,,,,,,,,,,,Prasetya_And_Daryono_eds_2019,
