# 19950117_M6.9_Kobe median gmf, Stations:None, gmlt:GEM, Rupture:USGS
custom_site_id,lon,lat,BooreEtAl2014,ChiouYoungs2014,ZhaoEtAl2016Asc
t_0,130.80826000000002,31.11051,0.00028415545,0.00041712256,0.00059732865
t_1,130.71842000000004,31.11051,0.00026867664,0.00039538392,0.000567654
t_10,131.16758,31.41766,0.00046571798,0.0006643375,0.0012026195
t_100,131.52691,32.18112,0.0016648103,0.0021249412,0.0020880124
t_1000,132.91930000000002,33.50187,0.006512436,0.0075860713,0.011214634
t_1001,133.00913000000003,33.53931,0.00723745,0.008324026,0.01234835
t_1002,132.96420999999998,33.53931,0.0069510536,0.008034046,0.011901484
t_1003,132.91930000000002,33.53931,0.006675692,0.00775337,0.0114706475
t_1004,132.91930000000002,33.57674,0.006838715,0.007919765,0.0117258625
t_1005,133.00913000000003,33.57674,0.007422284,0.008510153,0.012636117
t_1006,132.96420999999998,33.57674,0.0071246135,0.00821001,0.0121724345
t_1007,133.00913000000003,33.61416,0.011233704,0.012198366,0.017248632
t_1008,133.14387,33.53931,0.008165685,0.009251046,0.013788944
t_1009,133.09896000000003,33.53931,0.0078444425,0.008932365,0.013291636
t_101,131.16758,32.18112,0.0007701435,0.0010691193,0.0014684212
t_1010,133.09896000000003,33.57674,0.008054247,0.0091407485,0.01361657
t_1011,133.05404,33.57674,0.0077319867,0.008820282,0.0131172445
t_1012,133.14387,33.57674,0.008389302,0.009471605,0.0141344
t_1013,133.05404,33.61416,0.007928743,0.009016209,0.013422261
t_1014,133.14387,33.61416,0.008613291,0.009691508,0.014479871
t_1015,133.09896000000003,33.61416,0.008264147,0.009348292,0.013941123
t_1016,133.14387,33.65155,0.008836941,0.009910079,0.014824281
t_1017,133.09896000000003,33.65155,0.008473472,0.009554359,0.014264284
t_1018,133.41337,33.35192,0.0102363685,0.011252825,0.01968405
t_1019,133.32353999999998,33.35192,0.009532722,0.010575399,0.018437607
t_102,131.61674,32.18112,0.0010999475,0.001489587,0.0026098017
t_1020,133.36845,33.35192,0.009879826,0.010910539,0.019052958
t_1021,133.41337,33.38943,0.010589133,0.011588533,0.020305587
t_1022,133.32353999999998,33.38943,0.008452029,0.009529743,0.014231202
t_1023,133.36845,33.38943,0.010212971,0.011229752,0.019641424
t_1024,133.45829000000003,33.38943,0.010975546,0.011954931,0.020986846
t_1025,133.32353999999998,33.42693,0.00872717,0.009801032,0.014655303
t_1026,133.45829000000003,33.42693,0.0097502,0.010786047,0.016225917
t_1027,133.5032,33.42693,0.011776446,0.01270621,0.0223932
t_1028,133.54812000000004,33.42693,0.012208555,0.013106725,0.023148123
t_1029,133.54812000000004,33.4644,0.01264536,0.013510931,0.023913637
t_103,130.71842000000004,32.10506,0.0006079198,0.0008466663,0.0013983566
t_1030,133.5032,33.4644,0.014830671,0.015523925,0.02311604
t_1031,133.54812000000004,33.50187,0.015987108,0.016562859,0.02469535
t_1032,133.86253,33.50187,0.019418783,0.01947347,0.03118476
t_1033,133.63795,33.4644,0.013606017,0.0143783735,0.025568686
t_1034,133.59303,33.4644,0.013114672,0.013940561,0.024731278
t_1035,133.59303,33.50187,0.013589593,0.014374067,0.025560427
t_1036,133.72778,33.50187,0.015159202,0.01578466,0.028286686
t_1037,133.41337,33.42693,0.009399273,0.010448851,0.015688092
t_1038,133.36845,33.42693,0.0123882545,0.013284741,0.020240331
t_1039,133.32353999999998,33.4644,0.009006513,0.010074261,0.015085075
t_104,131.07775000000004,32.10506,0.000686874,0.00096000783,0.0013242391
t_1040,133.45829000000003,33.4644,0.010084887,0.01110616,0.016737314
t_1041,133.41337,33.4644,0.009714419,0.010754747,0.01617084
t_1042,133.36845,33.4644,0.014222315,0.014981614,0.020848237
t_1043,133.45829000000003,33.50187,0.015355009,0.016006006,0.023033785
t_1044,133.36845,33.50187,0.009656284,0.010701803,0.016081845
t_1045,133.32353999999998,33.50187,0.009289817,0.010349327,0.015520154
t_1046,133.41337,33.50187,0.023566913,0.023260942,0.020512864
t_1047,133.63795,33.50187,0.014100324,0.014835763,0.026448019
t_1048,133.68286,33.50187,0.014635775,0.015306098,0.02735697
t_1049,133.59303,33.53931,0.018136539,0.01847235,0.026406528
t_105,130.80826000000002,32.10506,0.0006489393,0.0009005577,0.0014834375
t_1050,133.72778,33.53931,0.029119639,0.027894972,0.027026653
t_1051,133.63795,33.53931,0.022849252,0.022591999,0.023148132
t_1052,133.68286,33.53931,0.023978116,0.023552943,0.023964899
t_1053,133.68286,33.57674,0.02345841,0.023091182,0.024791913
t_1054,133.63795,33.57674,0.020239213,0.02030675,0.028264934
t_1055,133.59303,33.57674,0.028854113,0.027724553,0.025152722
