# 19950117_M6.9_Kobe median gmf, Stations:Seismic, gmlt:GEM, Rupture:GCMT
custom_site_id,lon,lat,BooreEtAl2014,ChiouYoungs2014,ZhaoEtAl2016Asc
m_0,135.1667,34.6833,0.77749395,0.7793201,0.78301615
m_1,135.11670000000004,34.65,0.41502377,0.47600925,0.46449685
m_10,134.95,34.48,0.2116863,0.23857544,0.2883123
m_11,135.31669999999997,34.7333,0.5172659,0.49070096,0.52506745
m_12,135.35000000000002,34.8,0.863379,0.7617032,0.82411253
m_13,134.95,34.55,0.26443323,0.30121773,0.35579154
m_14,135.4167,34.7167,0.34651202,0.3453481,0.34655243
m_16,135.4167,34.7667,0.43787456,0.43803933,0.39994824
m_17,135.4167,34.8167,0.5311742,0.5017883,0.5607422
m_18,135.23329999999999,34.8833,1.0589525,0.6747197,0.7974239
m_2,135.1667,34.6667,0.6501862,0.6269587,0.64860624
m_20,134.8333,34.3333,0.14683248,0.15981399,0.20587379
m_23,135.05,34.6333,0.457419,0.49754113,0.565266
m_24,135.02999999999997,34.71,0.6541966,0.58754975,0.6671149
m_27,135.5,34.6667,0.14850478,0.15253893,0.14924899
m_29,135.75,35.0,0.15449172,0.1540782,0.19307883
m_3,135.2,34.6833,0.6235438,0.60208637,0.63552517
m_32,134.8333,35.5333,0.12567501,0.11754923,0.10682278
m_33,136.25,35.25,0.13565487,0.1361801,0.13287318
m_34,135.18,34.78,0.5803596,0.5292693,0.5453769
m_37,132.18330000000003,34.15,0.009824529,0.014453533,0.016672632
m_4,135.3333,34.7167,0.45136288,0.42207167,0.42966413
m_41,135.8333,34.6833,0.11046745,0.11603704,0.14617589
m_42,135.09000000000003,34.0903,0.08296699,0.09089338,0.14433423
m_43,134.05,34.3333,0.11383487,0.11232777,0.10250765
m_44,133.9167,34.65,0.0846254,0.084092654,0.08910206
m_46,133.5,33.75,0.01967684,0.026774809,0.0325162
m_5,135.14999999999998,34.6667,0.6887304,0.6854985,0.6948309
m_6,135.19,34.67,0.614188,0.6200381,0.5957951
m_7,135.2167,34.7,0.60592854,0.5755206,0.6113318
m_8,135.26670000000001,34.7167,0.5112947,0.47207627,0.5008964
m_9,134.98329999999999,34.6333,0.38713562,0.43393454,0.57018167
s_15,135.18,34.6833,0.821,0.821,0.821
s_19,135.344,34.809,0.694,0.694,0.694
s_21,135.139,34.649,0.616,0.616,0.616
s_22,134.964,34.664,0.509,0.509,0.509
s_25,135.40800000000002,34.718,0.36347,0.36347,0.36347
s_26,134.84299999999996,34.764,0.345,0.345,0.345
s_28,135.40800000000002,34.48,0.29381,0.29381,0.29381
s_30,135.5,34.69,0.243,0.243,0.243
s_31,135.519,34.636,0.23452,0.23452,0.23452
s_35,135.474,34.687,0.21558,0.21558,0.21558
s_36,135.572,34.68,0.21385,0.21385,0.21385
s_38,135.61199999999997,34.68,0.15764,0.15764,0.15764
s_39,135.469,34.564,0.15716,0.15716,0.15716
s_40,136.247,35.2733,0.148,0.148,0.148
s_45,135.659,34.439,0.10826,0.10826,0.10826
s_47,133.91999999999996,34.66,0.081,0.081,0.081
s_48,135.51999999999998,34.6783,0.079,0.079,0.079
s_49,134.24,35.485,0.076,0.076,0.076
s_50,135.32,35.448,0.07,0.07,0.07
s_51,136.22699999999998,36.0533,0.042,0.042,0.042
s_52,135.20100000000002,34.67,0.56167,0.56167,0.56167
s_53,135.24,34.725,0.38022,0.38022,0.38022
t_0,130.80826000000002,31.11051,0.00041713292,0.00078729406,0.00089938415
t_1,130.71842000000004,31.11051,0.00039513636,0.0007477433,0.0008563302
t_10,131.16758,31.41766,0.00068274856,0.0012529354,0.0018091766
t_100,131.52691,32.18112,0.0024666549,0.0040441286,0.0031743292
t_1000,132.91930000000002,33.50187,0.009779547,0.014608155,0.017150946
t_1001,133.00913000000003,33.53931,0.0108471615,0.01600169,0.018846268
t_1002,132.96420999999998,33.53931,0.010445825,0.015477614,0.018206313
t_1003,132.91930000000002,33.53931,0.010057849,0.014967944,0.017586302
t_1004,132.91930000000002,33.57674,0.010338671,0.015328906,0.018024154
t_1005,133.00913000000003,33.57674,0.011162836,0.016402673,0.019336047
t_1006,132.96420999999998,33.57674,0.010743549,0.015858026,0.01866936
t_1007,133.00913000000003,33.61416,0.016960736,0.023441099,0.02646598
t_1008,133.14387,33.53931,0.012132509,0.017658176,0.020887421
t_1009,133.09896000000003,33.53931,0.011690354,0.017092286,0.020186601
t_101,131.16758,32.18112,0.0011516094,0.0020573041,0.0022514039
t_1010,133.09896000000003,33.57674,0.012045293,0.017538264,0.020734785
t_1011,133.05404,33.57674,0.011596608,0.01696268,0.020024305
t_1012,133.14387,33.57674,0.012508885,0.018128976,0.021467464
t_1013,133.05404,33.61416,0.011934875,0.017387103,0.020546153
t_1014,133.14387,33.61416,0.0128901815,0.018601986,0.022053095
t_1015,133.09896000000003,33.61416,0.012404421,0.017986218,0.021287568
t_1016,133.14387,33.65155,0.013275518,0.019076463,0.022642922
t_1017,133.09896000000003,33.65155,0.012766897,0.018435286,0.021843618
t_1018,133.41337,33.35192,0.014732602,0.020877244,0.028968584
t_1019,133.32353999999998,33.35192,0.013805834,0.019730575,0.027302193
t_102,131.61674,32.18112,0.0016257933,0.0028343727,0.003958729
t_1020,133.36845,33.35192,0.014264598,0.020299867,0.028128013
t_1021,133.41337,33.38943,0.015275593,0.021542931,0.029941523
t_1022,133.32353999999998,33.38943,0.012268596,0.017831251,0.02111573
t_1023,133.36845,33.38943,0.014780332,0.0209359,0.029054163
t_1024,133.45829000000003,33.38943,0.015780656,0.02215827,0.03084448
t_1025,133.32353999999998,33.42693,0.012699855,0.018374952,0.02179086
t_1026,133.45829000000003,33.42693,0.014050585,0.020056881,0.023895467
t_1027,133.5032,33.42693,0.016914127,0.023526106,0.03286413
t_1028,133.54812000000004,33.42693,0.017469548,0.02419006,0.033850662
t_1029,133.54812000000004,33.4644,0.018141348,0.024987744,0.035041273
t_103,130.71842000000004,32.10506,0.00091648014,0.00164246,0.0021612626
t_1030,133.5032,33.4644,0.021365106,0.028683467,0.03399559
t_1031,133.54812000000004,33.50187,0.023008429,0.030559365,0.036264792
t_1032,133.86253,33.50187,0.026994042,0.03503802,0.044438932
t_1033,133.63795,33.4644,0.019351711,0.026410935,0.037179865
t_1034,133.59303,33.4644,0.018741742,0.025695922,0.03610313
t_1035,133.59303,33.50187,0.019472074,0.026551427,0.037392046
t_1036,133.72778,33.50187,0.02145061,0.028838743,0.040870454
t_1037,133.41337,33.42693,0.013590563,0.019487534,0.02318031
t_1038,133.36845,33.42693,0.017978577,0.02474242,0.030002236
t_1039,133.32353999999998,33.4644,0.013141046,0.01892774,0.022479892
t_104,131.07775000000004,32.10506,0.0010268147,0.0018472251,0.0020303344
t_1040,133.45829000000003,33.4644,0.014569872,0.020695405,0.024700861
t_1041,133.41337,33.4644,0.01408256,0.020096293,0.023945095
t_1042,133.36845,33.4644,0.020701552,0.027864894,0.030971127
