FIELD,DESCRIPTION
Year,2010
Country,New Zealand
Region,Oceania
Event Name,Canterbury 2010
Local Date,04/09/2010
Local Time,04:35:47
Longitude (decimal degrees),171.83
Latitude (decimal degrees),-43.522
Depth (km),12
Mw,7.0
Max Intensity (MMI),VIII
Fault mechanism,Strike slip
Tectonic region type,Active shallow crustal
Fatalities,~0
Injured,2-2256
Displaced population,
Affected population,~300002
Affected units,
Damaged units,
Collapsed units,
Economic losses,6500 M USD
Insured losses,2000-5000 M USD
Earthquake-triggered effects,
USGS event ID,usp000hk46
Wikipedia page,https://en.wikipedia.org/wiki/2010 Canterbury earthquake
