# 19780916_M7.3_Tabas median gmf, Stations:Seismic, gmlt:USGS, Rupture:Niazi_And_Kanamori_1981
custom_site_id,lon,lat,AbrahamsonEtAl2014,CampbellBozorgnia2014,ChiouYoungs2014
m_100,56.76213,33.70142,0.31432006,0.2669634,0.3037532
m_101,56.78848,33.73223,0.31334853,0.2635621,0.3036201
m_102,56.8821,33.8282,0.26048496,0.23445912,0.24841395
m_103,56.982,33.02844,0.14541318,0.14524412,0.13385445
m_104,56.91933,33.01659,0.1703531,0.14933929,0.16328648
m_105,56.67772,33.71564,0.23867509,0.20736164,0.22894341
m_106,56.64834,33.6564,0.2460685,0.20312698,0.23748489
m_107,56.64823,33.29858,0.1706178,0.14942887,0.16491424
m_108,56.61398,33.45853,0.18345934,0.16802418,0.17509183
m_109,57.12946,33.77962,0.22437175,0.24537496,0.2159868
m_110,57.42479,33.37796,0.35455364,0.3330758,0.37042606
m_111,57.51184,33.30213,0.3866635,0.38973257,0.39446378
m_112,57.20219,33.75948,0.22798823,0.23573692,0.22883068
m_113,57.39298,33.42891,0.2955349,0.29855812,0.2996849
m_114,57.51631,33.32464,0.36789078,0.35862225,0.3865709
m_115,57.12085,33.80806,0.21927367,0.23155051,0.2107862
m_116,57.23418,33.75,0.1996299,0.21841447,0.20419738
m_117,57.23585,33.79858,0.20692609,0.20230022,0.21530902
m_118,56.50162,33.74171,0.15538709,0.14053865,0.15011123
m_119,57.24463,33.80687,0.21408524,0.19915403,0.22756086
m_120,57.25041,33.79621,0.20079029,0.19696358,0.21044846
m_121,57.56518,33.17773,0.3193761,0.30841815,0.32521072
m_122,57.27236,33.82109,0.20138583,0.18253565,0.21626726
m_123,57.31641,33.57109,0.23758215,0.2570977,0.24279603
m_124,57.35271,33.54502,0.27653664,0.26577556,0.2895115
m_125,57.29044,33.62559,0.26689723,0.26161522,0.2743743
m_126,57.226,33.87559,0.18881994,0.17663266,0.19750583
m_127,57.30781,33.6019,0.26822174,0.2622727,0.27638796
m_128,57.19543,33.88033,0.1894914,0.18097416,0.19385819
m_129,57.22609,33.89692,0.18183245,0.16993512,0.19023408
m_130,57.38926,33.5782,0.2663938,0.24334942,0.29648983
m_131,57.37917,33.60308,0.26404783,0.23812158,0.29523855
m_132,57.40678,33.58768,0.26197222,0.23506375,0.2964697
m_133,57.35636,33.71564,0.20863086,0.19648725,0.23319201
m_134,57.35787,33.7263,0.20176387,0.19081807,0.22546831
m_135,57.17524,33.92536,0.18847692,0.17337357,0.1932019
m_136,57.37377,33.70024,0.2197907,0.20000687,0.24844652
m_137,57.22044,33.93839,0.18144993,0.16368698,0.19012997
m_138,57.37512,33.67417,0.23042527,0.21047042,0.2602703
m_139,57.56476,33.08175,0.29433987,0.28791246,0.28449404
m_140,57.20883,33.94668,0.18279438,0.16418675,0.19090813
m_141,57.55585,33.04147,0.25446638,0.27217638,0.24324653
m_142,57.6157,33.07583,0.31283483,0.2811799,0.32413986
m_143,57.02965,33.93365,0.22415172,0.19058459,0.2194677
m_144,56.75227,33.77962,0.26075503,0.21913484,0.2507113
m_145,56.87949,33.8981,0.20198408,0.1881728,0.18843956
m_146,56.52131,33.58057,0.169428,0.15194654,0.16331486
m_147,56.78944,33.95379,0.17715006,0.15918681,0.16848175
m_148,56.51661,33.50592,0.16502778,0.14755055,0.15950744
m_149,56.51101,33.55569,0.17071196,0.1503216,0.16515225
m_150,56.51053,33.44668,0.15305492,0.1393603,0.14800629
m_151,56.54383,33.7346,0.17066634,0.1521912,0.16436628
m_152,56.49898,33.47038,0.15046811,0.13808249,0.14532119
m_153,56.49634,33.53199,0.15658548,0.14240716,0.15119511
m_154,57.55984,33.2891,0.34863123,0.33406135,0.37049028
m_155,56.54567,33.1564,0.13134491,0.11803214,0.12992193
m_156,57.57446,33.30095,0.33861008,0.31339425,0.3667707
m_157,56.52525,33.81635,0.1565033,0.13975824,0.15150872
m_158,56.64235,33.95261,0.15782514,0.14035964,0.15235256
m_159,56.55906,33.88744,0.12864268,0.1258345,0.1207774
m_160,57.27682,33.84242,0.18479358,0.1712919,0.19786316
m_161,57.30009,33.83412,0.17585747,0.16437432,0.18918522
m_162,57.31018,33.81043,0.17558177,0.16800189,0.19015522
m_163,57.3088,33.8282,0.1672574,0.16085376,0.17989819
m_164,57.30595,33.8436,0.16850734,0.15833955,0.18067932
m_165,57.32485,33.83531,0.16127624,0.15279776,0.17313765
m_166,57.26256,33.91114,0.17363825,0.158828,0.18369068
m_167,57.26409,33.92773,0.17045127,0.15567322,0.1801208
m_169,57.30934,33.95261,0.15654226,0.1432314,0.16517045
m_170,57.39844,33.68009,0.21958967,0.2009173,0.2504641
m_171,57.22638,33.96327,0.17508581,0.15775546,0.18365687
m_172,57.23669,33.99052,0.1713859,0.15273376,0.18010716
m_173,57.33286,34.00237,0.15951703,0.14080444,0.16800092
m_174,57.23676,34.00592,0.1673421,0.15001252,0.17578152
m_175,57.24991,34.01659,0.16398783,0.14722253,0.17253292
m_176,57.68586,33.13389,0.29649258,0.25581998,0.33155808
m_177,57.21358,34.03318,0.17853501,0.15153559,0.18650033
m_178,57.68432,33.11374,0.3001387,0.25709546,0.33288583
m_179,57.67988,33.09716,0.30300635,0.25920781,0.33283257
m_18,56.94566,33.37678,0.31383783,0.26826015,0.3051061
m_180,57.68108,33.0391,0.3054098,0.25415328,0.32588074
m_181,57.71474,33.07701,0.29260102,0.24690753,0.32470024
m_182,57.69131,33.04858,0.30252022,0.2517314,0.32609588
m_183,57.7308,33.08649,0.28685254,0.24183773,0.32257685
m_184,56.98187,33.99763,0.19640137,0.16761982,0.19141205
m_185,57.66635,33.00118,0.29912084,0.25687358,0.30959466
m_186,57.6795,33.01185,0.29361546,0.25482586,0.30688667
m_187,57.69412,33.02488,0.2901139,0.25182325,0.3078664
m_188,56.99069,34.01659,0.18730173,0.16159059,0.1833109
