# 19780916_M7.3_Tabas median gmf, Stations:Seismic, gmlt:GEM, Rupture:GCMT, Max_dist:25km
custom_site_id,lon,lat,AkkarEtAlRjb2014,BooreEtAl2014,CampbellBozorgnia2014,ZhaoEtAl2006Asc
m_100,56.76213,33.70142,0.39026263,0.42319793,0.38879856,0.61732477
m_101,56.78848,33.73223,0.35035568,0.3923792,0.35598084,0.5560099
m_102,56.8821,33.8282,0.27373978,0.29089606,0.29221398,0.40275323
m_103,56.982,33.02844,0.2951422,0.26193887,0.34768897,0.44909123
m_104,56.91933,33.01659,0.25683013,0.27929407,0.27671683,0.4611539
m_105,56.67772,33.71564,0.29820636,0.32721007,0.3188413,0.51276064
m_106,56.64834,33.6564,0.33546627,0.38140124,0.33788282,0.60862803
m_107,56.64823,33.29858,0.21654364,0.2519798,0.24169636,0.40182295
m_108,56.61398,33.45853,0.29141268,0.30060333,0.31868464,0.51420975
m_109,57.12946,33.77962,0.17827109,0.17370936,0.22705646,0.28442174
m_110,57.42479,33.37796,0.21210024,0.23061757,0.23180966,0.34581816
m_111,57.51184,33.30213,0.20025839,0.23199713,0.21654749,0.32588333
m_112,57.20219,33.75948,0.15892561,0.16783386,0.19958188,0.25345874
m_113,57.39298,33.42891,0.18615893,0.19034135,0.22049344,0.2720075
m_114,57.51631,33.32464,0.18840112,0.22115837,0.20669457,0.3138168
m_115,57.12085,33.80806,0.17490189,0.17605601,0.21982443,0.27433845
m_116,57.23418,33.75,0.13699971,0.1425083,0.18071307,0.24122553
m_117,57.23585,33.79858,0.14434993,0.16503729,0.17722307,0.2829804
m_118,56.50162,33.74171,0.17157733,0.20302968,0.20190452,0.3370333
m_119,57.24463,33.80687,0.15052803,0.181176,0.17762016,0.27511686
m_120,57.25041,33.79621,0.13962102,0.16060336,0.17228709,0.2762865
m_121,57.56518,33.17773,0.18562336,0.2046019,0.21035543,0.32390258
m_122,57.27236,33.82109,0.14310075,0.1810878,0.16780102,0.25644317
m_123,57.31641,33.57109,0.15668097,0.15704353,0.20070125,0.26212093
m_124,57.35271,33.54502,0.1715022,0.18650754,0.20379989,0.25267988
m_125,57.29044,33.62559,0.17202197,0.1849939,0.20751564,0.25675955
m_126,57.226,33.87559,0.13613002,0.16505425,0.16367471,0.2565886
m_127,57.30781,33.6019,0.17119394,0.18393058,0.20634486,0.25600666
m_128,57.19543,33.88033,0.13671842,0.16014087,0.16734812,0.26707605
m_129,57.22609,33.89692,0.13005808,0.15883127,0.15751497,0.24754742
m_130,57.38926,33.5782,0.15635961,0.18402648,0.18303852,0.28512058
m_131,57.37917,33.60308,0.15659222,0.1875824,0.18203954,0.28133547
m_132,57.40678,33.58768,0.15062258,0.18219106,0.17590326,0.2727225
m_133,57.35636,33.71564,0.13261907,0.16037315,0.1607884,0.25353536
