# 19780916_M7.3_Tabas median gmf, Stations:Seismic, gmlt:USGS, Rupture:Walker_et_al_2003, Max_dist:150km
custom_site_id,lon,lat,AbrahamsonEtAl2014,CampbellBozorgnia2014,ChiouYoungs2014
m_100,56.76213,33.70142,0.24571227,0.21132578,0.22957231
m_101,56.78848,33.73223,0.24815422,0.21123171,0.23238802
m_102,56.8821,33.8282,0.20373273,0.18376367,0.18678147
m_103,56.982,33.02844,0.1687598,0.16579355,0.15022396
m_104,56.91933,33.01659,0.1855669,0.15961094,0.17045853
m_105,56.67772,33.71564,0.17358673,0.15305316,0.16038783
m_106,56.64834,33.6564,0.18280405,0.1538495,0.17072546
m_107,56.64823,33.29858,0.1352956,0.1184865,0.12471738
m_108,56.61398,33.45853,0.13121338,0.12140613,0.12032516
m_109,57.12946,33.77962,0.23453459,0.25731796,0.21744552
m_110,57.42479,33.37796,0.52683806,0.5625304,0.51036155
m_111,57.51184,33.30213,0.4198091,0.40413958,0.40628618
m_112,57.20219,33.75948,0.27959165,0.2938182,0.26444054
m_113,57.39298,33.42891,0.5725849,0.704745,0.48932812
m_114,57.51631,33.32464,0.41976106,0.3843863,0.41159993
m_115,57.12085,33.80806,0.21723504,0.22815052,0.19860174
m_116,57.23418,33.75,0.2625228,0.29561663,0.24969508
m_117,57.23585,33.79858,0.23618315,0.2303151,0.22313224
m_118,56.50162,33.74171,0.10638662,0.098233394,0.09904463
m_119,57.24463,33.80687,0.23731358,0.22359405,0.23180051
m_120,57.25041,33.79621,0.23227385,0.23071948,0.22219484
m_121,57.56518,33.17773,0.43374926,0.38323098,0.3870298
m_122,57.27236,33.82109,0.21563485,0.19919716,0.21391053
m_123,57.31641,33.57109,0.57787126,0.79567194,0.4679375
m_124,57.35271,33.54502,0.66883254,0.7850227,0.5556829
m_125,57.29044,33.62559,0.6558717,0.7407239,0.53188145
m_126,57.226,33.87559,0.18487395,0.17008245,0.1717328
m_127,57.30781,33.6019,0.6659039,0.7669012,0.53682655
m_128,57.19543,33.88033,0.1826797,0.17139703,0.16693377
m_129,57.22609,33.89692,0.17322496,0.15869409,0.15950212
m_130,57.38926,33.5782,0.6422492,0.73363125,0.58573353
m_131,57.37917,33.60308,0.63341403,0.7113908,0.58694214
m_132,57.40678,33.58768,0.6182384,0.69789517,0.5851454
m_133,57.35636,33.71564,0.31353346,0.36579064,0.3662437
m_134,57.35787,33.7263,0.2935381,0.33477834,0.33699492
m_135,57.17524,33.92536,0.17122915,0.15502636,0.15628704
m_136,57.37377,33.70024,0.39920482,0.4055895,0.4195519
m_137,57.22044,33.93839,0.16483738,0.14618522,0.15137336
m_138,57.37512,33.67417,0.5638261,0.51324236,0.49555227
m_139,57.56476,33.08175,0.46956992,0.43634614,0.4019448
m_140,57.20883,33.94668,0.16446036,0.14539488,0.15077616
m_141,57.55585,33.04147,0.43840003,0.47689104,0.3802084
m_142,57.6157,33.07583,0.40649638,0.33447787,0.36701584
m_143,57.02965,33.93365,0.1871373,0.15946472,0.17247726
m_144,56.75227,33.77962,0.19732623,0.16813047,0.18279567
m_145,56.87949,33.8981,0.15444444,0.14337486,0.13796946
m_146,56.52131,33.58057,0.11647759,0.10663436,0.10829589
m_147,56.78944,33.95379,0.13043146,0.117778026,0.118602216
m_148,56.51661,33.50592,0.11406251,0.10409681,0.10631485
m_149,56.51101,33.55569,0.11768926,0.106048085,0.10996274
m_150,56.51053,33.44668,0.10686375,0.0989436,0.099413715
m_151,56.54383,33.7346,0.11802161,0.10731266,0.109504655
m_152,56.49898,33.47038,0.10393163,0.09709727,0.09663707
m_153,56.49634,33.53199,0.10706173,0.09940089,0.09968774
m_154,57.55984,33.2891,0.3903321,0.3389065,0.3639494
m_155,56.54567,33.1564,0.10872676,0.0964049,0.10156176
m_156,57.57446,33.30095,0.37214047,0.3126226,0.34977445
m_157,56.52525,33.81635,0.10802122,0.09847573,0.100735694
m_158,56.64235,33.95261,0.11191206,0.10100039,0.10368289
m_159,56.55906,33.88744,0.08841003,0.087338425,0.079742745
m_160,57.27682,33.84242,0.1914586,0.17860569,0.18655719
m_161,57.30009,33.83412,0.18567492,0.17604697,0.18367523
m_162,57.31018,33.81043,0.19688156,0.19384193,0.1976293
m_163,57.3088,33.8282,0.18038678,0.17609525,0.17826432
m_164,57.30595,33.8436,0.17503181,0.16608909,0.17228745
m_165,57.32485,33.83531,0.17061487,0.16450112,0.17008245
m_166,57.26256,33.91114,0.1629526,0.14739244,0.15304896
m_167,57.26409,33.92773,0.15722412,0.14174941,0.14692396
m_169,57.30934,33.95261,0.14176676,0.1281909,0.13320202
m_170,57.39844,33.68009,0.54251623,0.48706228,0.47494003
m_171,57.22638,33.96327,0.15579061,0.13828155,0.14286938
m_172,57.23669,33.99052,0.14940141,0.13139147,0.13715237
m_173,57.33286,34.00237,0.13920589,0.12227852,0.13058937
m_174,57.23676,34.00592,0.14428172,0.12750927,0.1320182
m_175,57.24991,34.01659,0.14045417,0.124374084,0.12878267
m_176,57.68586,33.13389,0.30773813,0.24774761,0.28336063
m_177,57.21358,34.03318,0.15141703,0.12786388,0.13907452
m_178,57.68432,33.11374,0.31389794,0.2513706,0.2897266
m_179,57.67988,33.09716,0.32203346,0.257207,0.2971118
m_18,56.94566,33.37678,0.28589055,0.24543886,0.2737471
m_180,57.68108,33.0391,0.3315653,0.26119763,0.3098558
m_181,57.71474,33.07701,0.29083675,0.23424058,0.2709637
m_182,57.69131,33.04858,0.3191669,0.25213382,0.29825276
m_183,57.7308,33.08649,0.27442425,0.2232924,0.25716656
m_184,56.98187,33.99763,0.15684435,0.13412544,0.14347856
m_185,57.66635,33.00118,0.35738698,0.28570303,0.32704136
m_186,57.6795,33.01185,0.3370797,0.27189925,0.3064194
m_187,57.69412,33.02488,0.31692618,0.25705945,0.28879595
m_188,56.99069,34.01659,0.14929494,0.12880504,0.13629737
m_189,56.95565,33.99763,0.14695838,0.12903325,0.13365732
m_19,56.94342,33.52962,0.56031156,0.5467721,0.5515635
m_190,56.9309,33.99882,0.14543012,0.12718683,0.13253337
