STATION_ID,STATION_NAME,LATITUDE,LONGITUDE,STATION_TYPE,REFERENCES,SOIL_TYPE,PGA_VALUE,PGA_LN_SIGMA,SA(0.3)_VALUE,SA(0.3)_LN_SIGMA,SA(0.6)_VALUE,SA(0.6)_LN_SIGMA,SA(1.0)_VALUE,SA(1.0)_LN_SIGMA,VS30,VS30_TYPE
DURR,,41.319900,19.457300,seismic,ESM,C,0.002567877,0,0.004210664744995448,0,0.005431332122978702,0,0.0069992647926724084,0,202,C
FIER,,40.717400,19.566900,seismic,ESM,B,0.001841514,0,0.004332823400007158,0,0.005115478476727754,0,0.005611145698266535,0,374,B
HIMA,,40.089000,19.758200,seismic,ESM,A,0.002367755,0,0.007951177269519119,0,0.0071335906412129104,0,0.004005561529575687,0,1178,A
KBN,Korce  Albania,40.623600,20.787400,seismic,ESM,B,0.0007632330000000001,0,0.0014366101884424592,0,0.0018667800365380234,0,0.0025585319545806968,0,742,B
LACI,LACI SEISM. STATION,41.635900,19.719900,seismic,ESM,A,0.000264733,0,0.0010044977606137283,0,0.0008508004054547217,0,0.0005021421207478105,0,1490,A
TIR1,IGEWE BUILDING,41.335700,19.807800,seismic,ESM,C,0.001461223,0,0.0024199709986309752,0,0.0032021575858663187,0,0.004429883724972974,0,311,C
TPE,TELEPENA SEISM. STATION,40.294800,20.015500,seismic,ESM,B,0.0023933080000000002,0,0.004065957566624356,0,0.004454078365999472,0,0.00621092818219246,0,686,B
AGRP,Agrapidokambos,38.395900,21.722770,seismic,ESM,A (inferred from geology),0.005308085000000001,0,0.011948200530465997,0,0.015679194178832113,0,0.007969074354394893,0,,A (inferred from geology)
ROD3,Rodini,38.308110,21.892040,seismic,ESM,A (inferred from geology),0.011058802,0,0.03873029921336655,0,0.017158081312824484,0,0.01571550197545401,0,,A (inferred from geology)
TRIZ,Trizonia- Dorida- Central Greece- Greece,38.365430,22.072720,seismic,ESM,A (inferred from geology),0.007221239,0,0.02148149962764731,0,0.011579488283829268,0,0.007633212264711133,0,,A (inferred from geology)
ALNA,ALONNISSOS,39.148040,23.866690,seismic,ESM,C (inferred from topography),0.000490226,0,0.0007469692594009883,0,0.0013189746116448234,0,0.0017173619949079086,0,,C (inferred from topography)
ANKY,Antikythira Island  Greece,35.867040,23.301170,seismic,ESM,B (inferred from topography),0.000421828,0,0.0004790067335035431,0,0.00065935572720477,0,0.0012744453591855055,0,,B (inferred from topography)
ARIA,ANTIRRIO,38.333580,21.762060,seismic,ESM,C (inferred from topography),0.011991432,0,0.040803569846930836,0,0.039079013578986806,0,0.02308513591315988,0,,C (inferred from topography)
DLFA,Delfoi  Greece,38.478360,22.495830,seismic,ESM,A (inferred from topography),0.001635943,0,0.0038628416396494576,0,0.00495361162868165,0,0.005592013073965145,0,,A (inferred from topography)
EFSA,Agios Efstratios Island  Greece,39.540150,24.988640,seismic,ESM,B (inferred from topography),0.00013716,0,0.00018210273272947612,0,0.0002569878411425375,0,0.00037751713391420775,0,,B (inferred from topography)
ITM,Ithomi Messinia Greece,37.178720,21.925220,seismic,ESM,A (inferred from topography),0.002052983,0,0.005959251409738634,0,0.005595114938442726,0,0.004659533688814946,0,,A (inferred from topography)
JAN,Ioannina  Greece,39.656160,20.848740,seismic,ESM,B (inferred from topography),0.004064276,0,0.012261326043364966,0,0.00846442253246878,0,0.011935286976785635,0,,B (inferred from topography)
KASA,KASSIOPI,39.746280,19.935420,seismic,ESM,A (inferred from topography),0.003267214,0,0.008880042090983038,0,0.008901264210844575,0,0.007052566594488578,0,,A (inferred from topography)
KVLA,Kavala  Greece,40.937040,24.385910,seismic,ESM,B (inferred from topography),0.000104036,0,0.00020887980231332545,0,0.0002491966279143403,0,0.0002145953405571671,0,,B (inferred from topography)
LIA,Limnos Greece,39.897250,25.180550,seismic,ESM,B (inferred from topography),8.6904e-05,0,0.00014942184262863349,0,0.00016970947080758523,0,0.00018247348676469252,0,,B (inferred from topography)
LXRA,LIXOURI,38.199480,20.437350,seismic,ESM,B (inferred from topography),0.092981186,0,0.28377030382857693,0,0.12340732459064946,0,0.06615226789085976,0,,B (inferred from topography)
MNVA,Monemvasia  Greece,36.687090,23.037340,seismic,ESM,B (inferred from topography),0.00047540900000000004,0,0.0006743141064704805,0,0.0007915648678864285,0,0.001358397447121857,0,,B (inferred from topography)
PATC,Patra Greece,38.269330,21.760010,seismic,ESM,B (inferred from topography),0.013118844,0,0.028117740160767193,0,0.03816024519648226,0,0.026634025835678175,0,,B (inferred from topography)
PATG,Patra Greece,38.238650,21.726570,seismic,ESM,C (inferred from topography),0.014019322,0,0.03167903877118399,0,0.044530739489665135,0,0.025623080081532502,0,,C (inferred from topography)
RIOA,Rio Greece,38.295850,21.791180,seismic,ESM,B (inferred from topography),0.010620001,0,0.021230106700339396,0,0.03343579871017947,0,0.020372523325594295,0,,B (inferred from topography)
TNSA,Tinos Island  Greece,37.539420,25.163100,seismic,ESM,B (inferred from topography),0.00023846200000000002,0,0.00027173970900840213,0,0.00042479075129941876,0,0.00042132326935560735,0,,B (inferred from topography)
