# 20171112_M7.3_SarpoleZahab median gmf, Stations:Seismic, gmlt:USGS, Rupture:IPGP
custom_site_id,lon,lat,AbrahamsonEtAl2014,BooreEtAl2014,CampbellBozorgnia2014,ChiouYoungs2014
m_100,44.4049,33.934,0.055760577,0.060712416,0.046440944,0.05728435
m_101,44.6112,36.099,0.050752416,0.04709717,0.051114656,0.047827035
m_102,44.2996,33.5727,0.03797069,0.039952144,0.03161095,0.040581446
m_103,44.40860000000001,33.3929,0.035254326,0.037134856,0.029057214,0.03810314
m_104,44.40979999999999,33.2125,0.029971428,0.031043315,0.024860887,0.032782387
m_105,43.94229999999999,36.2753,0.03990012,0.040181946,0.034532662,0.04174618
m_106,44.30250000000001,33.2119,0.028544115,0.029457811,0.02367976,0.031351868
m_107,45.0566,37.542,0.017471978,0.01642096,0.015639594,0.01932809
m_108,45.727900000000005,36.7285,0.034952845,0.033101425,0.033037633,0.035598498
m_109,44.05360000000002,36.2762,0.038811024,0.038072858,0.034936044,0.040084567
m_110,44.301800000000014,33.3021,0.030070575,0.030996386,0.025127042,0.03278152
m_111,46.173100000000005,36.5446,0.03840439,0.037477314,0.03557483,0.039054528
m_112,48.39589999999998,32.3751,0.012416354,0.0118459035,0.011947163,0.013179556
m_113,42.9238,36.8928,0.008727504,0.0070725167,0.0091763735,0.009324328
m_114,44.1944,33.3015,0.028896756,0.029767558,0.02406359,0.03165497
m_115,48.071200000000005,29.1215,0.00045082055,0.0002740719,0.0006643845,0.000472904
m_116,46.31110000000001,38.0754,0.008130158,0.0069478354,0.008026401,0.009024448
m_117,43.161100000000005,36.3559,0.021959879,0.021148913,0.01926619,0.024082659
m_118,44.41460000000001,32.4909,0.015975846,0.015514883,0.0137595,0.01806031
m_119,48.0634,29.392,0.0005711862,0.0003561317,0.0008133757,0.00060316967
m_120,47.9632,29.2995,0.0005385975,0.0003337071,0.0007734506,0.0005678585
m_121,48.0368,29.2995,0.00053011556,0.00032789985,0.0007630197,0.000558667
m_122,48.6361,31.2976,0.0044255205,0.0038176205,0.0042390563,0.0051311404
m_72,45.8167,34.4738,0.47795126,0.48874325,0.47171584,0.45520285
m_73,46.47630000000001,34.8283,0.16913551,0.14763129,0.19882889,0.15624988
m_74,45.7132,35.1057,0.4299541,0.4308262,0.51300645,0.3923114
m_75,46.043499999999995,35.1935,0.14478731,0.14672162,0.13868213,0.13087995
m_76,45.93369999999999,35.1944,0.22378671,0.2353794,0.20864469,0.20252821
