FIELD,DESCRIPTION
Year,2020
Country,Greece
Region,AegeanSea
Event_Name,AegeanSea_2020
Local_Date,30/10/2020
Local_Time,17:51:27
Latitude,37.8973
Longitude,26.7838
Depth_(km),21
Mw,7
Max_Intensity_(MMI),VIII
Fault_mechanism,Normal
Tectonic_region_type,Active Shallow Crust
Fatalities,117-119
Injured,1034-1632
Displaced_Population,5000-15000
Affected_Population,6034
Affected_Units,8703 Buildings
Damaged_Units,700 Buildings
Collapsed_Units,103 Buildings
Economic_Losses,400-450 M USD
Insured_Losses,
Induced_Effects,
USGS page,https://earthquake.usgs.gov/earthquakes/eventpage/us7000c7y0/executive
Wikipedia page,https://en.wikipedia.org/wiki/2020_Aegean_Sea_earthquake
