# 20190618_M6.4_Yamagata median gmf, Stations:Seismic, gmlt:USGS, Rupture:USGS
custom_site_id,lon,lat,AbrahamsonEtAl2014,AbrahamsonEtAl2015SInter,AtkinsonBoore2003SInter,BooreEtAl2014,CampbellBozorgnia2014,ChiouYoungs2014,ZhaoEtAl2016SInter
m_30,139.01,37.8857,0.122045696,0.12038805,0.09996302,0.12857808,0.106377415,0.12582067,0.08080996
m_36,139.1236,37.8875,0.09943522,0.09366859,0.08850911,0.10380241,0.09298329,0.099532515,0.08385444
m_89,140.94280000000003,38.263,0.033055298,0.03260477,0.031819213,0.033413135,0.03274744,0.033246987,0.030891111
s_0,139.58889999999997,38.6276,0.6442,0.6442,0.6442,0.6442,0.6442,0.6442,0.6442
s_1,140.1621,38.607,0.32322,0.32322,0.32322,0.32322,0.32322,0.32322,0.32322
s_10,140.04989999999998,39.383,0.134,0.134,0.134,0.134,0.134,0.134,0.134
s_100,140.5668,37.4363,0.01885,0.01885,0.01885,0.01885,0.01885,0.01885,0.01885
s_101,140.8874,38.4466,0.0182,0.0182,0.0182,0.0182,0.0182,0.0182,0.0182
s_102,140.78179999999998,37.9763,0.01806,0.01806,0.01806,0.01806,0.01806,0.01806,0.01806
s_103,141.14779999999996,39.6953,0.01747,0.01747,0.01747,0.01747,0.01747,0.01747,0.01747
s_104,140.78729999999996,40.2152,0.01684,0.01684,0.01684,0.01684,0.01684,0.01684,0.01684
s_105,140.0716,39.883,0.01674,0.01674,0.01674,0.01674,0.01674,0.01674,0.01674
s_106,141.082,39.9203,0.01638,0.01638,0.01638,0.01638,0.01638,0.01638,0.01638
s_107,140.36220000000003,37.3961,0.01624,0.01624,0.01624,0.01624,0.01624,0.01624,0.01624
s_108,141.5684,38.9015,0.0157,0.0157,0.0157,0.0157,0.0157,0.0157,0.0157
s_109,139.68079999999998,37.07,0.01562,0.01562,0.01562,0.01562,0.01562,0.01562,0.01562
s_11,139.4864,38.2301,0.13079,0.13079,0.13079,0.13079,0.13079,0.13079,0.13079
s_110,140.9035,37.0911,0.01523,0.01523,0.01523,0.01523,0.01523,0.01523,0.01523
s_111,141.152,39.1454,0.01413,0.01413,0.01413,0.01413,0.01413,0.01413,0.01413
s_112,140.8132,37.3364,0.01404,0.01404,0.01404,0.01404,0.01404,0.01404,0.01404
s_113,140.7428,40.3279,0.01401,0.01401,0.01401,0.01401,0.01401,0.01401,0.01401
s_114,140.55629999999996,37.09,0.01395,0.01395,0.01395,0.01395,0.01395,0.01395,0.01395
s_115,138.55790000000002,37.3724,0.01393,0.01393,0.01393,0.01393,0.01393,0.01393,0.01393
s_116,141.6789,39.5997,0.01374,0.01374,0.01374,0.01374,0.01374,0.01374,0.01374
s_117,141.56370000000004,39.3291,0.01371,0.01371,0.01371,0.01371,0.01371,0.01371,0.01371
s_118,138.6529,37.0147,0.01367,0.01367,0.01367,0.01367,0.01367,0.01367,0.01367
s_119,140.79290000000003,36.9069,0.0135,0.0135,0.0135,0.0135,0.0135,0.0135,0.0135
s_12,140.45100000000002,39.0384,0.11901,0.11901,0.11901,0.11901,0.11901,0.11901,0.11901
s_120,140.96320000000003,37.4061,0.01342,0.01342,0.01342,0.01342,0.01342,0.01342,0.01342
s_121,139.22479999999996,36.7722,0.01337,0.01337,0.01337,0.01337,0.01337,0.01337,0.01337
s_122,140.3689,37.2842,0.01319,0.01319,0.01319,0.01319,0.01319,0.01319,0.01319
s_123,139.80330000000004,36.99,0.01318,0.01318,0.01318,0.01318,0.01318,0.01318,0.01318
s_124,139.00919999999996,36.4637,0.01244,0.01244,0.01244,0.01244,0.01244,0.01244,0.01244
s_125,140.4031,39.995,0.01222,0.01222,0.01222,0.01222,0.01222,0.01222,0.01222
s_126,140.49900000000002,40.6018,0.01184,0.01184,0.01184,0.01184,0.01184,0.01184,0.01184
s_127,140.94060000000002,40.4371,0.01147,0.01147,0.01147,0.01147,0.01147,0.01147,0.01147
s_128,140.63490000000002,37.2778,0.01107,0.01107,0.01107,0.01107,0.01107,0.01107,0.01107
s_129,141.4031,39.0187,0.01087,0.01087,0.01087,0.01087,0.01087,0.01087,0.01087
