# 20090930_M7.6_Padang median gmf, Stations:All, gmlt:GEM, Rupture:GCMT
custom_site_id,lon,lat,AbrahamsonEtAl2015SSlab,KuehnEtAl2020SSlab,ParkerEtAl2020SSlab,ZhaoEtAl2006SSlab
m_0,100.37191999999999,-0.94774,0.47046724,0.470509,0.4689625,0.47292
m_1,100.32592,-0.8192,0.4714199,0.48075086,0.5233791,0.47251025
m_10,100.36379999999997,-0.92165,0.47260192,0.47194362,0.46558735,0.47316948
m_100,100.37268,-0.94786,0.46979663,0.4699055,0.46894354,0.47188246
m_1000,100.35564,-0.96029,0.4697107,0.47048572,0.47546828,0.48091817
m_1001,100.35935,-0.95935,0.45581284,0.4574194,0.47657517,0.43525884
m_1002,100.35199999999998,-0.89053,0.4744401,0.4735945,0.46794555,0.47539258
m_1003,100.46239000000003,-0.94767,0.24607953,0.24657482,0.24698383,0.2481233
m_1004,100.37,-0.31,0.21354721,0.24080478,0.26440746,0.2407907
m_1005,100.34578999999997,-0.89715,0.4767287,0.47680187,0.47790194,0.47645625
m_1006,100.36036999999999,-0.9592,0.45859057,0.45999664,0.47573227,0.44455314
m_1007,100.36658,-0.95921,0.46298048,0.4639639,0.47345132,0.45775655
m_1008,100.36511999999999,-0.91093,0.47368294,0.47288793,0.46570703,0.47423285
m_1009,100.35960999999998,-0.90013,0.4760973,0.47620657,0.47698456,0.47603878
m_101,100.36059999999998,-0.95965,0.46008927,0.4610888,0.47258005,0.44821715
m_1010,100.36025000000001,-0.9591,0.45799994,0.45953402,0.47669184,0.4429662
m_1011,100.36385999999999,-0.93464,0.47020292,0.46998933,0.46715856,0.4701538
m_1012,100.38644,-0.95402,0.4418929,0.44085103,0.42888445,0.4423706
m_1013,100.37508000000003,-0.92245,0.4476513,0.45202178,0.47916657,0.44606978
m_1014,100.36111,-0.89347,0.47352886,0.47375804,0.47514135,0.47341737
m_1015,100.20901000000003,-0.5435,0.5155947,0.5158418,0.5164685,0.5156845
m_1016,100.36131,-0.96369,0.46246505,0.46236977,0.46474138,0.45066345
m_1017,100.36768999999998,-0.95918,0.46181107,0.46315587,0.4763719,0.4540195
m_1018,100.35854999999998,-0.95942,0.4521231,0.45408195,0.47847018,0.4235585
m_1019,100.37554,-0.93499,0.45428097,0.4559236,0.46839008,0.45382935
m_102,100.46296999999998,-0.95078,0.24762918,0.24780485,0.24741301,0.25048995
m_1020,100.36203,-0.9634,0.46405506,0.46390682,0.46469042,0.45653003
m_1021,100.39677,-0.95521,0.2824052,0.28280318,0.28677133,0.2809021
m_1022,100.35242,-0.91936,0.47286505,0.47310215,0.47654352,0.47249603
m_1023,100.35161,-0.94433,0.46679282,0.46599942,0.45956123,0.46383047
m_1024,100.38458000000003,-0.93898,0.3682386,0.3686492,0.37387705,0.36819836
m_1025,100.36383999999998,-0.96162,0.46609336,0.46605045,0.46582252,0.46522737
m_1026,100.28370999999999,-0.59648,0.508734,0.50862193,0.5072322,0.51000684
m_1027,100.34305999999998,-0.87924,0.4767431,0.47597593,0.47076544,0.4769346
m_1028,100.35976,-0.96539,0.45813975,0.45812458,0.46552947,0.43325368
m_1029,100.37975,-0.9586,0.46801004,0.47284743,0.51087093,0.4853995
m_103,100.44659000000001,-1.0763,0.44596744,0.4462244,0.44560364,0.4472559
m_1030,100.46247,-0.94967,0.2469376,0.24718562,0.2471122,0.24907817
m_1031,100.38457,-0.95623,0.45885605,0.45700932,0.4373079,0.46045944
m_1032,100.33780000000002,-0.51013,0.50116897,0.503231,0.504813,0.50209415
m_1033,100.37101999999999,-0.89352,0.46060556,0.4605201,0.45753622,0.4608334
m_1034,100.36536000000001,-0.96003,0.46487167,0.46530765,0.469365,0.4626572
m_1035,100.46242000000001,-0.94943,0.24682233,0.24709406,0.24707986,0.2489092
m_1036,100.46249,-0.94909,0.24668448,0.24699673,0.24705449,0.2487621
m_1037,100.25887,-0.55837,0.5137927,0.5115447,0.5036166,0.5116221
m_1038,100.35998999999998,-0.95931,0.4579529,0.4593524,0.47545442,0.44214997
m_1039,100.36270999999999,-0.93324,0.47035274,0.47027835,0.4688312,0.4703491
m_104,100.36259000000001,-0.95876,0.46062636,0.46205622,0.4765977,0.45225936
m_1040,100.34910000000002,-0.90534,0.47398722,0.4735737,0.47037008,0.4743531
m_1041,100.36469999999997,-0.90405,0.4764767,0.47634694,0.47417563,0.4765041
m_1042,100.37536,-0.94809,0.46647942,0.46564978,0.45737976,0.46755525
