# 20090930_M7.6_Padang median gmf, Stations:All, gmlt:GEM, Rupture:USGS
custom_site_id,lon,lat,AbrahamsonEtAl2015SSlab,KuehnEtAl2020SSlab,ParkerEtAl2020SSlab,ZhaoEtAl2006SSlab
m_0,100.37191999999999,-0.94774,0.47024885,0.47070315,0.4686962,0.47290662
m_1,100.32592,-0.8192,0.4773403,0.479915,0.53359085,0.47568935
m_10,100.36379999999997,-0.92165,0.47203982,0.47228092,0.4645762,0.473144
m_100,100.37268,-0.94786,0.4696842,0.47001553,0.46878833,0.4718712
m_1000,100.35564,-0.96029,0.47007915,0.47029343,0.47615275,0.4810038
m_1001,100.35935,-0.95935,0.45899743,0.45496497,0.479844,0.4352404
m_1002,100.35199999999998,-0.89053,0.4737605,0.47393858,0.4669132,0.47533885
m_1003,100.46239000000003,-0.94767,0.24627148,0.24635796,0.24703589,0.24806106
m_1004,100.37,-0.31,0.21852036,0.24255599,0.272936,0.25464547
m_1005,100.34578999999997,-0.89715,0.4768222,0.47677588,0.478166,0.4766088
m_1006,100.36036999999999,-0.9592,0.4611416,0.45803675,0.47834215,0.44452938
m_1007,100.36658,-0.95921,0.4644462,0.4627895,0.47493443,0.4577415
m_1008,100.36511999999999,-0.91093,0.47306836,0.47325027,0.46467534,0.47420624
m_1009,100.35960999999998,-0.90013,0.4761836,0.4761521,0.47707638,0.4760021
m_101,100.36059999999998,-0.95965,0.46202397,0.4595912,0.4744766,0.44819492
m_1010,100.36025000000001,-0.9591,0.4607637,0.45741364,0.47954744,0.4429423
m_1011,100.36385999999999,-0.93464,0.47002956,0.4701052,0.46670362,0.47013885
m_1012,100.38644,-0.95402,0.4410585,0.44154114,0.4276428,0.44236624
m_1013,100.37508000000003,-0.92245,0.45154217,0.44942683,0.48460945,0.44606453
m_1014,100.36111,-0.89347,0.47369736,0.47365892,0.47537228,0.47338155
m_1015,100.20901000000003,-0.5435,0.51565635,0.51647,0.51732814,0.5167637
m_1016,100.36131,-0.96369,0.4630916,0.46181306,0.4652053,0.45068207
m_1017,100.36768999999998,-0.95918,0.46383584,0.46151334,0.47846144,0.45400375
m_1018,100.35854999999998,-0.95942,0.45620704,0.45093405,0.48274717,0.42354694
m_1019,100.37554,-0.93499,0.4559212,0.4547672,0.4708102,0.45382205
m_102,100.46296999999998,-0.95078,0.24760433,0.24780779,0.24733663,0.2504423
m_1020,100.36203,-0.9634,0.46435842,0.4636141,0.46485248,0.4565393
m_1021,100.39677,-0.95521,0.28244957,0.2828112,0.28685832,0.28089327
m_1022,100.35242,-0.91936,0.473091,0.47296405,0.47709307,0.47257504
m_1023,100.35161,-0.94433,0.46607035,0.46651137,0.45858765,0.46422923
m_1024,100.38458000000003,-0.93898,0.3687147,0.3682616,0.37453339,0.36819306
m_1025,100.36383999999998,-0.96162,0.46611246,0.46601164,0.46575797,0.46521956
m_1026,100.28370999999999,-0.59648,0.50859755,0.5085083,0.5069496,0.5100645
m_1027,100.34305999999998,-0.87924,0.47617924,0.4762721,0.4702173,0.47754586
m_1028,100.35976,-0.96539,0.4597158,0.45677403,0.4669706,0.43335074
m_1029,100.37975,-0.9586,0.47251958,0.46922618,0.51703894,0.48537624
m_103,100.44659000000001,-1.0763,0.4458258,0.44616354,0.4452709,0.44704983
m_1030,100.46247,-0.94967,0.24699453,0.24711215,0.24710302,0.24903719
m_1031,100.38457,-0.95623,0.45685792,0.45866507,0.434855,0.46044934
m_1032,100.33780000000002,-0.51013,0.5014595,0.5031996,0.50493264,0.5028609
m_1033,100.37101999999999,-0.89352,0.46053317,0.46056077,0.45728764,0.46080464
m_1034,100.36536000000001,-0.96003,0.46553108,0.46477228,0.4699688,0.46264338
m_1035,100.46242000000001,-0.94943,0.24689558,0.2470041,0.2470806,0.2488672
m_1036,100.46249,-0.94909,0.24677655,0.24688552,0.2470605,0.24871555
m_1037,100.25887,-0.55837,0.51232624,0.5108896,0.5019887,0.5119289
m_1038,100.35998999999998,-0.95931,0.4606049,0.45731,0.4781491,0.4421282
m_1039,100.36270999999999,-0.93324,0.47029543,0.47030762,0.4685757,0.47033346
m_104,100.36259000000001,-0.95876,0.46283737,0.46036646,0.47894463,0.45223257
m_1040,100.34910000000002,-0.90534,0.47361887,0.4737766,0.46976048,0.47431606
