ID_2_Da.Do,NAME_2,TAXONOMY,GEM_TAXONOMY,AFFECTED_UNITS,DAMAGED_UNITS,DS2_MODARATE_DAMAGED,DS3_EXTENSIVE,DS4_COMPLETE,COLLAPSED_UNITS,UNIT_TYPES,CAUSE_OF_DAMAGE,REFERENCE,COMMENTS
66008,BARETE,,,,,142,125,32,,,Shaking,Da.Do,
66009,BARISCIANO,,,,,3,383,136,,,Shaking,Da.Do,
66013,CAGNANO AMITERNO,,,,,67,108,13,,,Shaking,Da.Do,
66014,CALASCIO,,,,,1,60,5,,,Shaking,Da.Do,
66016,CAMPOTOSTO,,,,,160,195,52,,,Shaking,Da.Do,
66021,CAPITIGNANO,,,,,22,94,10,,,Shaking,Da.Do,
66022,CAPORCIANO,,,,,1,104,9,,,Shaking,Da.Do,
66026,CASTEL DEL MONTE,,,,,1,92,2,,,Shaking,Da.Do,
66027,CASTEL DI IERI,,,,,7,48,1,,,Shaking,Da.Do,
66031,CASTELVECCHIO SUBEQUO,,,,,4,89,41,,,Shaking,Da.Do,
66041,CORFINIO,,,,,3,34,2,,,Shaking,Da.Do,
66042,FAGNANO ALTO,,,,,72,165,112,,,Shaking,Da.Do,
66043,FONTECCHIO,,,,,30,146,52,,,Shaking,Da.Do,
66044,FOSSA,,,,,6,116,182,,,Shaking,Da.Do,
66049,L'AQUILA,,,,,269,3948,2909,,,Shaking,Da.Do,
66052,LUCOLI,,,,,274,370,188,,,Shaking,Da.Do,
66055,MOLINA ATERNO,,,,,9,12,0,,,Shaking,Da.Do,
66056,MONTEREALE,,,,,208,174,50,,,Shaking,Da.Do,
66058,NAVELLI,,,,,2,142,7,,,Shaking,Da.Do,
66060,OFENA,,,,,4,128,6,,,Shaking,Da.Do,
66072,PIZZOLI,,,,,234,312,112,,,Shaking,Da.Do,
66073,POGGIO PICENZE,,,,,2,113,14,,,Shaking,Da.Do,
66074,PRATA D'ANSIDONIA,,,,,28,164,106,,,Shaking,Da.Do,
66075,PRATOLA PELIGNA,,,,,16,116,16,,,Shaking,Da.Do,
66077,RAIANO,,,,,7,91,2,,,Shaking,Da.Do,
66086,SAN BENEDETTO IN PERILLIS,,,,,1,48,5,,,Shaking,Da.Do,
66087,SAN DEMETRIO NE' VESTINI,,,,,143,297,215,,,Shaking,Da.Do,
66088,SAN PIO DELLE CAMERE,,,,,2,118,17,,,Shaking,Da.Do,
66090,SANT'EUSANIO FORCONESE,,,,,30,94,211,,,Shaking,Da.Do,
66091,SANTO STEFANO DI SESSANIO,,,,,1,54,3,,,Shaking,Da.Do,
66095,SCOPPITO,,,,,169,212,89,,,Shaking,Da.Do,
66098,SULMONA,,,,,140,190,25,,,Shaking,Da.Do,
66100,TIONE DEGLI ABRUZZI,,,,,9,110,12,,,Shaking,Da.Do,
66101,TORNIMPARTE,,,,,321,227,93,,,Shaking,Da.Do,
66105,VILLA SANT'ANGELO,,,,,2,49,40,,,Shaking,Da.Do,
66108,VITTORITO,,,,,1,68,14,,,Shaking,Da.Do,
67012,CASTELLI,,,,,14,114,13,,,Shaking,Da.Do,
67026,ISOLA DEL GRAN SASSO D'ITALIA,,,,,3,129,83,,,Shaking,Da.Do,
67028,MONTORIO AL VOMANO,,,,,2,172,38,,,Shaking,Da.Do,
67034,PIETRACAMELA,,,,,38,122,33,,,Shaking,Da.Do,
68005,BUSSI SUL TIRINO,,,,,18,112,20,,,Shaking,Da.Do,
67023,CROGNALETO,,,,,11,39,25,,,Shaking,Da.Do,
66030,CASTELVECCHIO CALVISIO,,,,,0,91,0,,,Shaking,Da.Do,
68033,POPOLI,,,,,0,149,38,,,Shaking,Da.Do,
66082,ROCCA DI MEZZO,,,,,0,204,44,,,Shaking,Da.Do,
66066,PACENTRO,,,,,0,15,2,,,Shaking,Da.Do,
66012,BUGNARA,,,,,0,39,2,,,Shaking,Da.Do,
66004,ANVERSA DEGLI ABRUZZI,,,,,0,46,0,,,Shaking,Da.Do,
66071,PETTORANO SUL GIZIO,,,,,0,17,0,,,Shaking,Da.Do,
66045,GAGLIANO ATERNO,,,,,0,83,6,,,Shaking,Da.Do,
66047,GORIANO SICOLI,,,,,0,103,6,,,Shaking,Da.Do,
67041,TERAMO,,,,,0,59,25,,,Shaking,Da.Do,
68004,BRITTOLI,,,,,0,43,9,,,Shaking,Da.Do,
68043,TORRE DE' PASSERI,,,,,0,58,0,,,Shaking,Da.Do,
66081,ROCCA DI CAMBIO,,,,,0,129,66,,,Shaking,Da.Do,
66001,ACCIANO,,,,,0,110,4,,,Shaking,Da.Do,
66019,CAPESTRANO,,,,,0,63,7,,,Shaking,Da.Do,
66104,VILLA SANTA LUCIA DEGLI ABRUZZI,,,,,0,114,0,,,Shaking,Da.Do,
68023,MONTEBELLO DI BERTONA,,,,,0,61,26,,,Shaking,Da.Do,
67024,FANO ADRIANO,,,,,0,74,1,,,Shaking,Da.Do,
66032,CELANO,,,,,0,148,7,,,Shaking,Da.Do,
66037,COCULLO,,,,,0,44,4,,,Shaking,Da.Do,
66093,SCANNO,,,,,0,1,0,,,Shaking,Da.Do,
66053,MAGLIANO DE' MARSI,,,,,0,1,0,,,Shaking,Da.Do,
66054,MASSA D'ALBE,,,,,0,5,1,,,Shaking,Da.Do,
66085,SAN BENEDETTO DEI MARSI,,,,,0,5,1,,,Shaking,Da.Do,
66069,PESCINA,,,,,0,3,0,,,Shaking,Da.Do,
66046,GIOIA DEI MARSI,,,,,0,1,0,,,Shaking,Da.Do,
66002,AIELLI,,,,,0,61,40,,,Shaking,Da.Do,
