STATION_ID,STATION_NAME,LATITUDE,LONGITUDE,STATION_TYPE,REFERENCES,SOIL_TYPE,PGA_VALUE,PGA_LN_SIGMA,PGASTATION_Name,PGA_VALUE_1,PGA_VALUE_2,PGA_VALUE_V,PGAVS30
ANC,ANC,-11.776,-77.15,seismic,Tavera_et_al_2008,SOIL,0.05873,0,Ancon,0.05475,0.05873,0.02798,280.0
ANR,ANR,-12.123,-76.976,seismic,Tavera_et_al_2008,FIRM GROUND,0.08591,0,Asamblea Nacional de Rectores,0.06491,0.08591,0.07376,205.0
CAL,CAL,-12.06,-77.15,seismic,Tavera_et_al_2008,SOIL,0.1009,0,Callao,0.09586,0.1009,0.0317,75.0
CDL-CIP,CDL-CIP,-12.092,-77.049,seismic,Tavera_et_al_2008,FIRM GROUND,0.05841,0,CDL-CIP,0.05841,0.05449,0.03221,
CER,CER,-12.103,-76.998,seismic,Tavera_et_al_2008,FIRM GROUND,0.05818,0,Ceresis,0.05788,0.05818,0.03697,
CSM,CSM,-12.0133,-77.0502,seismic,Tavera_et_al_2008,FIRM GROUND,0.07377,0,Cismid,0.04508,0.07377,0.03258,184.0
E1,E1,-12.033,-76.975,seismic,Tavera_et_al_2008,,0.05998,0,Estanque-1,0.05998,0.05488,0.03038,
E2,E2,-12.055,-76.944,seismic,Tavera_et_al_2008,,0.02058,0,Estanque-2,0.01274,0.02058,0.01176,
ICA2,ICA2,-14.09,-75.73,seismic,Tavera_et_al_2008,SOIL,0.3341,0,Ica 2,0.3341,0.2716,0.1929,312.0
LMO,LMO,-12.085,-76.948,seismic,Tavera_et_al_2008,,0.0253,0,La Molina Universidad Agraria,0.0212,0.0253,0.0142,
MOL,MOL,-12.1,-76.89,seismic,Tavera_et_al_2008,SOIL,0.0781,0,Molina,0.06883,0.0781,0.05621,380.0
May,May,-12.055,-76.944,seismic,Tavera_et_al_2008,SOIL,0.5969,0,Mayorazgo,0.5969,0.05435,0.03108,276.0
NNA,NNA,-11.987,-76.839,seismic,Tavera_et_al_2008,Rock,0.02216,0,Ñaña,0.01846,0.02216,0.02148,
PCN,PCN,-14.042,-75.699,seismic,Tavera_et_al_2008,SOIL,0.4884,0,Parcona,0.4575,0.4884,0.3002,456.0
PUCP,PUCP,-12.074,-77.08,seismic,Tavera_et_al_2008,FIRM GROUND,0.0666,0,Universidad Catolica del Perù,0.0666,0.05966,0.03971,125.0
RIN,RIN,-12.0835,-76.9208,seismic,Tavera_et_al_2008,SOIL,0.1134,0,Rinconada,0.1134,0.1091,0.058,200.0
