# 20170403_M6.5_Moijabana median gmf, Stations:None, gmlt:GEM, Rupture:USGS
custom_site_id,lon,lat,AtkinsonBoore2006Modified2011,PezeshkEtAl2011NEHRPBC
t_0,21.20321,-26.75722,0.0039804974,0.0021307943
t_1,21.02355,-26.75722,0.004490968,0.002050999
t_10,21.7422,-26.43592,0.005853344,0.0026227299
t_100,23.40409,-24.61208,0.017375145,0.008371588
t_1000,24.5719,-24.40774,0.028511098,0.014443157
t_10000,26.23378,-20.67504,0.01916839,0.010218421
t_10001,26.32361,-20.67504,0.016732356,0.009914996
t_10002,26.32361,-20.63301,0.019877492,0.009663511
t_10003,26.14395,-20.67504,0.018347403,0.010517415
t_10004,26.14395,-20.63301,0.018880524,0.010232542
t_10005,26.18886,-20.63301,0.020451302,0.01009224
t_10006,26.18886,-20.59097,0.019003574,0.009825676
t_10007,26.14395,-20.59097,0.01812753,0.00995809
t_10008,26.23378,-20.50686,0.019221017,0.009200692
t_10009,26.23378,-20.33849,0.017653955,0.008314882
t_1001,24.52698,-24.40774,0.028506871,0.014262159
t_10010,26.23378,-20.16993,0.016832596,0.0075412337
t_10011,26.23378,-20.0012,0.01599418,0.0068630152
t_10012,26.23378,-19.83228,0.0102775,0.006265987
t_10013,26.36853,-20.63301,0.015184733,0.009518989
t_10014,26.27869,-20.63301,0.019855684,0.009807421
t_10015,26.23378,-20.63301,0.020487173,0.009950408
t_10016,26.23378,-20.59097,0.01730197,0.009691689
t_10017,26.32361,-20.59097,0.017073333,0.0094202645
t_10018,26.27869,-20.59097,0.019822573,0.00955648
t_10019,26.36853,-20.59097,0.017745562,0.009283338
t_1002,24.79647,-25.62875,0.01195019,0.0065019913
t_10020,26.41344,-19.66318,0.011736517,0.0055511147
t_10021,26.81768,-21.76365,0.02590187,0.014936176
t_10022,26.81768,-21.72193,0.025507063,0.014627281
t_10023,26.77277,-21.72193,0.029836882,0.015077344
t_10024,26.72785,-21.72193,0.030318486,0.015544696
t_10025,26.72785,-21.6802,0.022569377,0.015193733
t_10026,26.77277,-21.6802,0.021533342,0.014748916
t_10027,26.81768,-21.6802,0.023897313,0.01431976
t_10028,26.77277,-21.63846,0.022721875,0.014423293
t_10029,26.81768,-21.63846,0.026050748,0.014014324
t_1003,24.79647,-25.46666,0.0146457,0.007145973
t_10030,26.72785,-21.63846,0.027797708,0.014846417
t_10031,26.54819,-21.72193,0.027511774,0.01759493
t_10032,26.50327,-21.72193,0.029915594,0.018154584
t_10033,26.45836,-21.72193,0.026940279,0.018733324
t_10034,26.50327,-21.6802,0.03368524,0.017662045
t_10035,26.41344,-21.6802,0.03700143,0.018766098
t_10036,26.45836,-21.6802,0.020153865,0.018205706
t_10037,26.54819,-21.6802,0.029427571,0.017135028
t_10038,26.50327,-21.63846,0.032292627,0.017179813
t_10039,26.41344,-21.63846,0.034735665,0.018215384
t_1004,24.79647,-25.30434,0.014656864,0.007889974
t_10040,26.45836,-21.63846,0.022676982,0.01769039
t_10041,26.63802,-21.6802,0.024223262,0.016131392
t_10042,26.68294,-21.6802,0.023202559,0.015654383
t_10043,26.63802,-21.63846,0.030647652,0.015735747
t_10044,26.68294,-21.63846,0.029229864,0.015283767
t_10045,26.5931,-21.63846,0.03421005,0.016202405
t_10046,26.68294,-21.5967,0.031929705,0.014918372
t_10047,26.63802,-21.5967,0.027857276,0.015346454
t_10048,26.5931,-21.5967,0.02737725,0.015787542
t_10049,26.5931,-21.55493,0.02538438,0.015380993
t_1005,24.97614,-25.62875,0.013640126,0.0065682544
t_10050,26.68294,-21.55493,0.028819216,0.014558869
t_10051,26.54819,-21.63846,0.027858872,0.016683698
t_10052,26.50327,-21.5967,0.032196034,0.016708415
t_10053,26.45836,-21.5967,0.023872381,0.01718784
t_10054,26.54819,-21.5967,0.030095512,0.016241504
t_10055,26.41344,-21.5967,0.032207437,0.017679628
t_10056,26.41344,-21.55493,0.027873427,0.017159287
t_10057,26.54819,-21.55493,0.031229584,0.015809083
t_10058,26.45836,-21.55493,0.026123008,0.016698591
t_10059,26.50327,-21.55493,0.02696874,0.01624845
t_1006,24.97614,-25.46666,0.015120757,0.0072269156
t_10060,26.45836,-21.51315,0.02652876,0.016222922
t_10061,26.77277,-21.5967,0.026105298,0.014101055
t_10062,26.72785,-21.5967,0.027227242,0.014503338
t_10063,26.81768,-21.5967,0.021482661,0.013711534
t_10064,26.81768,-21.55493,0.019380651,0.013412019
t_10065,26.77277,-21.55493,0.02302989,0.0137828505
t_10066,26.72785,-21.55493,0.027819712,0.01416516
t_10067,26.77277,-21.51315,0.020916577,0.013469171
t_10068,26.72785,-21.51315,0.025662523,0.013832376
t_10069,26.81768,-21.51315,0.020427253,0.013116267
t_1007,24.97614,-25.30434,0.013202662,0.007989992
t_10070,26.81768,-21.47136,0.02536966,0.012824696
t_10071,26.63802,-21.55493,0.029638434,0.014964186
t_10072,26.5931,-21.51315,0.023404028,0.0149832
t_10073,26.63802,-21.51315,0.022486363,0.014589413
t_10074,26.68294,-21.51315,0.022169864,0.014205745
t_10075,26.63802,-21.47136,0.02802147,0.01422251
t_10076,26.5931,-21.47136,0.02998724,0.014594506
t_10077,26.68294,-21.47136,0.021899976,0.013859399
t_10078,26.63802,-21.42955,0.027096154,0.013863685
t_10079,26.5931,-21.42955,0.026382124,0.014215073
t_1008,24.97614,-25.14181,0.016388075,0.008881506
t_10080,26.68294,-21.42955,0.026593225,0.0135200685
t_10081,26.41344,-21.51315,0.028608583,0.016654536
t_10082,26.54819,-21.51315,0.02950913,0.015386842
t_10083,26.50327,-21.51315,0.03087119,0.015800264
t_10084,26.45836,-21.47136,0.030250661,0.015760982
t_10085,26.50327,-21.47136,0.028168619,0.015364093
t_10086,26.54819,-21.47136,0.027536217,0.0149750775
t_10087,26.41344,-21.47136,0.031385537,0.016165428
t_10088,26.45836,-21.42955,0.030137673,0.015312717
t_10089,26.50327,-21.42955,0.026844,0.0149399685
t_1009,24.97614,-24.97906,0.0182611,0.009933208
t_10090,26.41344,-21.42955,0.025760263,0.015691789
t_10091,26.77277,-21.47136,0.02014256,0.013160435
t_10092,26.72785,-21.47136,0.020883191,0.013505397
t_10093,26.77277,-21.42955,0.02524427,0.012856923
t_10094,26.72785,-21.42955,0.026098387,0.013184488
t_10095,26.81768,-21.42955,0.019620227,0.012537595
t_10096,26.77277,-21.38774,0.025546992,0.012559069
t_10097,26.81768,-21.38774,0.025468264,0.012255405
t_10098,26.72785,-21.38774,0.023983717,0.012870073
t_10099,26.81768,-21.34591,0.0244863,0.011978239
t_101,23.35917,-24.57124,0.017902622,0.008408334
t_1010,24.97614,-24.81609,0.015961755,0.011187518
t_10100,26.77277,-21.34591,0.023451354,0.0122669665
t_10101,26.54819,-21.42955,0.028740006,0.014573893
t_10102,26.45836,-21.38774,0.023863832,0.014878299
t_10103,26.41344,-21.38774,0.026610916,0.015233703
t_10104,26.54819,-21.38774,0.021530936,0.014183595
t_10105,26.50327,-21.38774,0.024500748,0.01452814
t_10106,26.54819,-21.34591,0.02384966,0.013804042
t_10107,26.50327,-21.34591,0.027755518,0.014128382
t_10108,26.41344,-21.34591,0.022261357,0.014790733
t_10109,26.45836,-21.34591,0.022931391,0.014457406
t_1011,25.06597,-24.73453,0.021146668,0.011980637
t_10110,26.54819,-21.30407,0.025613828,0.013435309
t_10111,26.5931,-21.38774,0.02264838,0.013845253
t_10112,26.63802,-21.38774,0.022833912,0.013513322
t_10113,26.68294,-21.38774,0.021437753,0.013188166
t_10114,26.68294,-21.34591,0.024384897,0.012863714
t_10115,26.5931,-21.34591,0.020938437,0.013484972
t_10116,26.63802,-21.34591,0.024320366,0.013171404
t_10117,26.63802,-21.30407,0.023690993,0.012838102
t_10118,26.68294,-21.30407,0.024180545,0.012546925
t_10119,26.5931,-21.30407,0.022604859,0.013134359
t_1012,25.02105,-24.73453,0.018643273,0.011948146
t_10120,26.68294,-21.26222,0.024154287,0.012237876
t_10121,27.40159,-21.88874,0.01645934,0.010628245
t_10122,27.35667,-21.88874,0.01740181,0.010936628
t_10123,27.31176,-21.88874,0.018443532,0.011257804
t_10124,27.31176,-21.84706,0.017153503,0.011110939
t_10125,27.40159,-21.84706,0.016077233,0.010498318
t_10126,27.26684,-21.84706,0.018760666,0.01143624
t_10127,27.35667,-21.84706,0.019321097,0.010798551
t_10128,27.40159,-21.80536,0.015556415,0.010365639
t_10129,27.35667,-21.80536,0.016626354,0.010657678
t_1013,24.97614,-24.73453,0.024088463,0.011907879
t_10130,27.31176,-21.80536,0.017344162,0.010961246
t_10131,28.5694,-21.84706,0.007025051,0.0055603776
t_10132,28.74906,-21.84706,0.008851983,0.005111349
t_10133,28.74906,-21.6802,0.0074053565,0.004984898
t_10134,27.67108,-21.84706,0.012713416,0.008923051
t_10135,28.03041,-21.84706,0.011124455,0.007300086
t_10136,27.49142,-21.84706,0.015234978,0.009932278
t_10137,28.21007,-21.84706,0.00934151,0.006643279
t_10138,27.85075,-21.84706,0.013505297,0.008053579
t_10139,28.38974,-21.84706,0.008209975,0.006067568
t_1014,25.06597,-24.69373,0.022113899,0.012373201
t_10140,27.85075,-21.6802,0.012173369,0.0077386536
t_10141,28.38974,-21.6802,0.008498703,0.0058898996
t_10142,28.21007,-21.6802,0.0103557985,0.006430174
t_10143,27.49142,-21.6802,0.014138699,0.009447622
t_10144,27.26684,-21.80536,0.017746465,0.011277037
t_10145,27.26684,-21.76365,0.01623333,0.011115462
t_10146,27.40159,-21.76365,0.01679691,0.01023059
t_10147,27.31176,-21.76365,0.016587632,0.010809165
t_10148,27.35667,-21.76365,0.015631607,0.01051442
t_10149,27.26684,-21.72193,0.016348654,0.010951939
t_1015,25.02105,-24.69373,0.01882204,0.012338331
t_10150,27.35667,-21.72193,0.015579286,0.010369142
t_10151,27.31176,-21.72193,0.02228774,0.010655092
t_10152,27.40159,-21.72193,0.017359968,0.0100935055
t_10153,27.40159,-21.6802,0.016504137,0.009954713
t_10154,28.03041,-21.6802,0.00998142,0.007042242
t_10155,27.67108,-21.6802,0.011902182,0.0085344855
t_10156,27.67108,-21.51315,0.012884669,0.008121654
t_10157,27.49142,-21.51315,0.014246884,0.0089390725
t_10158,27.85075,-21.51315,0.011105161,0.0074005546
t_10159,28.03041,-21.51315,0.010880839,0.0067629893
t_1016,24.97614,-24.69373,0.02164341,0.012295129
t_10160,27.40159,-21.47136,0.015129604,0.009245366
t_10161,27.40159,-21.42955,0.013922589,0.009102274
t_10162,28.5694,-21.6802,0.008291696,0.0054110494
t_10163,27.40159,-21.38774,0.015259043,0.008959372
t_10164,27.49142,-21.34591,0.013046287,0.0084221
t_10165,27.85075,-21.34591,0.01061577,0.0070485678
t_10166,27.67108,-21.34591,0.01123762,0.0076965475
t_10167,27.40159,-21.34591,0.018696355,0.008816796
t_10168,27.40159,-21.30407,0.014946602,0.008674772
t_10169,27.40159,-21.26222,0.01358503,0.008533473
t_1017,24.97614,-24.65291,0.021738594,0.01270218
t_10170,27.40159,-21.22035,0.013397318,0.008393026
t_10171,27.49142,-21.17848,0.013358776,0.007909067
t_10172,27.40159,-21.17848,0.0131764,0.008253645
t_10173,27.67108,-21.17848,0.012100945,0.0072692144
t_10174,27.85075,-21.17848,0.010488125,0.006690775
t_10175,27.40159,-21.13659,0.012291626,0.008115396
t_10176,27.40159,-21.09469,0.014440643,0.007978433
t_10177,27.17701,-21.63846,0.017375106,0.01120724
t_10178,27.13209,-21.63846,0.01926618,0.01151647
t_10179,27.22193,-21.5967,0.016583355,0.01073189
t_1018,24.88631,-24.73453,0.020112647,0.011804714
t_10180,27.17701,-21.5967,0.019373069,0.011019915
t_10181,27.13209,-21.5967,0.017665159,0.011317937
t_10182,27.13209,-21.55493,0.02290297,0.01111955
t_10183,27.17701,-21.55493,0.017612254,0.0108325025
t_10184,27.22193,-21.55493,0.017502574,0.010554751
t_10185,27.22193,-21.51315,0.017696021,0.010377662
t_10186,27.17701,-21.51315,0.019194555,0.010645358
t_10187,26.90751,-21.63846,0.020678338,0.013237242
t_10188,26.95243,-21.63846,0.023900421,0.0128684435
