FIELD,DESCRIPTION
Year,2016
Country,Ecuador
Region,South America
Event Name,Pedernales 2016
Local Date,16/04/2016
Local Time,06:58:34
Latitude (decimal degrees),0.31
Longitude (decimal degrees),-80.12
Depth (km),17
Mw,7.8
Max Intensity (MMI),IX
Fault mechanism,Reverse
Tectonic region type,Shallow upper crustal
Fatalities,650-700 
Injured,6274-230000
Displaced population,28678-386985
Affected population,383090-1000000000
Affected units,
Damaged units,9180-26672 
Collapsed units,6998-36149 
Economic losses,1300-3300 M USD
Insured losses,560 M USD
Earthquake-triggered effects,"Tsunami, Landslides"
USGS event ID,us20005j32
Wikipedia page,https://es.wikipedia.org/wiki/Terremoto de Ecuador de 2016
