ID_1,NAME_1,ID_2,NAME_2,GRADE_0,GRADE_1,GRADE_2,GRADE_3,GRADE_4,GRADE_5,UNIT_TYPES,CAUSE_OF_DAMAGE,REFERENCE,COMMENTS,TAXONOMY,NONE,SLIGHT,LIGHT,GREEN,MODERATE,YELLOW,HEAVY,RED,MAJOR,COLLAPSED,DEMOLISHED,NOT_DAMAGED,SLIGHTLY_DAMAGED,MODERATELY_DAMAGED,HEAVILY DAMAGED,DS0,DS1,DS2,DS3,DS4,DS5,PARTIALLY_DAMAGED,FULLY_DAMAGED,TOTAL_DAMAGED_AND_DESTROYED,AFFECTED_UNITS,DAMAGED_UNITS,COLLAPSED_UNITS
1,Koshi,12,Okhaldhunga,,7961,8605,9220,7946,5620,Buildings,Ground shaking,2015_Nepal_earthquake_open_data, Damage grade assigned to the building by the surveyor after assessment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Bagmati,20,Sindhuli,,13087,14469,17085,15917,8191,Buildings,Ground shaking,2015_Nepal_earthquake_open_data, Damage grade assigned to the building by the surveyor after assessment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Bagmati,21,Ramechhap,,2116,7151,16945,20910,11490,Buildings,Ground shaking,2015_Nepal_earthquake_open_data, Damage grade assigned to the building by the surveyor after assessment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Bagmati,22,Dolakha,,1353,2993,6520,14409,35364,Buildings,Ground shaking,2015_Nepal_earthquake_open_data, Damage grade assigned to the building by the surveyor after assessment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Bagmati,23,Sindhupalchok,,1233,2009,3271,10796,71432,Buildings,Ground shaking,2015_Nepal_earthquake_open_data, Damage grade assigned to the building by the surveyor after assessment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Bagmati,24,Kavrepalanchok,,8330,11726,25130,28974,23859,Buildings,Ground shaking,2015_Nepal_earthquake_open_data, Damage grade assigned to the building by the surveyor after assessment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Bagmati,28,Nuwakot,,2615,2745,8209,23284,40295,Buildings,Ground shaking,2015_Nepal_earthquake_open_data, Damage grade assigned to the building by the surveyor after assessment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Bagmati,29,Rasuwa,,277,343,782,2064,9178,Buildings,Ground shaking,2015_Nepal_earthquake_open_data, Damage grade assigned to the building by the surveyor after assessment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Bagmati,30,Dhading,,4952,7526,15218,26080,35346,Buildings,Ground shaking,2015_Nepal_earthquake_open_data, Damage grade assigned to the building by the surveyor after assessment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Bagmati,31,Makwanpur,,32540,21135,18525,10928,7866,Buildings,Ground shaking,2015_Nepal_earthquake_open_data, Damage grade assigned to the building by the surveyor after assessment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Gandaki,36,Gorkha,,4351,8555,15507,22536,27125,Buildings,Ground shaking,2015_Nepal_earthquake_open_data, Damage grade assigned to the building by the surveyor after assessment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
