STATION_ID,STATION_NAME,LATITUDE,LONGITUDE,STATION_TYPE,MMI_VALUE,MMI_STDDEV,REFERENCES,GMICE,PGA_VALUE,PGA_LN_SIGMA,PGV_VALUE,PGV_LN_SIGMA
ms_01,Aagra,27.679,85.02,macroseismic,6,0.8,Martin_at_al_2015_CaprioEtAl2015,CaprioEtAl2015,0.085957938,1.4,5.521336017,1.3
ms_02,Aambhanjyang,27.449,85.1,macroseismic,6,0.8,Martin_at_al_2015_CaprioEtAl2015,CaprioEtAl2015,0.085957938,1.4,5.521336017,1.3
ms_03,Aandar,26.102,84.295,macroseismic,5,0.8,Martin_at_al_2015_CaprioEtAl2015,CaprioEtAl2015,0.047059019,1.4,2.331592043,1.3
ms_04,Abdullapur,26.813,81.306,macroseismic,4.5,0.8,Martin_at_al_2015_CaprioEtAl2015,CaprioEtAl2015,0.023030741,0.7,1.116423124,0.9
ms_05,Aber Gaon,24.7,81.014,macroseismic,5.5,0.8,Martin_at_al_2015_CaprioEtAl2015,CaprioEtAl2015,0.063601071,1.4,3.587966433,1.3
ms_06,Accheja,28.725,77.736,macroseismic,4,0.8,Martin_at_al_2015_CaprioEtAl2015,CaprioEtAl2015,0.011447895,0.7,0.540960448,0.9
ms_07,Achalpur,21.257,77.508,macroseismic,2,0.8,Martin_at_al_2015_CaprioEtAl2015,CaprioEtAl2015,0.00069887,0.7,0.029820318,0.9
ms_08,Achitpur,26.038,84.8,macroseismic,6,0.8,Martin_at_al_2015_CaprioEtAl2015,CaprioEtAl2015,0.085957938,1.4,5.521336017,1.3
ms_09,Adalhat,25.13,83.034,macroseismic,3,0.8,Martin_at_al_2015_CaprioEtAl2015,CaprioEtAl2015,0.002828532,0.7,0.127010286,0.9
ms_10,Adhaura,24.694,83.61,macroseismic,4.5,0.8,Martin_at_al_2015_CaprioEtAl2015,CaprioEtAl2015,0.023030741,0.7,1.116423124,0.9
ms_11,Adheri - 1,27.755,85.828,macroseismic,7,0.8,Martin_at_al_2015_CaprioEtAl2015,CaprioEtAl2015,0.157010649,1.4,13.0748222,1.3
ms_12,Adheri - 2,27.751,85.821,macroseismic,7,0.8,Martin_at_al_2015_CaprioEtAl2015,CaprioEtAl2015,0.157010649,1.4,13.0748222,1.3
