STATION_ID,STATION_NAME,LATITUDE,LONGITUDE,REFERENCES,STATION_TYPE,SOIL_TYPE,PGA_VALUE_V,SA(0.3)_VALUE_V,SA(0.6)_VALUE_V,SA(1.0)_VALUE_V,PGA_VALUE_1,SA(0.3)_VALUE_1,SA(0.6)_VALUE_1,SA(1.0)_VALUE_1,PGA_VALUE_2,SA(0.3)_VALUE_2,SA(0.6)_VALUE_2,SA(1.0)_VALUE_2,PGA_VALUE,SA(0.3)_VALUE,SA(0.6)_VALUE,SA(1.0)_VALUE,PGA_LN_SIGMA,SA(0.3)_LN_SIGMA,SA(0.6)_LN_SIGMA,SA(1.0)_LN_SIGMA
KHZ,KHZ,-42.416,173.539,Stations_GeoNet,seismic, ,0.003474672,0.005838637,0.00670807,0.008521435,0.005812066,0.010732566,0.009083977,0.012338411,0.00457054,0.008781287,0.008912066,0.007752674,0.005812066,0.010732566,0.009083977,0.012338411,0,0,0,0
RPZ,RPZ,-43.715,171.054,Stations_GeoNet,seismic, ,0.046231902,0.074392017,0.082268745,0.051882497,0.047893541,0.091950468,0.087427679,0.044945431,0.0496893,0.092490172,0.128572236,0.064140143,0.0496893,0.092490172,0.128572236,0.064140143,0,0,0,0
IFPS,IFPS,-42.727,171.473,Stations_GeoNet,seismic, ,0.017072242,0.041660437,0.057614012,0.02525811,0.040416761,0.074137995,0.153770285,0.064082369,0.026511702,0.071459399,0.117139035,0.083718252,0.040416761,0.074137995,0.153770285,0.083718252,0,0,0,0
ASHS,ASHS,-43.274,172.596,Stations_GeoNet,seismic, ,0.155775773,0.12480749,0.083382599,0.080565786,0.138690773,0.3114428,0.132113206,0.098709147,0.166321736,0.356786754,0.204022945,0.127869263,0.166321736,0.356786754,0.204022945,0.127869263,0,0,0,0
CHHC,CHHC,-43.536,172.628,Stations_GeoNet,seismic, ,0.15863823,0.125716775,0.112194947,0.072633049,0.151256441,0.585608656,0.462017926,0.288181051,0.205920814,0.449993602,0.506977751,0.403297135,0.205920814,0.585608656,0.506977751,0.403297135,0,0,0,0
ARKS,ARKS,-41.242,174.944,Stations_GeoNet,seismic, ,0.003096063,0.006634687,0.00493288,0.004802731,0.006520915,0.026458768,0.004337161,0.003586868,0.008533948,0.039983053,0.0064218,0.002326411,0.008533948,0.039983053,0.0064218,0.003586868,0,0,0,0
CECS,CECS,-42.813,173.275,Stations_GeoNet,seismic, ,0.019241061,0.049534211,0.037958309,0.034421393,0.036725502,0.137041335,0.109455183,0.053978647,0.040084892,0.096177313,0.080044372,0.043156705,0.040084892,0.137041335,0.109455183,0.053978647,0,0,0,0
WNHS,WNHS,-41.301,174.776,Stations_GeoNet,seismic, ,0.002463066,0.0052441,0.001853648,0.001727598,0.003465838,0.006646894,0.003694,0.003654754,0.00491996,0.010262214,0.004549721,0.002814402,0.00491996,0.010262214,0.004549721,0.003654754,0,0,0,0
WVAS,WVAS,-43.072,170.737,Stations_GeoNet,seismic, ,0.025139708,0.04039115,0.05370186,0.0633317,0.032748411,0.058250505,0.052687785,0.086677475,0.031363147,0.08170788,0.090793294,0.091723069,0.032748411,0.08170788,0.090793294,0.091723069,0,0,0,0
BENS,BENS,-44.563,170.193,Stations_GeoNet,seismic, ,0.00799221,0.016248551,0.021862987,0.010012862,0.014327079,0.02883668,0.026832241,0.022785271,0.009871543,0.025053981,0.019508205,0.024743013,0.014327079,0.02883668,0.026832241,0.024743013,0,0,0,0
