# 19900530_Sequence_Vrancea/19900530_M6.95_Vrancea median gmf, Stations:None, gmlt:USGS, Rupture:GCMT
custom_site_id,lon,lat,AbrahamsonEtAl2015SSlab,AtkinsonBoore2003SSlab,LinLee2008SSlab,ZhaoEtAl2016SSlab
t_10,24.555939999999993,41.579,0.004407701,0.0013914562,0.0044607637,0.005910534
t_100,24.796570000000003,42.17033,0.009150816,0.002735829,0.00571863,0.008129948
t_101,24.472820000000013,42.1939,0.008495243,0.00257711,0.0055574533,0.00778405
t_1010,20.95239000000001,46.23663,0.009136009,0.0025328903,0.0055855364,0.0077122487
t_1011,20.614859999999993,46.25321,0.007978781,0.0020461262,0.005075214,0.0065829433
t_1012,21.13347999999999,46.34515,0.009865634,0.0028212904,0.005875065,0.00834164
t_1013,20.79561000000001,46.36202,0.008663517,0.0022739156,0.005325448,0.0071308482
t_1014,20.45761999999999,46.37834,0.0076210867,0.001841776,0.0048500546,0.006119561
t_1015,20.97675000000001,46.47058,0.0091428505,0.0025213805,0.0055866293,0.0076867524
t_1016,20.63843,46.48717,0.007889412,0.0020383443,0.0050769886,0.006564767
t_1017,21.158299999999997,46.57887,0.009598315,0.0027885458,0.0058581806,0.008243663
t_1018,20.81962999999999,46.59575,0.0085261,0.0022504958,0.005312632,0.007053977
t_1019,20.480850000000004,46.61207,0.007679068,0.0018249373,0.0048403414,0.0060789506
t_102,24.974620000000016,42.27868,0.009026073,0.0031376951,0.0060925335,0.008983303
t_1023,20.299990000000008,46.50321,0.0070198816,0.0016554828,0.004634536,0.0056456914
t_1027,20.322869999999995,46.73671,0.0071998895,0.0016322703,0.004615487,0.0056068366
t_103,24.65057999999999,42.30254,0.009125801,0.0029670105,0.0059273215,0.008624554
t_104,24.828699999999998,42.41093,0.009320537,0.0034179944,0.0063308906,0.009561711
t_105,24.504220000000004,42.43451,0.007915417,0.0028540383,0.006110864,0.009959401
t_106,24.682410000000004,42.54294,0.0067895795,0.003302294,0.006541498,0.00878449
t_107,24.86097000000001,42.65113,0.0066641634,0.0024692768,0.0070140865,0.009779925
t_108,24.53576000000001,42.67473,0.0073794685,0.003560569,0.0067689614,0.009281499
t_109,23.824880000000007,42.2394,0.0048503727,0.001969418,0.005162379,0.0060292007
t_11,24.732759999999985,41.68799,0.004453931,0.0015827868,0.0047154035,0.0051452345
t_110,24.326390000000004,42.32584,0.0074008307,0.0024691029,0.0057180016,0.008961902
t_111,24.00206,42.34859,0.006363963,0.002278859,0.005509138,0.008454103
t_112,24.17958999999999,42.45755,0.0074437796,0.002640639,0.0058896923,0.00941106
t_113,23.854829999999993,42.48004,0.005981662,0.0024155814,0.0056512016,0.008820111
t_114,24.357489999999984,42.56626,0.0062208516,0.0019783832,0.006308093,0.008317339
