# 20151117_M6.5_Lefkada median gmf, Stations:Seismic, gmlt:GEM, Rupture:USGS
custom_site_id,lon,lat,KothaEtAl2020ESHM20SlopeGeology,"KothaEtAl2020ESHM20SlopeGeology
c3_epsilon = -1.73205100","KothaEtAl2020ESHM20SlopeGeology
c3_epsilon = 1.73205100","KothaEtAl2020ESHM20SlopeGeology
sigma_mu_epsilon = -1.35563000","KothaEtAl2020ESHM20SlopeGeology
sigma_mu_epsilon = 1.35563000"
t_0,15.091070000000002,36.9647,0.00039089748,0.00020837522,0.0007332966,0.0003790968,0.0004030655
t_1,15.171069999999986,37.02497,0.0003823032,0.00020769534,0.00070370256,0.00037076205,0.00039420358
t_10,14.945269999999994,37.21728,0.0003993978,0.00021549092,0.00074025674,0.0003873411,0.0004118298
t_100,14.821550000000002,38.08939,0.012941138,0.016363654,0.010234453,0.012630263,0.013259663
t_1000,19.72104999999999,43.35376,0.0006707129,0.00062746165,0.00071694545,0.0006511709,0.0006908413
t_1001,19.556899999999985,43.36128,0.0007137194,0.000678668,0.00075058115,0.00069285533,0.00073521177
t_1002,19.644139999999993,43.41741,0.00074942445,0.0007008293,0.00080138916,0.00072774565,0.00077174907
t_1003,19.73147,43.47348,0.0006546153,0.000622221,0.00068869605,0.00063553156,0.000674272
t_1004,19.885169999999988,43.3461,0.00084249757,0.00079998013,0.0008872747,0.0008179629,0.0008677681
t_1005,19.97256999999999,43.40209,0.0008003629,0.0007732676,0.00082840765,0.0007773988,0.0008240053
t_1006,19.808369999999996,43.40982,0.0008327323,0.0007892351,0.0008786268,0.00080848805,0.00085770356
t_1007,20.060059999999993,43.45802,0.0009140144,0.0008820358,0.00094715244,0.0008876426,0.00094116974
t_1008,19.895780000000002,43.46582,0.00094299414,0.0009256086,0.0009607062,0.00091703853,0.00096968433
t_1009,19.983280000000008,43.52176,0.0013125781,0.0013067158,0.0013184667,0.0012805646,0.0013453921
t_101,15.836680000000001,38.00117,0.011355489,0.014476727,0.008907201,0.011069193,0.011649189
t_1010,19.81889000000001,43.52949,0.0010748758,0.0010702413,0.0010795303,0.0010478314,0.0011026183
t_1014,18.871769999999998,43.0302,0.0019843818,0.0019931095,0.0019756926,0.0019479714,0.002021473
t_1015,18.708069999999992,43.03703,0.0010745128,0.0010704168,0.0010786245,0.0010458886,0.0011039204
t_1016,18.794579999999996,43.09366,0.0013773083,0.001387395,0.0013672949,0.0013484192,0.0014068163
t_1017,18.881190000000004,43.15023,0.0013751612,0.0013904622,0.0013600286,0.001341258,0.0014099216
t_1018,18.717299999999994,43.15707,0.0019329464,0.001968369,0.0018981614,0.001901525,0.0019648871
t_1019,18.803920000000005,43.21365,0.0014171479,0.0014342024,0.0014002962,0.0013790211,0.0014563288
t_102,16.074360000000013,38.05619,0.0076181362,0.009406395,0.0061698454,0.0074455733,0.0077946987
t_1020,18.890620000000013,43.27017,0.0013790914,0.0014163527,0.0013428105,0.0013472118,0.0014117255
t_1021,19.27600000000001,42.95247,0.0030148027,0.0029483882,0.0030827133,0.0029282512,0.0031039126
t_1022,19.362740000000002,43.00888,0.0035799253,0.0036458494,0.0035151932,0.003483802,0.0036787007
t_1023,19.449579999999997,43.06524,0.0033368357,0.0033287539,0.0033449372,0.003247764,0.0034283504
t_1024,19.28586999999999,43.07255,0.0016875374,0.0017019891,0.0016732084,0.0016523831,0.0017234395
t_1025,19.372720000000015,43.12891,0.0040351003,0.0040091285,0.0040612402,0.003942138,0.004130255
t_1026,19.459659999999985,43.18522,0.0018509101,0.0018862267,0.0018162549,0.0018218757,0.0018804074
t_1027,19.29576,43.19253,0.001613556,0.0016941607,0.0015367863,0.0015756035,0.0016524227
t_1028,19.382710000000003,43.24884,0.0016660143,0.0016718021,0.0016602465,0.0016563002,0.0016757854
t_1029,19.469760000000008,43.30509,0.0018013924,0.0018748716,0.001730793,0.0017698859,0.0018334597
t_103,15.9178,38.06081,0.00659584,0.0074122455,0.005869356,0.0065118484,0.006680915
t_1030,19.305669999999992,43.31241,0.0020415823,0.0021065166,0.0019786495,0.0020168375,0.0020666306
t_1031,19.131830000000008,43.19971,0.0018609766,0.0019890405,0.0017411578,0.0018184512,0.0019044963
t_1032,18.96789000000001,43.20675,0.0024806152,0.0025789144,0.0023860626,0.0024361198,0.002525923
t_1033,19.218709999999987,43.25609,0.0022672412,0.002432173,0.002113494,0.0022092706,0.002326733
t_1034,19.05467999999999,43.2632,0.0029618302,0.0033071742,0.002652548,0.002878998,0.0030470458
t_1035,19.14156,43.31959,0.002925517,0.0033232502,0.0025753854,0.0028410007,0.0030125477
t_1036,18.97743,43.32663,0.0040158643,0.004645262,0.0034717454,0.0038983875,0.0041368813
t_1037,19.22854000000001,43.37592,0.00786035,0.009285525,0.006653916,0.007627531,0.008100277
t_1038,19.06432000000001,43.38303,0.00342944,0.003947162,0.002979624,0.003330233,0.003531603
t_1039,19.151309999999995,43.43937,0.0043233866,0.0050891475,0.003672849,0.004196454,0.0044541582
t_104,15.761230000000012,38.0653,0.004433858,0.0046693757,0.00421022,0.004407352,0.0044605243
t_1040,19.39273,43.36867,0.0043277205,0.0050636344,0.0036987592,0.0042026937,0.0044564665
t_1041,19.47988000000001,43.42487,0.005161595,0.0061794426,0.0043114023,0.005010257,0.005317504
t_1042,19.315609999999992,43.43219,0.0068592816,0.008247068,0.005705027,0.0066558877,0.0070688915
t_1043,19.402770000000004,43.4884,0.007788928,0.009527228,0.0063677914,0.0075584007,0.008026486
t_1047,19.56712999999999,43.48101,0.0065404265,0.007959012,0.0053746845,0.006349547,0.006737044
t_105,15.999009999999998,38.1204,0.005546111,0.0063938145,0.0048107984,0.0054534823,0.0056403135
t_1056,20.31199000000001,43.50588,0.003940238,0.004430587,0.003504158,0.0038282913,0.0040554586
t_1057,20.14765,43.51389,0.0033215897,0.0037017462,0.0029804737,0.0032299215,0.0034158595
t_106,15.842359999999985,38.12496,0.0048228255,0.0055426345,0.0041964967,0.00474003,0.004907068
t_107,15.372330000000005,38.13782,0.004732224,0.005515937,0.0040598623,0.004639716,0.004826577
t_108,15.215630000000004,38.14184,0.0033826455,0.003922891,0.002916801,0.0032937953,0.0034738926
t_1084,22.350529999999992,36.51025,0.0035542287,0.004059726,0.0031116738,0.0034536978,0.0036576858
t_1085,22.433899999999994,36.56731,0.0034323754,0.00387663,0.0030390313,0.003339619,0.003527708
t_1086,22.517349999999993,36.62432,0.004285506,0.0049681603,0.0036966526,0.0041654306,0.004409043
t_1087,22.36314999999999,36.63457,0.0032470596,0.0036066526,0.002923319,0.003167085,0.003329054
t_1088,22.446619999999996,36.6916,0.0035767972,0.0040904824,0.003127621,0.0034822912,0.003673868
t_1089,22.90934999999999,36.66024,0.0038889272,0.004359965,0.0034687787,0.003797385,0.003982676
t_109,14.90218999999999,38.14946,0.0026035286,0.003008185,0.002253306,0.0025331455,0.0026758672
t_1090,22.83882,36.72766,0.0050267256,0.005811142,0.0043481938,0.004897328,0.005159542
t_1091,22.92258000000001,36.78444,0.003643835,0.003969691,0.0033447267,0.0035769062,0.003712016
t_1092,22.613789999999995,36.80549,0.0055291653,0.00657145,0.004652195,0.005370395,0.0056926296
t_1093,22.851979999999998,36.85183,0.0054878388,0.0064495075,0.0046695615,0.005336219,0.005643766
t_1094,22.697509999999994,36.86236,0.008274909,0.009980515,0.006860781,0.008039686,0.008517015
t_1095,21.912530000000004,36.78878,0.005980381,0.007113161,0.0050279973,0.005818499,0.0061467667
t_1096,21.758049999999997,36.7985,0.005637325,0.0065671336,0.0048391633,0.0054978584,0.0057803295
t_1097,21.841340000000002,36.85577,0.0074244337,0.008920605,0.006179201,0.007228899,0.0076252576
t_1098,21.924710000000005,36.91298,0.0072976667,0.00853865,0.0062370435,0.0071271304,0.007472283
t_1099,21.770070000000004,36.9227,0.0108903805,0.013195269,0.008988099,0.01061281,0.011175211
t_11,14.789819999999992,37.22094,0.0003851226,0.0002058751,0.000720434,0.00037349694,0.00039711018
t_110,15.453300000000013,38.19763,0.0026176274,0.0029973486,0.0022860116,0.0025509587,0.0026860386
t_1100,21.85345000000001,36.97993,0.009303159,0.010470843,0.008265693,0.009132462,0.009477047
t_1101,22.23391000000001,36.89313,0.011506702,0.0134943165,0.0098118475,0.011254937,0.011764098
t_1102,22.16283999999999,36.96022,0.00094135414,0.00090666284,0.0009773728,0.00091403996,0.0009694845
t_1103,22.530159999999995,36.74857,0.0008867256,0.0008696775,0.00090410793,0.000861837,0.00091233297
t_1104,22.375799999999998,36.75883,0.00074585824,0.00071632117,0.00077661325,0.0007241694,0.00076819665
t_1105,22.459360000000004,36.81582,0.0009900704,0.0009694871,0.0010110908,0.0009617985,0.0010191734
t_1106,22.30489,36.826,0.0009430577,0.00092101796,0.0009656249,0.0009159321,0.0009709866
t_1107,22.543000000000006,36.87275,0.0013471452,0.001341102,0.0013532158,0.0013097088,0.0013856518
t_1108,22.388470000000012,36.88301,0.00089001376,0.00086604257,0.00091464847,0.000864567,0.0009162095
t_1109,22.472129999999993,36.93996,0.0011397436,0.0011321463,0.0011473917,0.00110751,0.0011729155
t_111,15.296519999999987,38.20172,0.002339353,0.00265172,0.0020637822,0.0022806127,0.0023996064
t_1110,22.317499999999995,36.95016,0.001126581,0.0011151932,0.001138085,0.0010949745,0.0011590999
t_1111,22.55587,36.99686,0.0012086425,0.0012211915,0.0011962225,0.0011750365,0.0012432097
t_1112,22.401170000000008,37.00712,0.0024197577,0.0025790492,0.0022703048,0.0023680564,0.0024725879
t_1113,22.246440000000007,37.01725,0.0018640298,0.0019885108,0.0017473412,0.0018212707,0.0019077928
t_1114,22.09169,37.02725,0.0024408486,0.0026676129,0.0022333607,0.002377815,0.002505553
t_1115,22.175309999999996,37.0843,0.0020389606,0.0021780771,0.0019087294,0.0019870435,0.002092234
t_1116,22.020460000000014,37.09423,0.002216567,0.0024199756,0.0020302557,0.002158328,0.0022763775
t_1117,22.259000000000015,37.1413,0.0021167723,0.0023076092,0.0019417175,0.002059224,0.002175929
t_1118,22.104089999999985,37.1513,0.002604766,0.0029030323,0.0023371445,0.0025317315,0.0026799075
t_1119,22.18780000000001,37.20832,0.002378131,0.0026425237,0.0021401916,0.002310952,0.002447263
