FIELD,DESCRIPTION
Year,2016
Country,Italy
Region,Europe
Event Name,CentralItaly 2016
Local Date,26/10/2016
Local Time,19:18:08
Latitude (decimal degrees),42.9564
Longitude (decimal degrees),13.0666
Depth (km),10
Mw,6.1
Max Intensity (MMI),VIII
Fault mechanism,Normal
Tectonic region type,Active Shallow Crust
Fatalities,0-1
Injured,0-24
Displaced population,
Affected population,~3027
Affected units,
Damaged units,
Collapsed units,
Economic losses,0-200 M USD
Insured losses,
Earthquake-triggered effects,
USGS event ID,us1000725y
Wikipedia page,https://en.wikipedia.org/wiki/October 2016 Central Italy earthquakes
