FIELD,DESCRIPTION
Year,2009
Country,Malawi
Region,
Event_Name,Karonga
Local_Date,2009-12-19
Local_Time,1261264755550
Longitude,33.818
Latitude,-10.108
Depth_(km),6
Mw,6.0
Max_Intensity_(MMI),VII
Fault_mechanism,
Tectonic_region_type,
Fatalities,
Injured,
Displaced_Population,
Affected_Population,
Affected_Units,
Damaged_Units,
Collapsed_Units,
Economic_Losses,
Insured_Losses,
Induced_Effects,
USGS page,https://earthquake.usgs.gov/earthquakes/eventpage/usp000h56x/executive
Wikipedia page,https://en.wikipedia.org/wiki/2009_Karonga_earthquakes
