# 20080529_M6.32_Iceland median gmf, Stations:Seismic, gmlt:GEM, Rupture:EFEHR
custom_site_id,lon,lat,"KothaEtAl2020ESHM20SlopeGeology
KothaEtAl2020ESHM20SlopeGeology.dl2l
'PGA' = -0.305692","KothaEtAl2020ESHM20SlopeGeology
KothaEtAl2020ESHM20SlopeGeology.dl2l
'PGA' = -0.787319","KothaEtAl2020ESHM20SlopeGeology
KothaEtAl2020ESHM20SlopeGeology.dl2l
'PGA' = 0.175935","KothaEtAl2020ESHM20SlopeGeology
c3_epsilon = -1.73205100
KothaEtAl2020ESHM20SlopeGeology.dl2l
'PGA' = -0.305692","KothaEtAl2020ESHM20SlopeGeology
c3_epsilon = 1.73205100
KothaEtAl2020ESHM20SlopeGeology.dl2l
'PGA' = -0.305692"
s_0,-21.187000000000012,64.002,0.656432,0.656432,0.656432,0.656432,0.656432
s_1,-21.00200000000001,63.937,0.53059,0.53059,0.53059,0.53059,0.53059
s_2,-21.010999999999996,64.094,0.129728,0.129728,0.129728,0.129728,0.129728
s_3,-20.649,63.931,0.096179,0.096179,0.096179,0.096179,0.096179
s_4,-20.389999999999986,63.84,0.046861,0.046861,0.046861,0.046861,0.046861
s_5,-21.76400000000001,64.075,0.037199,0.037199,0.037199,0.037199,0.037199
s_6,-21.789999999999992,64.133,0.015196,0.015196,0.015196,0.015196,0.015196
s_7,-22.57480000000001,64.0093,0.02136412,0.01740463,0.02622438,0.017798899,0.025643477
t_0,-20.314120000000003,63.68756,0.038100597,0.032647554,0.044464443,0.03540314,0.041003577
t_1,-20.37664000000001,63.70531,0.039579164,0.03439001,0.045551315,0.03730184,0.04199552
t_10,-20.399190000000004,63.75077,0.047576457,0.042781968,0.05290825,0.045816667,0.04940384
t_100,-18.008550000000014,63.68907,0.006468889,0.0051976093,0.0080511095,0.0038759615,0.010796423
t_1000,-17.054419999999993,64.4323,0.0026966897,0.002166651,0.0033563944,0.0013131025,0.005538132
t_1001,-17.325199999999995,64.43269,0.003008151,0.0024168966,0.0037440457,0.0015479983,0.0058455956
t_1002,-17.866780000000006,64.43281,0.0041350215,0.0033223093,0.0051465416,0.0023740516,0.007202204
t_1003,-17.59599,64.43286,0.0035817975,0.0028778,0.004458014,0.0019472977,0.006588244
t_1004,-17.22099,64.44156,0.0028604032,0.0022981875,0.003560156,0.0014394353,0.0056841085
t_1005,-17.49181999999999,64.44182,0.0034695335,0.0027875977,0.0043182927,0.0018446498,0.0065257177
t_1006,-17.762640000000005,64.44185,0.003906773,0.0031389114,0.0048624743,0.002193655,0.0069577377
t_1007,-18.512380000000007,64.42279,0.0073796646,0.0059296805,0.009184213,0.0048217825,0.011294465
t_1008,-18.679129999999986,64.43133,0.0077239433,0.006206634,0.009612182,0.0052026655,0.011467065
t_1009,-18.408349999999984,64.43204,0.006019711,0.004836812,0.0074919024,0.0038476712,0.009417885
t_101,-18.78784999999999,63.52258,0.006266374,0.005036596,0.007796425,0.004268773,0.009198766
t_1010,-18.57512,64.44063,0.0064719226,0.005200352,0.008054413,0.00426528,0.009820172
t_1011,-18.741929999999996,64.44913,0.008548762,0.006869535,0.010638468,0.005805128,0.012589099
t_1012,-18.471069999999997,64.44989,0.0074825133,0.0060122143,0.009312376,0.0048246677,0.011604531
t_1013,-18.637900000000002,64.45845,0.0065906527,0.005295817,0.008202078,0.0043795723,0.009918024
t_1014,-18.533829999999995,64.46773,0.006905878,0.005548934,0.008594651,0.0044904444,0.010620586
t_1015,-18.700710000000015,64.47625,0.008165881,0.0065616486,0.010162325,0.0054693143,0.012191949
t_1016,-18.429730000000006,64.47698,0.006250963,0.0050225905,0.007779758,0.0039770445,0.009825019
t_1017,-17.116749999999996,64.4504,0.00282198,0.0022673155,0.0035123345,0.0013887131,0.0057344963
t_1018,-17.387609999999995,64.45074,0.0030966448,0.0024879978,0.003854187,0.0016100664,0.0059557846
t_1019,-17.658479999999997,64.45086,0.0037292675,0.0029962873,0.0046415566,0.0020478992,0.0067910748
t_102,-18.952280000000002,63.53113,0.0071368087,0.0057378635,0.00887683,0.005026307,0.010133491
t_1020,-17.283379999999994,64.45964,0.002941936,0.0023636955,0.003661634,0.0014958711,0.0057859183
t_1021,-17.825189999999992,64.45982,0.003834806,0.0030810928,0.0047728964,0.0021743167,0.006763383
t_1022,-17.554280000000006,64.45984,0.0035640635,0.0028635492,0.004435946,0.001914085,0.006636355
t_1023,-17.17911000000001,64.46849,0.002911688,0.0023393917,0.0036239878,0.0014478164,0.0058556646
t_1024,-17.450060000000008,64.46878,0.0032712251,0.0026282652,0.004071474,0.0017181288,0.0062282374
t_1025,-17.721000000000004,64.46885,0.0037895653,0.0030447359,0.004716601,0.0021014938,0.0068336176
t_1026,-17.345799999999997,64.47769,0.0030531453,0.002453047,0.0038000478,0.001568263,0.005943962
t_1027,-17.92935,64.45076,0.004210361,0.0033828465,0.0052403016,0.0024408097,0.0072628097
t_1028,-18.36699999999999,64.45913,0.007002983,0.005626797,0.0087157525,0.0044176336,0.011101366
t_1029,-18.096090000000004,64.45959,0.0054827672,0.0044052065,0.006823911,0.0032801852,0.009164341
t_103,-19.178789999999992,63.55764,0.0091183605,0.007337326,0.011331717,0.0067442646,0.012328179
t_1030,-18.26289,64.46832,0.0053474507,0.00429654,0.0066554095,0.0033000798,0.008665011
t_1031,-17.991950000000003,64.4687,0.004354481,0.0034986476,0.0054196673,0.0025482418,0.007441015
t_1032,-18.158749999999998,64.47749,0.005564062,0.0044705365,0.006925071,0.0033591178,0.009216343
t_1033,-18.32561000000001,64.48619,0.0066754227,0.005363554,0.008308159,0.0041554305,0.0107236225
t_1034,-18.05458999999999,64.48662,0.004907694,0.0039431397,0.0061081937,0.00289838,0.008309973
t_1035,-18.221450000000004,64.49537,0.0058004083,0.0046604476,0.0072192075,0.0035326467,0.009523946
t_1036,-17.95039,64.49571,0.0044130753,0.0035457155,0.00549261,0.0025494841,0.007638891
t_1037,-17.88776999999999,64.47778,0.0040341886,0.0032412917,0.005021047,0.0023091738,0.0070478353
t_1038,-17.616780000000006,64.47784,0.003623837,0.0029115758,0.004510339,0.0019654522,0.0066815126
t_1039,-17.241510000000005,64.48657,0.0029362068,0.0023590918,0.003654504,0.0014749665,0.005845089
t_104,-19.240859999999998,63.57566,0.009762939,0.007859714,0.012127028,0.0073383716,0.012988572
t_1040,-17.51254,64.4868,0.0033621101,0.0027012876,0.004184591,0.001783436,0.0063382057
t_1041,-17.783559999999994,64.48682,0.003947809,0.00317188,0.004913551,0.002210273,0.0070512528
t_1042,-17.408259999999984,64.49573,0.0030955102,0.0024870858,0.0038527756,0.0016059241,0.0059667723
t_1043,-17.67931999999999,64.49583,0.0037193624,0.002988328,0.00462923,0.0020367652,0.0067919744
t_1044,-17.303949999999986,64.50462,0.0029304237,0.0023544459,0.0036473055,0.0014868521,0.0057755467
t_1045,-17.846159999999998,64.50477,0.003887591,0.0031235009,0.0048385975,0.0021969222,0.006879335
t_1046,-17.575050000000005,64.50481,0.0034505178,0.00277232,0.004294624,0.001848134,0.006442213
t_1047,-18.59662,64.48555,0.006908821,0.005551349,0.008598235,0.0045286724,0.010539911
t_1048,-18.763559999999984,64.49403,0.008688954,0.0069820527,0.01081314,0.0058634724,0.012875973
t_1049,-18.49251000000001,64.49481,0.006707182,0.0053891935,0.008347499,0.0043024514,0.010455967
t_105,-18.84978000000001,63.54069,0.007397153,0.005946145,0.009202243,0.0051207235,0.010685574
t_1050,-18.659449999999993,64.50334,0.007561358,0.0060757315,0.009410247,0.0049946415,0.011447094
t_1051,-18.555319999999995,64.51263,0.006622622,0.005321287,0.008242201,0.0042816848,0.010243426
t_1052,-18.722319999999996,64.52112,0.007250575,0.005826068,0.0090233805,0.0048244353,0.010896784
t_1053,-18.451149999999984,64.52187,0.00562109,0.0045164656,0.00699588,0.0035567586,0.008883553
t_1054,-18.61815999999999,64.53042,0.010388918,0.008347574,0.01292946,0.006767149,0.015949052
t_1055,-18.51397,64.53968,0.0073846495,0.0059334924,0.009190716,0.004708567,0.011581664
t_1056,-18.681039999999996,64.5482,0.007922971,0.0063662156,0.009860405,0.005197665,0.012077241
t_1057,-19.487979999999993,64.31071,0.013828311,0.011137621,0.017169034,0.011136639,0.017170548
t_1058,-19.384289999999993,64.32029,0.012448459,0.010019267,0.015466615,0.00981329,0.015791252
t_1059,-19.55089000000001,64.3284,0.013544597,0.010911432,0.0168132,0.010984436,0.016701458
t_106,-19.014260000000007,63.54921,0.007610496,0.0061199525,0.009464068,0.0054469286,0.010633451
t_1060,-19.447180000000003,64.33799,0.013121398,0.010562622,0.016300032,0.01041957,0.016523818
t_1061,-19.510099999999994,64.35568,0.014229577,0.011456555,0.017673802,0.011375262,0.017800106
t_1062,-19.40634,64.36526,0.012395405,0.009974023,0.015404622,0.009703935,0.015833378
