STATION_ID,STATION_NAME,LONGITUDE,LATITUDE,STATION_TYPE,PGA_VALUE,PGA_LN_SIGMA,SOIL_TYPE,VS30,VS30_TYPE,VS30_USGS
MRN,MIRANDOLA (NAPOLI),11.061743,44.878231,seismic,0.840739,0.0,C,208.0,C,230.0
MIR08,QUARANTOLI 2,11.0895,44.9169,seismic,0.715292,0.0,C (inferred from geology),230.0,inferred_USGS,230.0
T0824,LOC. LIMIDI DI SOLIERA  SOLIERA  MO,10.927588,44.759354,seismic,0.495194,0.0,C (inferred from geology),230.0,inferred_USGS,230.0
SANR,SANDRIGO,11.6099,45.64,seismic,0.306162,0.0,C,321.0,C,600.0
CNT,CENTO,11.2867,44.7234,seismic,0.294134,0.0,D,174.0,D,230.0
MOGG,,13.1885,46.4048,seismic,0.235616,0.0,C (inferred from geology),809.0,inferred_USGS,809.0
FIN0,FINALE EMILIA,11.2867,44.8297,seismic,0.234283,0.0,C (inferred from geology),230.0,inferred_USGS,230.0
SMS0,SAN MARTINO SPINO,11.235,44.934,seismic,0.175331,0.0,C (inferred from geology),230.0,inferred_USGS,230.0
CRP,CARPI,10.8703,44.7823,seismic,0.172779,0.0,C (inferred from geology),230.0,inferred_USGS,230.0
CAS06,MADONNA DEI BOSCHI,11.491826,44.820308,seismic,0.083836,0.0,C (inferred from geology),230.0,inferred_USGS,230.0
RAV0,RAVARINO,11.1428,44.7157,seismic,0.08194,0.0,C (inferred from geology),230.0,inferred_USGS,230.0
SAG0,SANT AGOSTINO,11.3904,44.791,seismic,0.079145,0.0,C (inferred from geology),230.0,inferred_USGS,230.0
FIC0,FICAROLO,11.4337,44.521,seismic,0.073376,0.0,D (inferred from geology),230.0,inferred_USGS,230.0
NVL,NOVELLARA,10.731506,44.843001,seismic,0.052955,0.0,C,190.0,C,230.0
SRP,SORBOLO (PEZZANI),10.446963,44.848398,seismic,0.052785,0.0,C,218.0,C,230.0
MDN,MODENA,10.889912,44.646988,seismic,0.050533,0.0,C,213.0,C,230.0
