STATION_ID,STATION_NAME,LATITUDE,LONGITUDE,STATION_TYPE,REFERENCES,SOIL_TYPE,PGA_VALUE,PGA_LN_SIGMA,SA(0.3)_VALUE,SA(0.3)_LN_SIGMA,SA(0.6)_VALUE,SA(0.6)_LN_SIGMA,SA(1.0)_VALUE,SA(1.0)_LN_SIGMA,VS30,VS30_TYPE,MMI_VALUE,MMI_STDDEV,PGV_LN_SIGMA,PGV_VALUE,SA(3.0)_LN_SIGMA,SA(3.0)_VALUE
GVD,GAVARDO (GAZZINO - VALLIO TERME),45.61,10.383611,seismic,INGV,A (inferred from geology),0.072069969,0.0,0.1310577436033456,0.0,0.0292831873419121,0.0,0.0147274927272059,0.0,,A (inferred from geology),,,,,,
NOR,NORCIA LA CASTELLINA,42.792442,13.092422,seismic,INGV,B,0.000241116,0.0,0.0003548109624191,0.0,0.0005567815276001,0.0,0.0009211817926588,0.0,423.0,B,,,,,,
OGSI,SIXT FER   CHEVAL,46.056477,6.756875,seismic,INGV,A,0.000150465,0.0,0.0004479428354452,0.0,0.0001917066356991,0.0,0.0001184435938827,0.0,1500.0,A,,,,,,
GSG,GRAN SASSO (LAB. INFN GALLERIA),42.46,13.55,seismic,INGV,B (inferred from geology),1.9847e-05,0.0,3.6552135896607374e-05,0.0,4.433576804305468e-05,0.0,7.478561615456254e-05,0.0,,B (inferred from geology),,,,,,
UTM:(32T 061 503 10000),,45.4591,10.471,macroseismic,Stations_USGS,,0.122414,0.8059,0.278418,1.0131,,,0.072644,1.0822,383.03,inferred,5.7,0.3,0.875,7.8512,1.4737,0.016553
UTM:(32T 058 502 10000),,45.3733,10.0856,macroseismic,Stations_USGS,,0.073587,0.8059,0.190006,1.0131,,,0.055135,1.0822,231.38,inferred,5.2,0.3,0.875,5.4539,1.4737,0.012935
UTM:(32T 064 500 10000),,45.1835,10.8457,macroseismic,Stations_USGS,,0.051784,0.8059,0.112381,1.0131,,,0.031846,1.0822,199.16,inferred,4.7,0.3,0.875,3.7886,1.4737,0.007854
UTM:(32T 059 504 10000),,45.552,10.2172,macroseismic,Stations_USGS,,0.044764,0.8059,0.07037,1.0131,,,0.012227,1.0822,271.85,inferred,4.2,0.3,0.875,1.9859,1.4737,0.002191
UTM:(32T 065 503 10000),,45.4513,10.9823,macroseismic,Stations_USGS,,0.044141,0.8059,0.0731,1.0131,,,0.015579,1.0822,325.85,inferred,4.3,0.3,0.875,2.3227,1.4737,0.003053
UTM:(32T 052 503 10000),,45.4681,9.3198,macroseismic,Stations_USGS,,0.04141,0.8059,0.07967,1.0131,,,0.03306,1.0822,242.61,inferred,4.6,0.3,0.875,3.5224,1.4737,0.008579
UTM:(32T 052 507 10000),,45.8281,9.322,macroseismic,Stations_USGS,,0.041349,0.8059,0.079518,1.0131,,,0.033118,1.0822,900.0,inferred,4.6,0.3,0.875,3.5224,1.4737,0.008601
UTM:(32T 050 505 10000),,45.6485,9.0642,macroseismic,Stations_USGS,,0.019808,0.8059,0.037952,1.0131,,,0.016298,1.0822,760.0,inferred,4.1,0.3,0.875,1.698,1.4737,0.003484
UTM:(32T 051 503 10000),,45.4683,9.192,macroseismic,Stations_USGS,,0.017936,0.8059,0.03401,1.0131,,,0.013657,1.0822,760.0,inferred,4.0,0.3,0.875,1.4518,1.4737,0.002759
UTM:(32T 039 499 10000),,45.1007,7.6655,macroseismic,Stations_USGS,,,,,,,,,,760.0,inferred,2.1,0.3,,,,
UTM:(32T 045 506 10000),,45.737,8.4216,macroseismic,Stations_USGS,,,,,,,,,,760.0,inferred,2.0,0.3,,,,
UTM:(32T 047 506 10000),,45.7381,8.6787,macroseismic,Stations_USGS,,,,,,,,,,760.0,inferred,3.1,0.3,,,,
