ID_1,NAME_1,TAXONOMY,GEM_TAXONOMY,AFFECTED_UNITS,DAMAGED_UNITS,DS1_SLIGHT,DS2_MODARATE,DS3_EXTENSIVE,DS4_COMPLETE,COLLAPSED_UNITS,UNIT_TYPES,CAUSE_OF_DAMAGE,REFERENCE,COMMENTS,TOTAL_COLLAPSE,HALF_COLLAPSE,TOTAL_BURN_DOWN,PARTIAL_BURN_DOWN,INUNDATED_ABOVE_FLOOR_LEVEL,INUNDATED_BELOW_FLOOR_LEVEL,PARTIALLY_DAMAGED,NON_DWELLING_HOUSES,NO_DAMAGE,LIGHT_DAMAGE,MODERATE_DAMAGE,HEAVY_DAMAGE,COLLAPSE,UNKNOWN,NO_DAMAGE,PARTIAL_DAMAGE,HALF_COLLAPSE,MASSIVE_HALF_COLLAPSE,TOTAL_COLLAPSE_IAFC,TOTAL_COLLAPSE_NR,TOTAL_COLLAPSE_WA,COMPLETE_DESTRUCTION_OR_MISSING,PARTIAL_DAMAGE,BELOW_PARTIAL_DAMAGE,FIRE
1,Hokkaido,,,,,,,,,,Buildings,,National_Police_Agency_of_Japan_2021,Property damages.,0,4,0,0,329,545,7,469,,,,,,,,,,,,,,,,,
2,Aomori,,,,,,,,,,Buildings,,National_Police_Agency_of_Japan_2021,Property damages.,308,701,0,0,0,0,1006,1402,,,,,,,,,,,,,,,,,
3,Iwate,,,,,,,,,,Buildings,,National_Police_Agency_of_Japan_2021,Property damages.,19508,6571,33,0,0,6,19064,4707,,,,,,,,,,,,,,,,,
4,Miyagi,,,,,,,,,,Buildings,,National_Police_Agency_of_Japan_2021,Property damages.,83005,155130,135,0,0,7796,224202,26796,,,,,,,,,,,,,,,,,
5,Akita,,,,,,,,,,Buildings,,National_Police_Agency_of_Japan_2021,Property damages.,0,0,0,0,0,0,5,3,,,,,,,,,,,,,,,,,
6,Yamagata,,,,,,,,,,Buildings,,National_Police_Agency_of_Japan_2021,Property damages.,0,0,0,0,0,0,21,96,,,,,,,,,,,,,,,,,
7,Fukushima,,,,,,,,,,Buildings,,National_Police_Agency_of_Japan_2021,Property damages.,15435,82783,77,3,1061,351,141054,1010,,,,,,,,,,,,,,,,,
13,Tokyo,,,,,,,,,,Buildings,,National_Police_Agency_of_Japan_2021,Property damages.,15,198,1,0,0,0,4847,1101,,,,,,,,,,,,,,,,,
8,Ibaraki,,,,,,,,,,Buildings,,National_Police_Agency_of_Japan_2021,Property damages.,2637,25054,31,0,32,611,190400,23429,,,,,,,,,,,,,,,,,
9,Tochigi,,,,,,,,,,Buildings,,National_Police_Agency_of_Japan_2021,Property damages.,261,2118,0,0,0,0,73552,295,,,,,,,,,,,,,,,,,
