STATION_ID,STATION_NAME,LATITUDE,LONGITUDE,STATION_TYPE,REFERENCES,SOIL_TYPE,PGA_VALUE,SA(0.3)_VALUE,SA(0.6)_VALUE,SA(1.0)_VALUE,PGA_LN_SIGMA,SA(0.3)_LN_SIGMA,SA(0.6)_LN_SIGMA,SA(1.0)_LN_SIGMA,PGA_VALUE_1,SA(0.3)_VALUE_1,SA(0.6)_VALUE_1,SA(1.0)_VALUE_1,PGA_VALUE_2,SA(0.3)_VALUE_2,SA(0.6)_VALUE_2,SA(1.0)_VALUE_2,PGA_VALUE_V,SA(0.3)_VALUE_V,SA(0.6)_VALUE_V,SA(1.0)_VALUE_V
ACAC,ACAPULCO CENTRO CULTURAL,16.84851,-99.85157,seismic,Stations_UNAM,ARENA - LIMO - ARCILLA,0.0213873598,0.0475721547,0.0577282648,0.0111619918,0,0,0,0,0.018775739,0.0475721547,0.0577282648,0.0111619918,0.0213873598,0.04388029,0.0290479564,0.0077895848,0.0085301733,0.0169346744,0.0076132815,0.0038685162
ACAD,ACAPULCO ESCUELA DIANA,16.86225,-99.87147,seismic,Stations_UNAM,LIMO ARENOSO,0.0181932722,0.0362842328,0.008684165,0.006821114,0,0,0,0,0.0181932722,0.0362842328,0.0083058367,0.006821114,0.013872579,0.0269312851,0.008684165,0.0039158988,0.0048130479,0.0073078317,0.0050930567,0.0053272917
ACAM,ACAMBARO,20.043186,-100.716777,seismic,Stations_UNAM,ROCA,0.0025077472,0.0025679361,0.0035202269,0.0050026903,0,0,0,0,0.0025077472,0.0025679361,0.0035202269,0.0050026903,0.0020553517,0.0021189177,0.0024694579,0.0046917373,0.0016417941,0.0017553124,0.0020859967,0.0022537424
ACAR,ACAPULCO RENACIMIENTO,16.888789,-99.835027,seismic,Stations_UNAM,ALUVIAL,0.0143517839,0.0589932288,0.0094175202,0.0047999241,0,0,0,0,0.0143517839,0.0589932288,0.0069288,0.0047999241,0.0121512742,0.0297657581,0.0094175202,0.0042250223,0.0064579001,0.0128000977,0.0038274768,0.0045031041
ACAZ,ACAPULCO LA ZANJA,16.788528,-99.790152,seismic,Stations_UNAM,DEPOSITO BARRA,0.0211213048,0.0260919906,0.0164744633,0.0372182641,0,0,0,0,0.0211213048,0.0210559571,0.0162768459,0.0372182641,0.0151878695,0.0260919906,0.0164744633,0.0303422968,0.0098375127,0.0102351231,0.0067399728,0.0100239698
ACP2,ACAPULCO PREPARATORIA No. 2,16.874294,-99.886505,seismic,Stations_UNAM,ROCA,0.0072847095,0.0199347128,0.0065838297,0.0045651069,0,0,0,0,0.0072847095,0.0185566491,0.0065838297,0.0045651069,0.0070470948,0.0199347128,0.0061508065,0.0033957559,0.004316106,0.007895283,0.0048187664,0.0038912361
AGCA,AGUACALIENTE,16.83733,-99.64526,seismic,Stations_UNAM,ROCA,0.0059227319,0.0106233148,0.004814211,0.0046980117,0,0,0,0,0.0059227319,0.0089283786,0.004814211,0.0046980117,0.0057786952,0.0106233148,0.0045467537,0.0038104837,0.0046312946,0.0048103036,0.0040247661,0.0047385652
ATYC,ATOYAC,17.213361,-100.432269,seismic,Stations_UNAM,ROCA,0.0047186544,0.0082970772,0.0043811016,0.0053623352,0,0,0,0,0.0047186544,0.0082970772,0.0043811016,0.0053623352,0.0038705403,0.0062579481,0.0035237407,0.0035540676,0.0031727829,0.0038964045,0.0033604217,0.0047209599
CCCL,CENTRO CULTURAL UNIVERSITARIO TLATELOLCO CAMPO LIBRE,19.449858,-99.137919,seismic,Stations_UNAM,SUELO,0.0223942915,0.0252606669,0.0379668308,0.0554300431,0,0,0,0,0.0200706422,0.0239641664,0.0288328538,0.0375775181,0.0223942915,0.0252606669,0.0379668308,0.0554300431,0.0113301733,0.0208319658,0.0327101323,0.0161955557
CDGU,CIUDAD GUZMAN,19.699521,-103.447815,seismic,Stations_UNAM,ROCA,0.0017629969,0.0020987574,0.0007485978,0.0003691832,0,0,0,0,0.0010147808,0.0018648904,0.0007485978,0.0003691832,0.0017629969,0.0020987574,0.0006734623,0.0003419915,0.0008050968,0.0009033516,0.0007960343,0.0004589793
