# 20080529_M6.32_Iceland median gmf, Stations:None, gmlt:GEM, Rupture:EFEHR
custom_site_id,lon,lat,"KothaEtAl2020ESHM20SlopeGeology
KothaEtAl2020ESHM20SlopeGeology.dl2l
'PGA' = -0.305692","KothaEtAl2020ESHM20SlopeGeology
KothaEtAl2020ESHM20SlopeGeology.dl2l
'PGA' = -0.787319","KothaEtAl2020ESHM20SlopeGeology
KothaEtAl2020ESHM20SlopeGeology.dl2l
'PGA' = 0.175935","KothaEtAl2020ESHM20SlopeGeology
c3_epsilon = -1.73205100
KothaEtAl2020ESHM20SlopeGeology.dl2l
'PGA' = -0.305692","KothaEtAl2020ESHM20SlopeGeology
c3_epsilon = 1.73205100
KothaEtAl2020ESHM20SlopeGeology.dl2l
'PGA' = -0.305692"
t_0,-20.314120000000003,63.68756,0.051491357,0.031810198,0.08334936,0.049241073,0.053844478
t_1,-20.37664000000001,63.70531,0.0543362,0.03356768,0.08795433,0.052728638,0.055992775
t_10,-20.399190000000004,63.75077,0.068629004,0.04239745,0.11109017,0.06801102,0.069252595
t_100,-18.008550000000014,63.68907,0.00806531,0.004982567,0.0130553655,0.0049780076,0.013067322
t_1000,-17.054419999999993,64.4323,0.0033619995,0.0020769674,0.0054420885,0.0016863602,0.006702625
t_1001,-17.325199999999995,64.43269,0.003750309,0.0023168563,0.0060706474,0.0019880303,0.007074751
t_1002,-17.866780000000006,64.43281,0.005155273,0.0031848112,0.00834487,0.0030489431,0.008716737
t_1003,-17.59599,64.43286,0.0044655027,0.002758687,0.0072283354,0.0025008454,0.007973589
t_1004,-17.22099,64.44156,0.0035661063,0.00220306,0.0057724775,0.0018486055,0.0068793013
t_1005,-17.49181999999999,64.44182,0.004325531,0.0026722157,0.0070017627,0.0023690127,0.007897898
t_1006,-17.762640000000005,64.44185,0.004870681,0.0030089968,0.0078842,0.0028172478,0.0084208185
t_1007,-18.512380000000007,64.42279,0.009201628,0.0056845583,0.0148947295,0.0061933226,0.013671168
t_1008,-18.679129999999986,64.43133,0.0096317325,0.005950267,0.0155909415,0.006683156,0.013881206
t_1009,-18.408349999999984,64.43204,0.0075055948,0.004636787,0.01214935,0.004941906,0.011399236
t_101,-18.78784999999999,63.52258,0.007816664,0.0048289583,0.01265288,0.005485139,0.011139231
t_1010,-18.57512,64.44063,0.008069919,0.0049854144,0.013062827,0.005478632,0.011886837
t_1011,-18.741929999999996,64.44913,0.01066056,0.0065858536,0.017256312,0.0074572726,0.015239826
t_1012,-18.471069999999997,64.44989,0.009329591,0.005763611,0.015101864,0.0061968365,0.014046081
t_1013,-18.637900000000002,64.45845,0.0082181245,0.005076972,0.013302726,0.0056255544,0.012005495
t_1014,-18.533829999999995,64.46773,0.008610732,0.005319516,0.013938243,0.0057676444,0.012855284
t_1015,-18.700710000000015,64.47625,0.01018254,0.0062905434,0.016482538,0.0070254826,0.014758291
t_1016,-18.429730000000006,64.47698,0.007793845,0.004814862,0.012615943,0.005108017,0.011891899
t_1017,-17.116749999999996,64.4504,0.0035182012,0.0021734654,0.0056949332,0.0017834641,0.00694028
t_1018,-17.387609999999995,64.45074,0.0038606378,0.002385015,0.006249237,0.0020677429,0.0072081126
t_1019,-17.658479999999997,64.45086,0.0046493625,0.0028722712,0.00752595,0.0026300475,0.00821908
t_102,-18.952280000000002,63.53113,0.008906145,0.005502016,0.014416429,0.0064611486,0.012276365
t_1020,-17.283379999999994,64.45964,0.003667756,0.0022658568,0.005937018,0.0019210844,0.007002521
t_1021,-17.825189999999992,64.45982,0.004780967,0.0029535734,0.007738979,0.002792418,0.008185609
t_1022,-17.554280000000006,64.45984,0.004443387,0.0027450242,0.0071925367,0.0024581878,0.008031806
t_1023,-17.17911000000001,64.46849,0.0036300425,0.0022425584,0.005875971,0.0018593683,0.0070869275
t_1024,-17.450060000000008,64.46878,0.0040782923,0.002519477,0.0066015557,0.0022065244,0.0075378586
t_1025,-17.721000000000004,64.46885,0.004724543,0.0029187163,0.007647646,0.0026988809,0.008270579
t_1026,-17.345799999999997,64.47769,0.0038064036,0.0023515103,0.006161448,0.0020140551,0.0071937996
t_1027,-17.92935,64.45076,0.005249215,0.0032428466,0.0084969355,0.0031346884,0.00879011
t_1028,-18.36699999999999,64.45913,0.008731392,0.0053940574,0.014133557,0.005673837,0.013436624
t_1029,-18.096090000000004,64.45959,0.006835663,0.004222919,0.011064928,0.004212742,0.011091657
t_103,-19.178789999999992,63.55764,0.011393061,0.007038376,0.018442014,0.008680001,0.014954126
t_1030,-18.26289,64.46832,0.0066671,0.004118784,0.010792074,0.0042383885,0.010487528
t_1031,-17.991950000000003,64.4687,0.005428912,0.0033538593,0.008787812,0.003272672,0.009005817
t_1032,-18.158749999999998,64.47749,0.0069370503,0.0042855535,0.011229045,0.004314137,0.011154645
t_1033,-18.32561000000001,64.48619,0.00832285,0.005141669,0.013472246,0.0053369817,0.012979214
t_1034,-18.05458999999999,64.48662,0.006118646,0.0037799615,0.009904289,0.003722363,0.010057544
t_1035,-18.221450000000004,64.49537,0.0072317556,0.0044676154,0.011706085,0.004537027,0.011526995
t_1036,-17.95039,64.49571,0.005501937,0.0033989728,0.008906018,0.0032742512,0.0092452625
t_1037,-17.88776999999999,64.47778,0.0050295535,0.003107145,0.008141369,0.0029656182,0.008529895
t_1038,-17.616780000000006,64.47784,0.004517912,0.002791064,0.0073131705,0.0025241592,0.008086466
t_1039,-17.241510000000005,64.48657,0.0036606113,0.002261443,0.0059254533,0.0018942365,0.0070741302
t_104,-19.240859999999998,63.57566,0.012206788,0.007541078,0.0197592,0.009450937,0.015766233
t_1040,-17.51254,64.4868,0.004191603,0.0025894777,0.0067849723,0.0022903974,0.007670955
t_1041,-17.783559999999994,64.48682,0.004921837,0.0030405996,0.0079670055,0.0028385872,0.008533991
t_1042,-17.408259999999984,64.49573,0.0038592224,0.0023841406,0.006246946,0.0020624227,0.007221409
t_1043,-17.67931999999999,64.49583,0.004637011,0.0028646407,0.0075059566,0.0026157468,0.008220164
t_1044,-17.303949999999986,64.50462,0.0036534027,0.00225699,0.0059137847,0.0019095013,0.0069899675
t_1045,-17.846159999999998,64.50477,0.00484677,0.002994225,0.007845495,0.0028214462,0.008325934
t_1046,-17.575050000000005,64.50481,0.0043018255,0.0026575709,0.0069633904,0.0023734882,0.007796838
t_1047,-18.59662,64.48555,0.008614529,0.0053218617,0.013944389,0.0058168396,0.012757806
t_1048,-18.763559999999984,64.49403,0.010835019,0.0066936305,0.01753871,0.0075319638,0.015586592
t_1049,-18.49251000000001,64.49481,0.00836276,0.0051663243,0.013536848,0.0055260262,0.012655703
t_105,-18.84978000000001,63.54069,0.009228761,0.0057013207,0.014938651,0.006580941,0.012941925
t_1050,-18.659449999999993,64.50334,0.009428317,0.0058246017,0.015261672,0.006415461,0.013856082
t_1051,-18.555319999999995,64.51263,0.008257421,0.005101248,0.013366336,0.0054994216,0.012398576
t_1052,-18.722319999999996,64.52112,0.009040944,0.0055852914,0.01463463,0.006196947,0.013190153
t_1053,-18.451149999999984,64.52187,0.0070084315,0.0043296507,0.011344589,0.004568164,0.010752265
t_1054,-18.61815999999999,64.53042,0.012953584,0.008002432,0.020968044,0.008691881,0.019304838
t_1055,-18.51397,64.53968,0.009207335,0.0056880843,0.014903968,0.00604756,0.014018055
t_1056,-18.681039999999996,64.5482,0.009879001,0.006103024,0.015991198,0.006676091,0.014618535
t_1057,-19.487979999999993,64.31071,0.017309977,0.010693714,0.028019762,0.014364533,0.020859383
t_1058,-19.384289999999993,64.32029,0.015564932,0.009615663,0.025195047,0.012642,0.01916367
t_1059,-19.55089000000001,64.3284,0.016960077,0.010477553,0.027453376,0.014173331,0.020294748
t_106,-19.014260000000007,63.54921,0.00950011,0.0058689537,0.015377884,0.00700389,0.012885994
t_1060,-19.447180000000003,64.33799,0.016410412,0.010137983,0.026563631,0.013426858,0.020056935
t_1061,-19.510099999999994,64.35568,0.017800525,0.010996764,0.028813817,0.01466238,0.02161032
t_1062,-19.40634,64.36526,0.015491617,0.009570371,0.025076373,0.012495364,0.01920634
t_1063,-19.573059999999998,64.37336,0.017249068,0.010656086,0.027921168,0.014294486,0.020814346
t_1064,-19.469279999999998,64.38295,0.017036151,0.0105245495,0.027576517,0.013829889,0.020985737
t_1065,-19.365469999999988,64.39251,0.01655563,0.010227695,0.026798695,0.013162612,0.02082329
t_1066,-19.532260000000008,64.40062,0.017149113,0.010594336,0.027759371,0.014002567,0.021002728
t_1067,-19.01024000000001,64.33104,0.013811512,0.00853244,0.022356775,0.01042195,0.018303469
t_1068,-18.906450000000007,64.34046,0.0104956,0.006483945,0.01698929,0.007747439,0.014218586
t_1069,-19.073039999999992,64.34881,0.01336896,0.008259042,0.021640414,0.010174407,0.017566536
t_107,-18.911750000000012,63.55878,0.009158147,0.0056576966,0.014824347,0.0066362973,0.012638321
t_1070,-18.80261999999999,64.34985,0.010680013,0.0065978714,0.0172878,0.0077116312,0.014790994
t_1071,-18.969220000000007,64.35825,0.013361409,0.008254377,0.021628192,0.0099489065,0.017944412
