# 20040224_M6.3_AlHoceima median gmf, Stations:None, gmlt:USGS, Rupture:USGS
custom_site_id,lon,lat,AbrahamsonEtAl2014,BooreEtAl2014,CampbellBozorgnia2014,ChiouYoungs2014
t_0,-8.48918,31.41207,0.00014371084,0.0001765659,0.00022899962,0.00017049482
t_1,-7.95019,31.41207,0.00016604931,0.00019993524,0.000268492,0.00019863524
t_10,-6.69255,31.41207,0.00021643005,0.000245576,0.00036662514,0.0002591075
t_100,-6.15356,31.41207,0.00031424698,0.00037729339,0.0004914346,0.00038713205
t_1000,-4.76117,33.34646,0.0037124972,0.004990867,0.0049124965,0.0045757475
t_1001,-4.71625,33.38397,0.00352973,0.004620853,0.0048639607,0.0042910464
t_1002,-4.89592,32.93275,0.0032435074,0.0048083253,0.0038103308,0.0043086875
t_1003,-4.89592,33.08341,0.0028565172,0.003918351,0.0036944258,0.0036432117
t_1004,-4.89592,33.23382,0.0034706343,0.0048167766,0.004433726,0.004400274
t_1005,-4.851,33.30893,0.0039930535,0.0056171683,0.0050276737,0.005054691
t_1006,-4.89592,33.30893,0.0038564566,0.005393771,0.004887087,0.004875544
t_1007,-4.80608,33.30893,0.0031452994,0.0041124113,0.0043302295,0.0038579947
t_1008,-4.89592,33.34646,0.005172198,0.007746026,0.006004489,0.006697892
t_1009,-4.80608,33.34646,0.003264857,0.004265712,0.0045044743,0.0039905054
t_101,-6.15356,31.56528,0.00031029902,0.00036091483,0.0005046251,0.00037924087
t_1010,-4.851,33.34646,0.004653863,0.0067572994,0.005640759,0.005949071
t_1011,-4.851,33.38397,0.0060208985,0.009223922,0.00676042,0.007822741
t_1012,-4.5815,33.38397,0.004673649,0.0065552276,0.005915121,0.00582328
t_1013,-4.53659,33.38397,0.0047420533,0.0066580875,0.0059956023,0.0059052105
t_1014,-4.5815,33.42147,0.0063959877,0.009638681,0.0073718913,0.00816737
t_1015,-4.62642,33.42147,0.003809933,0.004996494,0.0052456288,0.004605414
t_1016,-4.53659,33.42147,0.005179423,0.0073669013,0.0064549535,0.0064595724
t_1017,-4.5815,33.45895,0.004052374,0.005321409,0.005577055,0.0048745833
t_1018,-4.62642,33.45895,0.004264344,0.0056869993,0.005729169,0.005160939
t_1019,-4.53659,33.45895,0.005160273,0.0072316364,0.006546866,0.0063654664
t_102,-6.15356,31.71823,0.00042447564,0.00052247354,0.0006398113,0.00053208694
t_1020,-4.5815,33.49641,0.0055149943,0.007806339,0.0069219526,0.006811041
t_1021,-4.53659,33.49641,0.0046793506,0.0062775663,0.0062447316,0.005636224
t_1022,-4.80608,33.38397,0.0041568866,0.0057418905,0.0053445185,0.0051749963
t_1023,-4.89592,33.38397,0.0040963073,0.00569119,0.005232654,0.005127988
t_1024,-4.80608,33.42147,0.005082685,0.007358144,0.006191899,0.006434107
t_1025,-4.89592,33.42147,0.0046355412,0.006602708,0.005758706,0.0058463803
t_1026,-4.851,33.42147,0.0046609547,0.006616253,0.005814522,0.0058608716
t_1027,-4.80608,33.45895,0.0049873553,0.007097234,0.0062085134,0.0062444066
t_1028,-4.851,33.45895,0.0051037916,0.0073458627,0.006265736,0.006430797
t_1029,-4.89592,33.45895,0.004601271,0.0064592413,0.0058165505,0.0057449527
t_103,-6.15356,31.87094,0.00041614083,0.00049439317,0.0006540635,0.0005158112
t_1030,-4.851,33.49641,0.0052932426,0.0076060873,0.0065155104,0.0066389614
t_1031,-4.80608,33.49641,0.005394422,0.007754319,0.0066388478,0.006755674
t_1032,-4.67134,33.38397,0.0040832656,0.005529592,0.0053619174,0.005017119
t_1033,-4.76117,33.38397,0.0045291125,0.00639452,0.0056853746,0.005687003
t_1034,-4.76117,33.42147,0.0041317157,0.0055903033,0.0054317378,0.0050678994
