# 20040224_M6.3_AlHoceima median gmf, Stations:Seismic, gmlt:GEM, Rupture:StichEtAl2005
custom_site_id,lon,lat,AkkarEtAlRjb2014,ChiouYoungs2014
m_10,-3.8185,35.0887,0.14639653,0.14949219
m_11,-3.9826,35.2072,0.42415303,0.36078963
m_12,-4.0741,35.1073,0.32144997,0.26769552
m_13,-3.9443,35.0704,0.31992126,0.25927773
m_14,-3.6332,35.1542,0.06409664,0.072001226
m_15,-3.9985,35.1897,0.40681735,0.33187968
m_16,-3.8411,35.1045,0.17060703,0.1685521
m_17,-4.01,34.21,0.015616184,0.020491716
m_18,-2.9412,35.2962,0.016494058,0.021546943
m_19,-3.9655,35.1458,0.38329202,0.3477438
m_20,-3.9845,35.2315,0.3696135,0.28980964
m_21,-3.7409,35.0535,0.07774447,0.079909116
m_22,-4.1925,35.1498,0.12400712,0.12850857
m_23,-4.04,35.07,0.39235097,0.31235296
m_24,-4.2955,35.1688,0.07335682,0.08229498
m_25,-4.01,35.24,0.40191078,0.3306183
m_26,-3.78,35.19,0.13521874,0.1398572
m_27,-3.6428,35.2118,0.07011444,0.07780725
m_28,-3.8164,35.0093,0.121521674,0.12348409
m_29,-3.85,35.14,0.18927716,0.18128373
m_30,-3.8423,35.1092,0.1730996,0.17053409
m_31,-4.0976,35.2087,0.2056947,0.18683511
m_32,-3.63,35.12,0.06651314,0.07706987
m_33,-4.06,35.12,0.35030133,0.28785193
m_34,-4.0741,35.0543,0.3477702,0.29945707
m_35,-3.935,35.2518,0.3970357,0.33739668
m_36,-4.13,35.03,0.21806979,0.21481723
m_37,-3.7644,35.2452,0.1182359,0.116727985
m_38,-4.2182,35.074,0.14316629,0.16214819
m_39,-3.995,35.185,0.4157858,0.38107663
m_40,-3.9,35.2,0.28600037,0.23498024
m_41,-3.8969,35.2082,0.28943276,0.24210055
m_42,-3.9592,35.2439,0.39763185,0.30558515
m_43,-4.07,35.17,0.32411975,0.2894011
m_44,-4.14,35.16,0.19989021,0.20463511
m_45,-2.93,35.18,0.015252158,0.019713216
m_46,-4.08,35.09,0.31066963,0.25887653
m_47,-4.1377,35.142,0.20267777,0.20215543
m_48,-3.915,35.246,0.34041274,0.2653462
m_49,-4.08,35.2,0.29280722,0.27669388
m_50,-3.9033,35.1809,0.29616034,0.25692824
m_51,-3.6226,35.0607,0.045903236,0.049715377
m_52,-4.02,35.2,0.39507017,0.32115832
m_53,-3.92,35.17,0.31368467,0.25123385
m_54,-4.98,34.06,0.009170313,0.011222299
m_55,-3.8722,35.1739,0.22532244,0.19968311
m_56,-3.692,35.2844,0.08913253,0.09656366
m_57,-4.06,35.06,0.38064325,0.31886995
m_58,-3.6033,35.1595,0.055577513,0.062603034
m_59,-3.845,35.181,0.19675025,0.20190533
m_60,-3.98,35.12,0.3631354,0.26893127
m_61,-3.8472,35.1438,0.18693145,0.17949824
m_62,-3.9688,35.1428,0.386269,0.35089654
m_63,-4.17,35.08,0.17634892,0.18042985
m_64,-4.0389,35.1214,0.4012312,0.3303626
m_65,-3.8431,35.0588,0.14251858,0.13408259
m_66,-3.8407,35.0519,0.13015725,0.120653644
m_67,-3.9832,35.1249,0.41381606,0.36173272
m_68,-3.7402,35.2014,0.091157764,0.090850554
m_69,-3.9614,35.2405,0.3980336,0.30677763
m_70,-4.0291,35.2054,0.40154842,0.35914847
m_71,-5.55,33.88,0.006799005,0.007208355
m_72,-4.13,35.14,0.21858156,0.21670271
m_73,-2.95,35.29,0.018396206,0.024659697
m_74,-3.9079,35.1203,0.27640435,0.24871841
m_75,-4.3132,35.0962,0.08275335,0.09607815
m_9,-4.0727,35.0556,0.3523491,0.30229822
s_0,-2.4597,36.8525,0.004850861,0.0043497607
s_4,-3.9167,37.0614,0.0049878466,0.005031004
