calc_id,description,cal_time,gmpe,imt,nominal_bias,max_gmv,Rupture,GMLT,Recording_Stations,abs_bias
399,"Median gmf - 20010113_M7.6_SanMiguel (Rupture:GCMT, GMPEs:GEM, Recording Stations:seismic)",4,AbrahamsonEtAl2015SInterHigh,PGA,0.753,0.8582346,GCMT,GEM,seismic,0.753
399,"Median gmf - 20010113_M7.6_SanMiguel (Rupture:GCMT, GMPEs:GEM, Recording Stations:seismic)",4,MontalvaEtAl2017SInter,PGA,0.452,0.88082165,GCMT,GEM,seismic,0.452
399,"Median gmf - 20010113_M7.6_SanMiguel (Rupture:GCMT, GMPEs:GEM, Recording Stations:seismic)",4,ZhaoEtAl2006SInter,PGA,0.315,0.9179131,GCMT,GEM,seismic,0.315
400,"Median gmf - 20010113_M7.6_SanMiguel (Rupture:GCMT, GMPEs:USGS, Recording Stations:seismic)",4,AbrahamsonEtAl2015SSlab,PGA,0.219,0.84987235,GCMT,USGS,seismic,0.219
400,"Median gmf - 20010113_M7.6_SanMiguel (Rupture:GCMT, GMPEs:USGS, Recording Stations:seismic)",4,AtkinsonBoore2003SSlabCascadia,PGA,0.28,0.89961064,GCMT,USGS,seismic,0.28
400,"Median gmf - 20010113_M7.6_SanMiguel (Rupture:GCMT, GMPEs:USGS, Recording Stations:seismic)",4,AtkinsonBoore2003SSlab,PGA,-0.019,0.89977384,GCMT,USGS,seismic,0.019
400,"Median gmf - 20010113_M7.6_SanMiguel (Rupture:GCMT, GMPEs:USGS, Recording Stations:seismic)",4,ZhaoEtAl2016SSlab,PGA,0.078,0.976862,GCMT,USGS,seismic,0.078
401,"Median gmf - 20010113_M7.6_SanMiguel (Rupture:SCARDEC, GMPEs:GEM, Recording Stations:seismic)",5,AbrahamsonEtAl2015SInterHigh,PGA,0.697,0.81767225,SCARDEC,GEM,seismic,0.697
401,"Median gmf - 20010113_M7.6_SanMiguel (Rupture:SCARDEC, GMPEs:GEM, Recording Stations:seismic)",5,MontalvaEtAl2017SInter,PGA,0.286,0.8658283,SCARDEC,GEM,seismic,0.286
401,"Median gmf - 20010113_M7.6_SanMiguel (Rupture:SCARDEC, GMPEs:GEM, Recording Stations:seismic)",5,ZhaoEtAl2006SInter,PGA,0.339,0.89165986,SCARDEC,GEM,seismic,0.339
402,"Median gmf - 20010113_M7.6_SanMiguel (Rupture:SCARDEC, GMPEs:USGS, Recording Stations:seismic)",5,AbrahamsonEtAl2015SSlab,PGA,0.292,0.79763865,SCARDEC,USGS,seismic,0.292
402,"Median gmf - 20010113_M7.6_SanMiguel (Rupture:SCARDEC, GMPEs:USGS, Recording Stations:seismic)",5,AtkinsonBoore2003SSlabCascadia,PGA,0.382,0.87569153,SCARDEC,USGS,seismic,0.382
402,"Median gmf - 20010113_M7.6_SanMiguel (Rupture:SCARDEC, GMPEs:USGS, Recording Stations:seismic)",5,AtkinsonBoore2003SSlab,PGA,0.071,0.8785459,SCARDEC,USGS,seismic,0.071
402,"Median gmf - 20010113_M7.6_SanMiguel (Rupture:SCARDEC, GMPEs:USGS, Recording Stations:seismic)",5,ZhaoEtAl2016SSlab,PGA,0.047,0.9392918,SCARDEC,USGS,seismic,0.047
397,"Median gmf - 20010113_M7.6_SanMiguel (Rupture:USGS, GMPEs:GEM, Recording Stations:seismic)",5,AbrahamsonEtAl2015SInterHigh,PGA,0.696,0.8227365,USGS,GEM,seismic,0.696
397,"Median gmf - 20010113_M7.6_SanMiguel (Rupture:USGS, GMPEs:GEM, Recording Stations:seismic)",5,MontalvaEtAl2017SInter,PGA,0.388,0.8397772,USGS,GEM,seismic,0.388
397,"Median gmf - 20010113_M7.6_SanMiguel (Rupture:USGS, GMPEs:GEM, Recording Stations:seismic)",5,ZhaoEtAl2006SInter,PGA,0.222,0.8890975,USGS,GEM,seismic,0.222
398,"Median gmf - 20010113_M7.6_SanMiguel (Rupture:USGS, GMPEs:USGS, Recording Stations:seismic)",4,AbrahamsonEtAl2015SSlab,PGA,0.206,0.80194503,USGS,USGS,seismic,0.206
398,"Median gmf - 20010113_M7.6_SanMiguel (Rupture:USGS, GMPEs:USGS, Recording Stations:seismic)",4,AtkinsonBoore2003SSlabCascadia,PGA,0.148,0.86898977,USGS,USGS,seismic,0.148
398,"Median gmf - 20010113_M7.6_SanMiguel (Rupture:USGS, GMPEs:USGS, Recording Stations:seismic)",4,AtkinsonBoore2003SSlab,PGA,-0.134,0.8701272,USGS,USGS,seismic,0.134
398,"Median gmf - 20010113_M7.6_SanMiguel (Rupture:USGS, GMPEs:USGS, Recording Stations:seismic)",4,ZhaoEtAl2016SSlab,PGA,-0.063,0.9267233,USGS,USGS,seismic,0.063
