calc_id,description,cal_time,recording_stations,gmlt,rupture,gmpe,imt,max_gmv,nominal_bias_mean,nominal_bias_stdev,abs_bias
249,"19970228_M6.1_Golestan median gmf, Stations:Seismic, gmlt:USGS, Rupture:Jackson_et_al_2002
",38, Seismic, USGS, Jackson_et_al_2002,BooreEtAl2014,PGA,0.58568,0.056,0.106,0.056
246,"19970228_M6.1_Golestan median gmf, Stations:Seismic, gmlt:GEM, Rupture:Jackson_et_al_2002
",37, Seismic, GEM, Jackson_et_al_2002,BooreEtAl2014,PGA,0.58568,0.056,0.106,0.056
248,"19970228_M6.1_Golestan median gmf, Stations:Seismic, gmlt:USGS, Rupture:GCMT
",37, Seismic, USGS, GCMT,CampbellBozorgnia2014,PGA,0.58568,0.149,0.099,0.149
245,"19970228_M6.1_Golestan median gmf, Stations:Seismic, gmlt:GEM, Rupture:GCMT
",37, Seismic, GEM, GCMT,CampbellBozorgnia2014,PGA,0.58568,0.149,0.099,0.149
244,"19970228_M6.1_Golestan median gmf, Stations:Seismic, gmlt:GEM, Rupture:USGS
",39, Seismic, GEM, USGS,BooreEtAl2014,PGA,0.58568,0.214,0.105,0.214
247,"19970228_M6.1_Golestan median gmf, Stations:Seismic, gmlt:USGS, Rupture:USGS
",38, Seismic, USGS, USGS,BooreEtAl2014,PGA,0.58568,0.214,0.105,0.214
246,"19970228_M6.1_Golestan median gmf, Stations:Seismic, gmlt:GEM, Rupture:Jackson_et_al_2002
",37, Seismic, GEM, Jackson_et_al_2002,CampbellBozorgnia2014,PGA,0.58568,0.214,0.103,0.214
249,"19970228_M6.1_Golestan median gmf, Stations:Seismic, gmlt:USGS, Rupture:Jackson_et_al_2002
",38, Seismic, USGS, Jackson_et_al_2002,CampbellBozorgnia2014,PGA,0.58568,0.214,0.103,0.214
248,"19970228_M6.1_Golestan median gmf, Stations:Seismic, gmlt:USGS, Rupture:GCMT
",37, Seismic, USGS, GCMT,BooreEtAl2014,PGA,0.58568,0.222,0.105,0.222
245,"19970228_M6.1_Golestan median gmf, Stations:Seismic, gmlt:GEM, Rupture:GCMT
",37, Seismic, GEM, GCMT,BooreEtAl2014,PGA,0.58568,0.222,0.105,0.222
246,"19970228_M6.1_Golestan median gmf, Stations:Seismic, gmlt:GEM, Rupture:Jackson_et_al_2002
",37, Seismic, GEM, Jackson_et_al_2002,ZhaoEtAl2006Asc,PGA,0.6400705,0.236,0.125,0.236
248,"19970228_M6.1_Golestan median gmf, Stations:Seismic, gmlt:USGS, Rupture:GCMT
",37, Seismic, USGS, GCMT,AbrahamsonEtAl2014,PGA,0.58568,0.241,0.108,0.241
