FIELD,DESCRIPTION
Year,2009
Country,Costa Rica
Region,Caribbean Central America
Event Name,Cinchona
Local Date,08/01/2009
Local Time,13:21:00
Longitude (decimal degrees),-84.106
Latitude (decimal degrees),10.116
Depth (km),4.6
Mw,6.2
Max Intensity (MMI),IX in Cinchona e Isla Bonita 
Fault mechanism,Strike slip
Tectonic region type,Active shallow crustal 
Fatalities,23-98
Injured,91-100
Displaced population,1244-2326
Affected population,~128527
Affected units,
Damaged units,518 Buildings
Collapsed units,518 Buildings
Economic losses,100-200 M USD
Insured losses,100 M USD
Earthquake-triggered effects,
USGS event ID,usp000gscg
Wikipedia page,https://en.wikipedia.org/wiki/2009 Cinchona earthquake
