# 20230206_M7.8_KahramanmarasGaziantep median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:AFAD
custom_site_id,lon,lat,AkkarEtAlRjb2014,CauzziEtAl2014,KaleEtAl2015Turkey,ZhaoEtAl2016Asc
m_243,35.83510000000001,34.4392,0.017892608,0.017682385,0.0164644,0.010394822
m_244,35.288399999999996,37.0467,0.06272478,0.06063435,0.06479257,0.051396843
m_245,35.501900000000006,33.8424,0.012434106,0.012267323,0.010060708,0.006365501
m_246,35.806899999999985,35.5305,0.02768532,0.028076164,0.030496752,0.040818248
m_247,35.5138,33.8782,0.011857248,0.011849201,0.009641181,0.00660739
m_248,35.8348,34.4302,0.01418968,0.014414094,0.012850635,0.0121650435
m_249,35.567999999999984,33.8861,0.011470497,0.011566041,0.009348599,0.006723402
m_250,35.578599999999994,33.8769,0.009194012,0.009786959,0.0074709207,0.0050006453
m_251,35.502999999999986,33.8785,0.012430143,0.012298183,0.010118118,0.006596201
m_252,35.88329999999999,34.8887,0.02013407,0.020113291,0.019960096,0.019993199
m_253,35.59100000000001,33.9307,0.010953953,0.0112152435,0.008997546,0.0070540053
m_254,35.50319999999999,33.8875,0.012465778,0.012335117,0.010163427,0.00665498
m_256,35.57939999999999,33.9039,0.010851746,0.011106476,0.008867941,0.0068559563
m_257,35.5351,33.8688,0.011836566,0.011827658,0.009614967,0.006571865
m_258,35.49189999999999,33.8697,0.012387433,0.012253901,0.010063851,0.0065260124
m_259,33.90699999999998,35.2622,0.019035848,0.018809373,0.018043019,0.011609218
m_261,34.52889999999999,36.7434,0.036362063,0.03643351,0.03770467,0.03997829
m_262,35.33189999999999,37.0008,0.050233796,0.050184004,0.050888028,0.04419607
m_263,35.612599999999986,33.9303,0.009752206,0.010281298,0.00800854,0.0053018853
m_264,35.5462,33.8776,0.011425221,0.011518442,0.009291248,0.0066420506
m_265,35.65780000000001,33.9924,0.0092645725,0.009967771,0.007703181,0.0056811795
m_267,35.52510000000001,33.896,0.0119326925,0.011927937,0.009736889,0.0067378907
m_268,35.6018,33.9305,0.010959834,0.011221519,0.009005011,0.0070655025
m_269,35.5035,33.8965,0.01250169,0.012372341,0.010209116,0.0067144344
m_270,35.5248,33.887,0.011898223,0.011891971,0.009693146,0.00667815
m_271,35.481600000000014,33.8879,0.012451041,0.012319807,0.010144686,0.0066305883
m_272,35.4708,33.8881,0.0104852365,0.01078633,0.00851214,0.006618184
m_273,34.5291,36.7524,0.036748745,0.03681259,0.038023777,0.040078525
m_274,35.59049999999999,33.9127,0.010889524,0.01114669,0.008915816,0.0069289133
m_275,35.52429999999998,33.869,0.011829939,0.011820726,0.009606569,0.0065604514
m_276,35.51349999999999,33.8692,0.011823225,0.011813704,0.009598062,0.0065488974
m_277,35.513000000000005,33.8512,0.011935972,0.011884187,0.009662242,0.006433654
m_278,31.008800000000008,36.8628,0.007525218,0.007636632,0.0049164784,0.002051814
m_279,42.907899999999984,36.861,0.008510931,0.008419199,0.005642296,0.0021964218
m_280,35.51400000000001,33.8872,0.011891394,0.011884827,0.009684482,0.0066663097
m_281,35.578,33.8589,0.0092419395,0.009807513,0.0074856826,0.004912189
m_282,33.31290000000001,35.157,0.009976294,0.009897499,0.009357374,0.007837442
m_283,34.84219999999999,32.2758,0.008638945,0.00823004,0.0052016936,0.0012846369
m_284,35.64929999999998,34.0647,0.010045519,0.010657837,0.008459217,0.0060983268
m_285,35.54669999999999,33.8956,0.011491629,0.011588208,0.009375386,0.006761426
m_286,35.5359,33.8958,0.011939492,0.011935051,0.0097455215,0.0067497315
m_287,35.49270000000001,33.8967,0.012494304,0.012364667,0.010199717,0.00670216
m_288,35.4914,33.8516,0.012462244,0.012296425,0.010096424,0.006410696
