# 20230206_M7.8_KahramanmarasGaziantep median gmf, Stations:None, gmlt:Adjusted, Rupture:USGS
custom_site_id,lon,lat,AkkarEtAlRjb2014,CauzziEtAl2014,KaleEtAl2015Turkey,ZhaoEtAl2016Asc
t_0,34.77311,35.41046,0.027488204,0.037543904,0.020620989,0.030867113
t_1,34.77311,35.48365,0.028275691,0.038621128,0.021397978,0.03259474
t_10,34.77311,36.13928,0.034267776,0.04675778,0.027368205,0.046066005
t_100,34.86294000000001,38.91709,0.020399025,0.027447566,0.013477544,0.014458779
t_1000,36.47990999999999,37.64788,0.08079481,0.107522845,0.072945826,0.13105293
t_10009,41.42063999999999,34.3048,0.012934246,0.016243737,0.0056998907,0.0015445282
t_1001,36.47990999999999,37.71898,0.099073134,0.12909375,0.08966445,0.1579125
t_10010,41.42063999999999,34.37897,0.009329087,0.01265765,0.004119743,0.0012281444
t_10011,41.42063999999999,34.45308,0.012953361,0.016359359,0.005828426,0.0017394067
t_10012,41.42063999999999,34.52712,0.012324141,0.015766159,0.0055897604,0.0018450529
t_10013,41.42063999999999,34.60109,0.013791999,0.017352492,0.006364559,0.0016561283
t_10014,41.42063999999999,34.675,0.012857566,0.016421948,0.0059667258,0.0020739853
t_10015,41.42063999999999,34.74885,0.013277166,0.016910207,0.006235192,0.0021977876
t_10016,41.42063999999999,34.82262,0.0133951185,0.017089505,0.006358106,0.0023281148
t_10017,41.42063999999999,34.89634,0.014266779,0.018062912,0.006866779,0.00246527
t_10018,41.42063999999999,34.96998,0.015028783,0.01895418,0.0073378817,0.0022088613
t_10019,41.42063999999999,35.04356,0.014243578,0.018149383,0.006989944,0.0027609952
t_1002,36.47990999999999,37.79,0.07378615,0.09779587,0.06621184,0.10675321
t_10020,41.42063999999999,35.11707,0.0145631805,0.018545778,0.007226293,0.0029200418
t_10021,41.42063999999999,35.19052,0.015252237,0.019346317,0.007666105,0.003086858
t_10022,41.42063999999999,35.2639,0.01531675,0.019470705,0.0077722957,0.0032616372
t_10023,41.42063999999999,35.33722,0.015351012,0.019564785,0.007862873,0.0034446504
t_10024,41.42063999999999,35.41046,0.016008249,0.02034287,0.008301415,0.0036359762
t_10025,41.42063999999999,35.48365,0.016151695,0.020555899,0.008455999,0.003835845
t_10026,41.42063999999999,35.55676,0.01771198,0.022491746,0.009463781,0.0034234119
t_10027,41.42063999999999,35.62981,0.016806122,0.02139852,0.00898218,0.003607268
t_10028,41.42063999999999,35.70279,0.017292928,0.022009928,0.009345512,0.003798573
t_10029,41.42063999999999,35.77571,0.017836245,0.02270186,0.009750775,0.0039973194
t_1003,36.47990999999999,37.86096,0.075524956,0.099041626,0.06766424,0.12755889
t_10030,41.42063999999999,35.84855,0.017888557,0.022800947,0.009856725,0.0042034094
t_10031,41.42063999999999,35.92133,0.019311989,0.024720201,0.010857987,0.0044168085
t_10032,41.42063999999999,35.99405,0.019672845,0.025239894,0.011174473,0.00463737
t_10033,41.42063999999999,36.0667,0.019492237,0.024932174,0.011108457,0.004864876
t_10034,41.42063999999999,36.13928,0.018887958,0.02416254,0.010781889,0.0050990772
t_10035,41.42063999999999,36.21179,0.0184443,0.023692237,0.010579222,0.0063079903
t_10036,41.42063999999999,36.28424,0.017331075,0.02255005,0.009979443,0.006599068
t_10037,41.42063999999999,36.35661,0.015001418,0.020228948,0.008677135,0.006896409
t_10038,41.42063999999999,36.42893,0.019092022,0.024597531,0.01121268,0.0071994085
t_10039,41.42063999999999,36.50117,0.018619366,0.024138598,0.010991982,0.0075070956
t_1004,36.47990999999999,37.93185,0.058072533,0.079186134,0.051776264,0.08606453
t_10040,41.42063999999999,36.57335,0.02160778,0.027878655,0.0130506605,0.0066182567
t_10041,41.42063999999999,36.64546,0.022355324,0.029078968,0.013681318,0.0068842545
t_10042,41.42063999999999,36.7175,0.022954322,0.030173866,0.01422836,0.0071514957
t_10043,41.42063999999999,36.78947,0.023008049,0.03007492,0.014296461,0.0074188286
t_10044,41.42063999999999,36.86138,0.023014694,0.029947892,0.014335864,0.0076850443
t_10045,41.42063999999999,36.93322,0.023021888,0.029873595,0.014383858,0.00794876
t_10046,41.42063999999999,37.00499,0.023011673,0.029805409,0.014422981,0.008208537
t_10047,41.42063999999999,37.0767,0.021872068,0.028270455,0.013661799,0.009997782
t_10048,41.42063999999999,37.14833,0.019103602,0.02525952,0.011900992,0.01028989
t_10049,41.42063999999999,37.2199,0.019326033,0.025552003,0.0120984055,0.010571758
t_1005,36.47990999999999,38.00267,0.07423336,0.10840877,0.06707599,0.08738185
t_10050,41.42063999999999,37.2914,0.02036853,0.02671023,0.012826428,0.010841362
t_10051,41.42063999999999,37.36283,0.02035363,0.026744388,0.01286586,0.011096702
t_10052,41.42063999999999,37.4342,0.023400024,0.030306185,0.014986241,0.009595502
t_10053,41.42063999999999,37.5055,0.02163605,0.028222876,0.013803755,0.011556764
t_10054,41.42063999999999,37.57672,0.020816725,0.027367119,0.013295025,0.01175766
t_10055,41.42063999999999,37.64788,0.0152559895,0.021621613,0.00973269,0.008943043
t_10056,41.42063999999999,37.71898,0.022591779,0.029388182,0.014553315,0.012092619
t_10057,41.42063999999999,37.79,0.019054674,0.025612818,0.012222983,0.012223595
t_10058,41.42063999999999,37.86096,0.020075161,0.026695415,0.012909048,0.0123285875
t_10059,41.42063999999999,37.93185,0.01942768,0.026036657,0.012497811,0.012406613
t_1006,36.47990999999999,38.07342,0.059114855,0.078582,0.052220393,0.09339371
t_10060,41.42063999999999,38.00267,0.022433098,0.029260918,0.014510231,0.012456968
t_10061,41.42063999999999,38.07342,0.020270031,0.026929334,0.013063879,0.012479226
t_10062,41.42063999999999,38.1441,0.020165168,0.026818324,0.012993665,0.012473244
t_10063,41.42063999999999,38.21472,0.017738217,0.02429508,0.0114034135,0.009319407
t_10064,41.42063999999999,38.28526,0.015469582,0.021930682,0.009932367,0.009273142
t_10065,41.42063999999999,38.35574,0.015426762,0.021868728,0.009892301,0.009206659
t_10066,41.42063999999999,38.42615,0.016964793,0.023440558,0.0108619165,0.00912068
t_10067,41.42063999999999,38.49649,0.015303472,0.02169033,0.00977704,0.009016095
t_10068,41.42063999999999,38.56676,0.018420897,0.024885057,0.011751697,0.011871293
t_10069,41.42063999999999,38.63696,0.0152262,0.021541217,0.0096772835,0.008755411
t_1007,36.47990999999999,38.1441,0.059405588,0.07877641,0.051937804,0.08479748
t_10070,41.42063999999999,38.7071,0.0157044,0.02199695,0.009949927,0.008601781
t_10071,41.42063999999999,38.77717,0.019052496,0.025411107,0.012051139,0.011257949
t_10072,41.42063999999999,38.84716,0.02259724,0.029263224,0.014359173,0.011018148
t_10073,41.42063999999999,38.91709,0.021822384,0.028309178,0.013777918,0.010763797
t_10074,41.42063999999999,38.98695,0.016546467,0.022661349,0.010321015,0.007864208
t_10075,41.42063999999999,39.05674,0.01805548,0.024156315,0.011221324,0.010219325
t_10076,41.42063999999999,39.12646,0.018910738,0.024981176,0.011707428,0.009933027
t_10077,41.42063999999999,39.19612,0.018330444,0.024312522,0.011281633,0.009639769
t_10078,41.42063999999999,39.2657,0.014270235,0.020059194,0.008714206,0.0069984947
t_10079,41.42063999999999,39.33521,0.016163845,0.021943929,0.009818298,0.0067723026
t_1008,36.47990999999999,38.21472,0.04060914,0.05716403,0.034916118,0.057923798
t_10080,41.42063999999999,39.40466,0.017389424,0.023132605,0.010510365,0.008735544
t_10081,41.42063999999999,39.47404,0.020204091,0.026082711,0.012215775,0.008431069
t_10082,41.42063999999999,39.54334,0.014946208,0.020478545,0.008902815,0.0060889735
t_10083,41.42063999999999,39.61258,0.01859625,0.02418391,0.011053485,0.0078256475
t_10084,41.42063999999999,39.68175,0.016437735,0.021860234,0.0096695395,0.0075269956
t_10085,41.42063999999999,39.75085,0.018487008,0.023934782,0.010842837,0.0072323075
t_10086,41.42063999999999,39.81988,0.01596694,0.02122776,0.009254731,0.0069424165
t_10087,41.42063999999999,39.88884,0.01627884,0.021472638,0.009369899,0.0066580432
t_10088,41.42063999999999,39.95774,0.014649195,0.019732097,0.008353613,0.0063797655
t_10089,41.42063999999999,40.02656,0.0120873,0.017029429,0.0068325843,0.0045761764
t_1009,36.47990999999999,38.28526,0.038109105,0.053783663,0.032360774,0.052908566
t_10090,41.42063999999999,40.09531,0.014044171,0.018967329,0.007879317,0.004378011
t_10091,41.42063999999999,40.164,0.01324799,0.018081894,0.0073685623,0.0041853962
t_10092,41.42063999999999,40.23261,0.011739681,0.01646343,0.0064732046,0.0039986027
t_10093,41.42063999999999,40.30116,0.011428513,0.01607375,0.0062479125,0.0038176826
t_10094,41.42063999999999,40.36963,0.011480312,0.016061028,0.0062219542,0.0036427875
t_10095,41.42063999999999,40.43804,0.011392311,0.015904095,0.0061201267,0.0034739221
t_10096,41.42063999999999,40.50638,0.0121070165,0.016569398,0.0064471248,0.0033111314
t_10097,41.42063999999999,40.57464,0.012455017,0.016857522,0.0065747625,0.003154431
t_10098,41.42063999999999,40.64284,0.010911552,0.015215766,0.0057052793,0.0030037602
t_10099,41.42063999999999,40.71097,0.011575097,0.015830789,0.005997291,0.0028590346
t_101,34.86294000000001,38.98695,0.02211587,0.029124085,0.014516706,0.013729283
t_1010,36.47990999999999,38.35574,0.042320255,0.057506725,0.03551219,0.06452352
t_1011,36.47990999999999,38.42615,0.039390493,0.05376149,0.032631136,0.044249114
t_10110,41.51048,34.3048,0.012872049,0.016149227,0.0056335945,0.0014877436
t_10111,41.51048,34.37897,0.012623805,0.015933571,0.0055741114,0.0015781558
t_10112,41.51048,34.45308,0.010261137,0.013611826,0.004552405,0.0016735606
t_10113,41.51048,34.52712,0.0121251345,0.015527913,0.0054570795,0.0017741643
t_10114,41.51048,34.60109,0.011151357,0.014609697,0.00506221,0.0018801877
