# 20230206_M7.8_KahramanmarasGaziantep median gmf, Stations:None, gmlt:Adjusted, Rupture:AFAD
custom_site_id,lon,lat,AkkarEtAlRjb2014,CauzziEtAl2014,KaleEtAl2015Turkey,ZhaoEtAl2016Asc
t_0,34.77311,35.41046,0.020570528,0.027827546,0.014723155,0.01965216
t_1,34.77311,35.48365,0.021169497,0.028653879,0.015307031,0.020905064
t_10,34.77311,36.13928,0.027285598,0.036944136,0.021356026,0.03423365
t_100,34.86294000000001,38.91709,0.01784938,0.02374833,0.0118650105,0.012628192
t_1000,36.47990999999999,37.64788,0.061993543,0.08052403,0.05625822,0.09632729
t_10009,41.42063999999999,34.3048,0.011520133,0.014223965,0.005191676,0.0014490423
t_1001,36.47990999999999,37.71898,0.07678894,0.09680053,0.069813006,0.11581096
t_10010,41.42063999999999,34.37897,0.00828488,0.011072229,0.0037411854,0.001145589
t_10011,41.42063999999999,34.45308,0.0115070045,0.014294313,0.0052829804,0.0016128751
t_10012,41.42063999999999,34.52712,0.010927204,0.013759555,0.0050525474,0.001700406
t_10013,41.42063999999999,34.60109,0.01222793,0.015124692,0.0057406905,0.0015167134
t_10014,41.42063999999999,34.675,0.0113704465,0.014294154,0.005364512,0.0018871211
t_10015,41.42063999999999,34.74885,0.011726201,0.014697828,0.0055902335,0.0019864638
t_10016,41.42063999999999,34.82262,0.011810994,0.014830774,0.0056832302,0.0020898483
t_10017,41.42063999999999,34.89634,0.012567216,0.015649837,0.0061206724,0.0021973606
t_10018,41.42063999999999,34.96998,0.013225987,0.016393423,0.0065219263,0.0019545075
t_10019,41.42063999999999,35.04356,0.012495441,0.015668312,0.006187862,0.0024247663
t_1002,36.47990999999999,37.79,0.056914035,0.07410475,0.051419392,0.078786716
t_10020,41.42063999999999,35.11707,0.012752099,0.015979135,0.006374869,0.00254468
t_10021,41.42063999999999,35.19052,0.013335533,0.0166343,0.0067400048,0.002668716
t_10022,41.42063999999999,35.2639,0.013359902,0.016704528,0.006806564,0.002796808
t_10023,41.42063999999999,35.33722,0.013355765,0.016746283,0.0068576615,0.002928898
t_10024,41.42063999999999,35.41046,0.013901963,0.017369656,0.0072124726,0.0030648464
t_10025,41.42063999999999,35.48365,0.0139889885,0.017506275,0.0073147095,0.003204576
t_10026,41.42063999999999,35.55676,0.015344337,0.01910294,0.008163975,0.002833896
t_10027,41.42063999999999,35.62981,0.014480337,0.018122561,0.007700665,0.0029580633
t_10028,41.42063999999999,35.70279,0.014862655,0.018584466,0.007975811,0.0030848903
t_10029,41.42063999999999,35.77571,0.015292328,0.019108446,0.008283567,0.0032141616
t_1003,36.47990999999999,37.86096,0.059241183,0.07618005,0.053476617,0.09557741
t_10030,41.42063999999999,35.84855,0.015281467,0.0191287,0.008328305,0.003345575
t_10031,41.42063999999999,35.92133,0.016501106,0.020667514,0.009147,0.003478864
t_10032,41.42063999999999,35.99405,0.016759675,0.021026254,0.009365633,0.0036136901
t_10033,41.42063999999999,36.0667,0.016516782,0.020692192,0.009246548,0.00374966
t_10034,41.42063999999999,36.13928,0.015906027,0.019975344,0.008907685,0.0038863604
t_10035,41.42063999999999,36.21179,0.015450675,0.019507349,0.008679606,0.004753036
t_10036,41.42063999999999,36.28424,0.01443428,0.018489119,0.008127239,0.004914643
t_10037,41.42063999999999,36.35661,0.012422814,0.016514167,0.007014387,0.005075372
t_10038,41.42063999999999,36.42893,0.015788402,0.01999075,0.009022373,0.0052346373
t_10039,41.42063999999999,36.50117,0.015312606,0.019527504,0.008778985,0.0053916867
t_1004,36.47990999999999,37.93185,0.04602243,0.061831288,0.04117043,0.06543407
t_10040,41.42063999999999,36.57335,0.01780768,0.022446549,0.010402801,0.004694437
t_10041,41.42063999999999,36.64546,0.018389523,0.0232996,0.010854527,0.004821835
t_10042,41.42063999999999,36.7175,0.01884678,0.024057304,0.01123677,0.004945494
t_10043,41.42063999999999,36.78947,0.01876893,0.023857648,0.011195116,0.005064758
t_10044,41.42063999999999,36.86138,0.018651986,0.023635402,0.011130398,0.005178983
t_10045,41.42063999999999,36.93322,0.018540755,0.023454802,0.011074762,0.0052874945
t_10046,41.42063999999999,37.00499,0.018417804,0.023279225,0.011013226,0.0053896466
t_10047,41.42063999999999,37.0767,0.017336262,0.021964697,0.010317074,0.0064795837
t_10048,41.42063999999999,37.14833,0.014999562,0.019522524,0.008891584,0.006583041
t_10049,41.42063999999999,37.2199,0.015096815,0.019645488,0.008972406,0.0066768755
t_1005,36.47990999999999,38.00267,0.06147304,0.08594564,0.05519302,0.06760854
t_10050,41.42063999999999,37.2914,0.01584363,0.020429676,0.009448692,0.0067604524
t_10051,41.42063999999999,37.36283,0.015749734,0.020351294,0.009407983,0.006833213
t_10052,41.42063999999999,37.4342,0.018122824,0.022945955,0.010931184,0.0058361865
t_10053,41.42063999999999,37.5055,0.01660207,0.021263892,0.009963369,0.006944405
t_10054,41.42063999999999,37.57672,0.01587897,0.020521024,0.009522234,0.006982072
t_10055,41.42063999999999,37.64788,0.011555932,0.016138326,0.006911998,0.0052498966
t_10056,41.42063999999999,37.71898,0.01712458,0.021838676,0.010311456,0.0070203445
t_10057,41.42063999999999,37.79,0.014324696,0.018953398,0.008580343,0.007020727
t_10058,41.42063999999999,37.86096,0.0150434645,0.019676324,0.009015184,0.0070086187
t_10059,41.42063999999999,37.93185,0.014498717,0.019119656,0.008678093,0.0069841472
t_1006,36.47990999999999,38.07342,0.04825706,0.063112386,0.04225348,0.07332652
t_10060,41.42063999999999,38.00267,0.016742755,0.02141349,0.010052514,0.0069475314
t_10061,41.42063999999999,38.07342,0.015040109,0.019645048,0.008988628,0.0068990784
t_10062,41.42063999999999,38.1441,0.014919997,0.019508118,0.008902002,0.0068391752
t_10063,41.42063999999999,38.21472,0.013074708,0.017627478,0.0077743996,0.0050707166
t_10064,41.42063999999999,38.28526,0.011374896,0.015876204,0.006746784,0.005009774
t_10065,41.42063999999999,38.35574,0.011322749,0.015800703,0.006699292,0.004941432
t_10066,41.42063999999999,38.42615,0.012434022,0.01690888,0.007337293,0.004866179
t_10067,41.42063999999999,38.49649,0.011201926,0.015625775,0.0065894267,0.0047845272
t_10068,41.42063999999999,38.56676,0.013481498,0.017909138,0.007910446,0.006269468
t_10069,41.42063999999999,38.63696,0.011128861,0.0154915815,0.0065012565,0.004604184
t_1007,36.47990999999999,38.1441,0.049157206,0.06397975,0.042648043,0.067464426
t_10070,41.42063999999999,38.7071,0.011474891,0.015812527,0.006677519,0.0045065917
t_10071,41.42063999999999,38.77717,0.013939442,0.01826396,0.008090669,0.0058794525
t_10072,41.42063999999999,38.84716,0.016637377,0.021034868,0.009684206,0.0057387864
t_10073,41.42063999999999,38.91709,0.016047634,0.020356286,0.009279394,0.005594004
t_10074,41.42063999999999,38.98695,0.012110057,0.016304653,0.006923335,0.0040799594
t_10075,41.42063999999999,39.05674,0.013237383,0.017394213,0.007536552,0.005295016
t_10076,41.42063999999999,39.12646,0.013891588,0.018006193,0.007875038,0.0051421802
t_10077,41.42063999999999,39.19612,0.013477933,0.017545044,0.0075950334,0.0049879914
t_10078,41.42063999999999,39.2657,0.010492241,0.014495609,0.005867852,0.003621151
t_10079,41.42063999999999,39.33521,0.011908625,0.01588233,0.0066237566,0.0035055357
t_1008,36.47990999999999,38.21472,0.033722043,0.04687966,0.028824477,0.04662482
t_10080,41.42063999999999,39.40466,0.012844094,0.016771505,0.0071073603,0.0045254775
t_10081,41.42063999999999,39.47404,0.015016141,0.018945722,0.0083043445,0.00437296
t_10082,41.42063999999999,39.54334,0.011070652,0.014904744,0.0060398746,0.0031630518
t_10083,41.42063999999999,39.61258,0.013843748,0.017638775,0.0075323707,0.0040728576
t_10084,41.42063999999999,39.68175,0.012237299,0.01597918,0.006594233,0.003925919
t_10085,41.42063999999999,39.75085,0.013827324,0.01753573,0.007425257,0.0037814486
t_10086,41.42063999999999,39.81988,0.011941768,0.015589224,0.006344834,0.0036396908
t_10087,41.42063999999999,39.88884,0.0122101735,0.015807293,0.0064445743,0.0035008558
t_10088,41.42063999999999,39.95774,0.0110057825,0.014561672,0.005759129,0.003364918
t_10089,41.42063999999999,40.02656,0.009100022,0.01259821,0.004723323,0.0024213495
t_1009,36.47990999999999,38.28526,0.031910412,0.044494834,0.026973981,0.04307104
t_10090,41.42063999999999,40.09531,0.010603829,0.014066541,0.0054649687,0.0023241062
t_10091,41.42063999999999,40.164,0.010025972,0.013442979,0.005125702,0.0022293078
t_10092,41.42063999999999,40.23261,0.008905695,0.012269778,0.0045163245,0.0021370663
t_10093,41.42063999999999,40.30116,0.008691394,0.012008583,0.0043725697,0.0020474198
t_10094,41.42063999999999,40.36963,0.008752495,0.012028098,0.0043677716,0.0019604424
t_10095,41.42063999999999,40.43804,0.008706774,0.011939084,0.004309409,0.0018761418
t_10096,41.42063999999999,40.50638,0.009276064,0.012467938,0.0045536137,0.0017945487
t_10097,41.42063999999999,40.57464,0.009566918,0.012714317,0.0046581537,0.0017156801
t_10098,41.42063999999999,40.64284,0.008399423,0.011502385,0.0040536006,0.0016395069
t_10099,41.42063999999999,40.71097,0.0089313425,0.011994309,0.0042737373,0.0015660245
t_101,34.86294000000001,38.98695,0.019319901,0.025130982,0.012741152,0.011914019
t_1010,36.47990999999999,38.35574,0.035768908,0.04800386,0.029921824,0.053185247
t_1011,36.47990999999999,38.42615,0.033580016,0.04528619,0.027780628,0.036949284
t_10111,41.51048,34.37897,0.01120447,0.013907431,0.0050473837,0.0014604501
t_10112,41.51048,34.45308,0.009084674,0.011867377,0.0041100723,0.0015395094
t_10113,41.51048,34.52712,0.010728336,0.013521443,0.004915492,0.0016220507
t_10114,41.51048,34.60109,0.009848301,0.012705398,0.0045467177,0.0017081456
t_10115,41.51048,34.675,0.012090435,0.014983169,0.0056745005,0.0017978702
t_10116,41.51048,34.74885,0.011726711,0.014653571,0.00554225,0.0018912801
t_10117,41.51048,34.82262,0.011529868,0.01450197,0.0054936926,0.0019883935
t_10118,41.51048,34.89634,0.012018672,0.015040237,0.0057875845,0.0020892813
t_10119,41.51048,34.96998,0.01208671,0.015155377,0.0058720773,0.0021939203
t_1012,36.47990999999999,38.49649,0.035586834,0.047048103,0.029164255,0.04577587
t_10120,41.51048,35.04356,0.011925592,0.015040478,0.0058399886,0.0023023398
t_10121,41.51048,35.11707,0.011828203,0.01499177,0.0058398624,0.0024145097
t_10122,41.51048,35.19052,0.013059127,0.016292913,0.0065316907,0.0025304095
t_10123,41.51048,35.2639,0.013049982,0.01632738,0.0065781735,0.0026499669
t_10124,41.51048,35.33722,0.013934274,0.017318377,0.007114295,0.0023473855
t_10125,41.51048,35.41046,0.014804437,0.018373283,0.007672166,0.0024545542
t_10126,41.51048,35.48365,0.014371516,0.017879,0.0074655064,0.0025645776
t_10127,41.51048,35.55676,0.014830384,0.018443007,0.007785018,0.0026772732
t_10128,41.51048,35.62981,0.014688418,0.01830494,0.0077508125,0.0027925072
t_10129,41.51048,35.70279,0.013954713,0.01754288,0.007381562,0.0034378564
t_1013,36.47990999999999,38.56676,0.028781692,0.039492298,0.023288622,0.031892277
t_10130,41.51048,35.77571,0.014986066,0.018709144,0.008026173,0.003029762
