FIELD,DESCRIPTION
Year,1999
Country,Colombia
Region,South America
Event Name,Armenia 1999
Local Date,25/01/1999
Local Time,13:19:00
Latitude (decimal degrees),4.432
Longitude (decimal degrees),-75.703
Depth (km),15
Mw,6.1
Max Intensity (MMI),IX
Fault mechanism,Strike-Slip
Tectonic region type,Active Shallow Crust
Fatalities,1000-2000
Injured,4000-10000
Displaced population,67539-250000
Affected population,200000-1534500
Affected units,45019-90474 
Damaged units,20000-61859 
Collapsed units,15000-35972 
Economic losses,1500-2630 M USD
Insured losses,100-150 M USD
Earthquake-triggered effects,Landslides
USGS event ID,usp00091q3
Wikipedia page,https://en.wikipedia.org/wiki/1994 P%C3%A1ez River earthquake
