calc_id,description,cal_time,gmpe,imt,nominal_bias,max_gmv,Rupture,GMLT,Recording_Stations,abs_bias
479,"Median gmf - 20171113_M6.5_Puntarenas (Rupture:IPGP, GMPEs:GEM, Recording Stations:all)",22,AbrahamsonEtAl2015SInter,PGA,-0.214,0.67099833,IPGP,GEM,all,0.214
479,"Median gmf - 20171113_M6.5_Puntarenas (Rupture:IPGP, GMPEs:GEM, Recording Stations:all)",22,Campbell2003,PGA,-1.073,0.6688972,IPGP,GEM,all,1.073
479,"Median gmf - 20171113_M6.5_Puntarenas (Rupture:IPGP, GMPEs:GEM, Recording Stations:all)",22,ZhaoEtAl2006SInter,PGA,-0.448,0.66829395,IPGP,GEM,all,0.448
478,"Median gmf - 20171113_M6.5_Puntarenas (Rupture:IPGP, GMPEs:GEM, Recording Stations:seismic)",9,AbrahamsonEtAl2015SInter,PGA,-0.304,0.14941962,IPGP,GEM,seismic,0.304
478,"Median gmf - 20171113_M6.5_Puntarenas (Rupture:IPGP, GMPEs:GEM, Recording Stations:seismic)",9,Campbell2003,PGA,-1.158,0.17493524,IPGP,GEM,seismic,1.158
478,"Median gmf - 20171113_M6.5_Puntarenas (Rupture:IPGP, GMPEs:GEM, Recording Stations:seismic)",9,ZhaoEtAl2006SInter,PGA,-0.522,0.1735569,IPGP,GEM,seismic,0.522
481,"Median gmf - 20171113_M6.5_Puntarenas (Rupture:IPGP, GMPEs:USGS, Recording Stations:all)",45,AbrahamsonEtAl2014,PGA,-1.035,0.6820325,IPGP,USGS,all,1.035
481,"Median gmf - 20171113_M6.5_Puntarenas (Rupture:IPGP, GMPEs:USGS, Recording Stations:all)",45,AbrahamsonEtAl2015SInter,PGA,-0.214,0.67099833,IPGP,USGS,all,0.214
481,"Median gmf - 20171113_M6.5_Puntarenas (Rupture:IPGP, GMPEs:USGS, Recording Stations:all)",45,AtkinsonBoore2003SInter,PGA,-0.08,0.670549,IPGP,USGS,all,0.08
481,"Median gmf - 20171113_M6.5_Puntarenas (Rupture:IPGP, GMPEs:USGS, Recording Stations:all)",45,BooreEtAl2014,PGA,-0.455,0.6849276,IPGP,USGS,all,0.455
481,"Median gmf - 20171113_M6.5_Puntarenas (Rupture:IPGP, GMPEs:USGS, Recording Stations:all)",45,CampbellBozorgnia2014,PGA,-0.667,0.6799517,IPGP,USGS,all,0.667
481,"Median gmf - 20171113_M6.5_Puntarenas (Rupture:IPGP, GMPEs:USGS, Recording Stations:all)",45,ChiouYoungs2014,PGA,-0.861,0.6853256,IPGP,USGS,all,0.861
481,"Median gmf - 20171113_M6.5_Puntarenas (Rupture:IPGP, GMPEs:USGS, Recording Stations:all)",45,ZhaoEtAl2016SInter,PGA,-0.743,0.66804796,IPGP,USGS,all,0.743
480,"Median gmf - 20171113_M6.5_Puntarenas (Rupture:IPGP, GMPEs:USGS, Recording Stations:seismic)",46,AbrahamsonEtAl2014,PGA,-1.136,0.15532963,IPGP,USGS,seismic,1.136
480,"Median gmf - 20171113_M6.5_Puntarenas (Rupture:IPGP, GMPEs:USGS, Recording Stations:seismic)",46,AbrahamsonEtAl2015SInter,PGA,-0.304,0.14941962,IPGP,USGS,seismic,0.304
480,"Median gmf - 20171113_M6.5_Puntarenas (Rupture:IPGP, GMPEs:USGS, Recording Stations:seismic)",46,AtkinsonBoore2003SInter,PGA,-0.165,0.15543091,IPGP,USGS,seismic,0.165
480,"Median gmf - 20171113_M6.5_Puntarenas (Rupture:IPGP, GMPEs:USGS, Recording Stations:seismic)",46,BooreEtAl2014,PGA,-0.546,0.20739067,IPGP,USGS,seismic,0.546
480,"Median gmf - 20171113_M6.5_Puntarenas (Rupture:IPGP, GMPEs:USGS, Recording Stations:seismic)",46,CampbellBozorgnia2014,PGA,-0.754,0.15959394,IPGP,USGS,seismic,0.754
480,"Median gmf - 20171113_M6.5_Puntarenas (Rupture:IPGP, GMPEs:USGS, Recording Stations:seismic)",46,ChiouYoungs2014,PGA,-0.953,0.15797603,IPGP,USGS,seismic,0.953
480,"Median gmf - 20171113_M6.5_Puntarenas (Rupture:IPGP, GMPEs:USGS, Recording Stations:seismic)",46,ZhaoEtAl2016SInter,PGA,-0.806,0.20665239,IPGP,USGS,seismic,0.806
