STATION_ID,STATION_NAME,LONGITUDE,LATITUDE,STATION_TYPE,PGA_VALUE,PGA_LN_SIGMA,SOIL_TYPE,VS30,VS30_TYPE,VS30_USGS
DURR,Durres,19.4573,41.3199,seismic,0.190016,0.0,C,202.0,C,226.0
KKS,Kukesi,20.4017,42.0731,seismic,0.00787,0.0,A,747.0,A,631.0
TIR1,IGEWE BUILDING,19.8078,41.3357,seismic,0.111443,0.0,C,311.0,C,320.0
ELBAS,ELBAS,20.0799,41.1161,seismic,0.019657,0.0,B,403.0,B,384.0
FIER,FIER,19.5669,40.7174,seismic,0.017825,0.0,B,374.0,B,363.0
BERA1,BERATI PRIVATE BUILDING,19.945463,40.708161,seismic,0.015076,0.0,A,1007.0,A,541.0
KRK1,Prefecture Veterinary Corfu Ionian Islands,19.9202,39.618861,seismic,0.006216,0.0,B (inferred from topography),311.0,inferred_USGS,311.0
LMS2,TownHall Laimos Florina Western Macedonia,21.141815,40.834985,seismic,0.004087,0.0,B (inferred from topography),605.0,inferred_USGS,605.0
MESG,Mesagne,17.850423,40.589408,seismic,0.004038,0.0,B (inferred from geology),712.0,inferred_USGS,712.0
VAS2,HealthCenter Vassiliki Lefkas Island,20.608081,38.630558,seismic,0.00313,0.0,C (inferred from topography),560.0,inferred_USGS,560.0
JAN,Ioannina  Greece,20.84874,39.65616,seismic,0.002601,0.0,B (inferred from topography),525.0,inferred_USGS,525.0
MSL1,Prefecture Mesologgi Western Greece,21.4243,38.3727,seismic,0.002172,0.0,C (inferred from topography),317.0,inferred_USGS,317.0
LTRZ,LATERZA,16.8191,40.60325,seismic,0.002169,0.0,B (inferred from geology),999.0,inferred_USGS,999.0
ACER,Acerenza,15.9427,40.7867,seismic,0.001896,0.0,B,523.0,B,990.0
MNNAM,Montana,23.2262,43.4111,seismic,0.001748,0.0,B (inferred from topography),334.0,inferred_USGS,334.0
ARG2,Prefecture Argostoli Cephalonia Ionian Islands,20.4878,38.1783,seismic,0.001547,0.0,B (inferred from topography),435.0,inferred_USGS,435.0
PATC,Patra Greece,21.76001,38.26933,seismic,0.000942,0.0,B (inferred from topography),476.0,inferred_USGS,476.0
SLCN,SALA CONSILINA,15.63277,40.39,seismic,0.000887,0.0,B (inferred from geology),825.0,inferred_USGS,825.0
MRN3,Station Marsico Nuovo  PZ   Italy,15.7296,40.4256,seismic,0.000866,0.0,C (inferred from geology),1000.0,inferred_USGS,1000.0
MCEL,Monticello,15.8019,40.3249,seismic,0.000843,0.0,A (inferred from geology),411.0,inferred_USGS,411.0
SFL3,Station San Fele  Italy,15.5782,40.7889,seismic,0.000753,0.0,B (inferred from geology),634.0,inferred_USGS,634.0
BLKB,Belogradchik,22.675,43.6227,seismic,0.000743,0.0,B (inferred from topography),405.0,inferred_USGS,405.0
PGN3,Station Pignola  Italy,15.7967,40.5722,seismic,0.000658,0.0,A (inferred from geology),1000.0,inferred_USGS,1000.0
ANX,UPSL NOA AnoXora Greece,21.9209,38.5933,seismic,0.000646,0.0,A (inferred from topography),622.0,inferred_USGS,622.0
AVG3,Station Avigliano  Italy,15.7251,40.7619,seismic,0.000613,0.0,B (inferred from geology),1000.0,inferred_USGS,1000.0
CAR1,CAROLEI,16.2114,39.2534,seismic,0.00058,0.0,B (inferred from geology),1000.0,inferred_USGS,1000.0
ART2,Hospital Arta Epirus,20.9937,39.1474,seismic,0.000557,0.0,A (inferred from topography),586.0,inferred_USGS,586.0
RIOA,Rio Greece,21.79118,38.29585,seismic,0.00054,0.0,B (inferred from topography),445.0,inferred_USGS,445.0
PLN1,TownHall Chaniotis Chalkidiki Central Macedonia,23.575,39.998,seismic,0.000533,0.0,B (inferred from topography),334.0,inferred_USGS,334.0
VOL2,Prefecture Volos Magnesia Thessaly,22.9506,39.366,seismic,0.000283,0.0,B (inferred from topography),311.0,inferred_USGS,311.0
KLV1,Health Center Kalavryta Achaea Peloponnese,22.10797,38.03256,seismic,0.000231,0.0,B (inferred from topography),449.0,inferred_USGS,449.0
DJES,"Station Derdap-Kladovo, Serbia",22.5197,44.6672,seismic,0.003016,0.0,,760.0,inferred,750.0
KEK,"Corfu,Greece",19.7962,39.7127,seismic,0.002281,0.0,,560.23,inferred,579.0
LIT,"Litokhoron, Greece",22.4892,40.1033,seismic,0.00046,0.0,,760.0,inferred,601.0
