calc_id,description,cal_time,gmpe,imt,nominal_bias,max_gmv,Rupture,GMLT,Recording_Stations
220,"Median gmf - 20080524_M5.9_Quetame (Rupture:GCMT, GMPEs:GEM, Recording Stations:all)",364,AbrahamsonEtAl2014,PGA,1.003,0.51776326,GCMT,GEM,all
220,"Median gmf - 20080524_M5.9_Quetame (Rupture:GCMT, GMPEs:GEM, Recording Stations:all)",364,AkkarEtAlRjb2014,PGA,1.258,0.8053308,GCMT,GEM,all
220,"Median gmf - 20080524_M5.9_Quetame (Rupture:GCMT, GMPEs:GEM, Recording Stations:all)",364,CauzziEtAl2014,PGA,1.136,0.5176702,GCMT,GEM,all
221,"Median gmf - 20080524_M5.9_Quetame (Rupture:GCMT, GMPEs:GEM, Recording Stations:seismic)",360,AbrahamsonEtAl2014,PGA,0.994,0.5164364,GCMT,GEM,seismic
221,"Median gmf - 20080524_M5.9_Quetame (Rupture:GCMT, GMPEs:GEM, Recording Stations:seismic)",360,AkkarEtAlRjb2014,PGA,1.256,0.8050788,GCMT,GEM,seismic
221,"Median gmf - 20080524_M5.9_Quetame (Rupture:GCMT, GMPEs:GEM, Recording Stations:seismic)",360,CauzziEtAl2014,PGA,1.133,0.51764935,GCMT,GEM,seismic
222,"Median gmf - 20080524_M5.9_Quetame (Rupture:GCMT, GMPEs:USGS, Recording Stations:all)",493,AbrahamsonEtAl2014,PGA,1.003,0.51776326,GCMT,USGS,all
222,"Median gmf - 20080524_M5.9_Quetame (Rupture:GCMT, GMPEs:USGS, Recording Stations:all)",493,BooreEtAl2014,PGA,0.833,0.7842966,GCMT,USGS,all
222,"Median gmf - 20080524_M5.9_Quetame (Rupture:GCMT, GMPEs:USGS, Recording Stations:all)",493,CampbellBozorgnia2014,PGA,0.774,0.5567496,GCMT,USGS,all
222,"Median gmf - 20080524_M5.9_Quetame (Rupture:GCMT, GMPEs:USGS, Recording Stations:all)",493,ChiouYoungs2014,PGA,1.014,0.525087,GCMT,USGS,all
223,"Median gmf - 20080524_M5.9_Quetame (Rupture:GCMT, GMPEs:USGS, Recording Stations:seismic)",516,AbrahamsonEtAl2014,PGA,0.994,0.5164364,GCMT,USGS,seismic
223,"Median gmf - 20080524_M5.9_Quetame (Rupture:GCMT, GMPEs:USGS, Recording Stations:seismic)",516,BooreEtAl2014,PGA,0.81,0.77658266,GCMT,USGS,seismic
223,"Median gmf - 20080524_M5.9_Quetame (Rupture:GCMT, GMPEs:USGS, Recording Stations:seismic)",516,CampbellBozorgnia2014,PGA,0.766,0.55472517,GCMT,USGS,seismic
223,"Median gmf - 20080524_M5.9_Quetame (Rupture:GCMT, GMPEs:USGS, Recording Stations:seismic)",516,ChiouYoungs2014,PGA,1.01,0.52466166,GCMT,USGS,seismic
266,"Median gmf - 20080524_M5.9_Quetame (Rupture:RSNC, GMPEs:GEM, Recording Stations:all)",320,AbrahamsonEtAl2014,PGA,1.156,0.70165503,RSNC,GEM,all
266,"Median gmf - 20080524_M5.9_Quetame (Rupture:RSNC, GMPEs:GEM, Recording Stations:all)",320,AkkarEtAlRjb2014,PGA,1.215,0.758118,RSNC,GEM,all
266,"Median gmf - 20080524_M5.9_Quetame (Rupture:RSNC, GMPEs:GEM, Recording Stations:all)",320,CauzziEtAl2014,PGA,1.072,0.5452067,RSNC,GEM,all
267,"Median gmf - 20080524_M5.9_Quetame (Rupture:RSNC, GMPEs:GEM, Recording Stations:seismic)",335,AbrahamsonEtAl2014,PGA,1.146,0.6989549,RSNC,GEM,seismic
267,"Median gmf - 20080524_M5.9_Quetame (Rupture:RSNC, GMPEs:GEM, Recording Stations:seismic)",335,AkkarEtAlRjb2014,PGA,1.212,0.759138,RSNC,GEM,seismic
