STATION_ID,STATION_NAME,LONGITUDE,LATITUDE,STATION_TYPE,PGA_VALUE,PGA_LN_SIGMA,SOIL_TYPE,VS30,VS30_TYPE,VS30_USGS
AIGA,AIGIO,22.0852,38.2512,seismic,0.5125,0.0,B,437.0,inferred_USGS,437.0
AMIA,AMIA,22.38,38.53,seismic,0.18416,0.0,C,386.0,inferred_USGS,386.0
PAT2,PAT2,21.738,38.238,seismic,0.087231,0.0,C,338.0,inferred_USGS,338.0
MRNA,MRNA,22.12,38.53,seismic,0.070988,0.0,C,406.0,inferred_USGS,406.0
PYR1,PYR1,21.438,37.67,seismic,0.055816,0.0,D,347.0,inferred_USGS,347.0
NAUA,NAUA,21.83,38.4,seismic,0.049822,0.0,B,593.0,inferred_USGS,593.0
PATA,PATA,21.73,38.25,seismic,0.043966,0.0,C,361.0,inferred_USGS,361.0
PAT3,PAT3,21.738,38.254,seismic,0.041419,0.0,D,482.0,inferred_USGS,482.0
PAT1,PAT1,21.733,38.25,seismic,0.033095,0.0,C,361.0,inferred_USGS,361.0
LEVA,LEVA,22.88,38.43,seismic,0.028707,0.0,C,635.0,inferred_USGS,635.0
KRP1,KRP1,21.8,38.917,seismic,0.02598,0.0,A,494.0,inferred_USGS,494.0
KOR1,KOR1,22.933,37.939,seismic,0.020957,0.0,D,452.0,inferred_USGS,452.0
KORA,KORA,22.93,37.93,seismic,0.019039,0.0,D,476.0,inferred_USGS,476.0
AGR1,AGR1,21.406,38.621,seismic,0.017239,0.0,D,447.0,inferred_USGS,447.0
LEF1,LEF1,20.702,38.826,seismic,0.01424,0.0,D,327.0,inferred_USGS,327.0
ZAK1,ZAK1,20.9,37.785,seismic,0.011901,0.0,D,600.0,inferred_USGS,600.0
ATH3,ATH3,23.706,37.972,seismic,0.011364,0.0,C,503.0,inferred_USGS,503.0
