FIELD,DESCRIPTION
Year,1997
Region,Middle_East
Country,Iran
Event_Name,Qayen
Local_Date,10/05/1997
Local_Time,12:27:00
Longitude,59.8
Latitude,33.82
Depth_(km),10
Mw,7.2
Max_Intensity_(MMI),IX
Fault_mechanism,Strike Slip
Tectonic_region_type,Active Crustal
Fatalities,1500-1728
Injured,2300-2600
Displaced_Population,
Affected_Population,72000-200166
Affected_Units,
Damaged_Units,5474-7000 Buildings
Collapsed_Units,10533-15000 Buildings
Economic_Losses,100-500 M USD
Insured_Losses,
Induced_Effects,Landslides
USGS page,https://earthquake.usgs.gov/earthquakes/eventpage/usp000820p/executive
Wikipedia page,https://fa.wikipedia.org/wiki/%D8%B2%D9%85%DB%8C%D9%86%E2%80%8C%D9%84%D8%B1%D8%B2%D9%87_%DB%B1%DB%B3%DB%B7%DB%B6_%D9%82%D8%A7%D8%A6%D9%86
