calc_id,description,cal_time,gmpe,imt,nominal_bias,max_gmv,Rupture,GMLT,Recording_Stations,abs_bias
6,"Median gmf - 19850919_M8.1_Michoacan (Rupture:USGS, GMPEs:USGS, Recording Stations:seismic)",37,ZhaoEtAl2016SInter,SA(0.3),-0.002,2.7585893,USGS,USGS,seismic,0.002
4,"Median gmf - 19850919_M8.1_Michoacan (Rupture:GCMT, GMPEs:USGS, Recording Stations:seismic)",33,AtkinsonBoore2003SInter,PGA,-0.007,0.2559643,GCMT,USGS,seismic,0.007
3,"Median gmf - 19850919_M8.1_Michoacan (Rupture:GCMT, GMPEs:GEM, Recording Stations:seismic)",33,ZhaoEtAl2006SInter,PGA,0.017,0.4545618,GCMT,GEM,seismic,0.017
2,"Median gmf - 19850919_M8.1_Michoacan (Rupture:Eissler_et_al_1986, GMPEs:USGS, Recording Stations:seismic)",33,AbrahamsonEtAl2015SInter,PGA,0.019,0.66348106,Eissler_et_al_1986,USGS,seismic,0.019
1,"Median gmf - 19850919_M8.1_Michoacan (Rupture:Eissler_et_al_1986, GMPEs:GEM, Recording Stations:seismic)",32,MontalvaEtAl2017SInter,PGA,0.038,0.9585758,Eissler_et_al_1986,GEM,seismic,0.038
1,"Median gmf - 19850919_M8.1_Michoacan (Rupture:Eissler_et_al_1986, GMPEs:GEM, Recording Stations:seismic)",32,YoungsEtAl1997SInter,SA(0.3),0.048,0.8758266,Eissler_et_al_1986,GEM,seismic,0.048
4,"Median gmf - 19850919_M8.1_Michoacan (Rupture:GCMT, GMPEs:USGS, Recording Stations:seismic)",33,ZhaoEtAl2016SInter,SA(0.3),-0.051,1.8495519,GCMT,USGS,seismic,0.051
5,"Median gmf - 19850919_M8.1_Michoacan (Rupture:USGS, GMPEs:GEM, Recording Stations:seismic)",35,ZhaoEtAl2006SInter,PGA,-0.052,0.6489919,USGS,GEM,seismic,0.052
3,"Median gmf - 19850919_M8.1_Michoacan (Rupture:GCMT, GMPEs:GEM, Recording Stations:seismic)",33,YoungsEtAl1997SInter,PGA,-0.064,0.32146153,GCMT,GEM,seismic,0.064
3,"Median gmf - 19850919_M8.1_Michoacan (Rupture:GCMT, GMPEs:GEM, Recording Stations:seismic)",33,ZhaoEtAl2006SInter,SA(0.3),-0.075,1.2144704,GCMT,GEM,seismic,0.075
5,"Median gmf - 19850919_M8.1_Michoacan (Rupture:USGS, GMPEs:GEM, Recording Stations:seismic)",35,YoungsEtAl1997SInter,PGA,-0.081,0.38659528,USGS,GEM,seismic,0.081
6,"Median gmf - 19850919_M8.1_Michoacan (Rupture:USGS, GMPEs:USGS, Recording Stations:seismic)",37,AtkinsonBoore2003SInter,PGA,-0.091,0.2542936,USGS,USGS,seismic,0.091
2,"Median gmf - 19850919_M8.1_Michoacan (Rupture:Eissler_et_al_1986, GMPEs:USGS, Recording Stations:seismic)",33,AtkinsonBoore2003SInter,SA(0.3),0.104,0.8162245,Eissler_et_al_1986,USGS,seismic,0.104
2,"Median gmf - 19850919_M8.1_Michoacan (Rupture:Eissler_et_al_1986, GMPEs:USGS, Recording Stations:seismic)",33,AbrahamsonEtAl2015SInter,SA(0.3),0.105,1.566624,Eissler_et_al_1986,USGS,seismic,0.105
6,"Median gmf - 19850919_M8.1_Michoacan (Rupture:USGS, GMPEs:USGS, Recording Stations:seismic)",37,AtkinsonBoore2003SInter,SA(1.0),0.13,0.4349044,USGS,USGS,seismic,0.13
4,"Median gmf - 19850919_M8.1_Michoacan (Rupture:GCMT, GMPEs:USGS, Recording Stations:seismic)",33,ZhaoEtAl2016SInter,PGA,0.137,0.8545244,GCMT,USGS,seismic,0.137
5,"Median gmf - 19850919_M8.1_Michoacan (Rupture:USGS, GMPEs:GEM, Recording Stations:seismic)",35,ZhaoEtAl2006SInter,SA(0.3),-0.139,1.4851569,USGS,GEM,seismic,0.139
1,"Median gmf - 19850919_M8.1_Michoacan (Rupture:Eissler_et_al_1986, GMPEs:GEM, Recording Stations:seismic)",32,MontalvaEtAl2017SInter,SA(0.3),-0.155,1.455222,Eissler_et_al_1986,GEM,seismic,0.155
4,"Median gmf - 19850919_M8.1_Michoacan (Rupture:GCMT, GMPEs:USGS, Recording Stations:seismic)",33,AtkinsonBoore2003SInter,SA(1.0),0.187,0.44169182,GCMT,USGS,seismic,0.187
4,"Median gmf - 19850919_M8.1_Michoacan (Rupture:GCMT, GMPEs:USGS, Recording Stations:seismic)",33,AtkinsonBoore2003SInter,SA(0.3),-0.197,0.76329094,GCMT,USGS,seismic,0.197
3,"Median gmf - 19850919_M8.1_Michoacan (Rupture:GCMT, GMPEs:GEM, Recording Stations:seismic)",33,MontalvaEtAl2017SInter,SA(1.0),0.197,0.60764205,GCMT,GEM,seismic,0.197
5,"Median gmf - 19850919_M8.1_Michoacan (Rupture:USGS, GMPEs:GEM, Recording Stations:seismic)",35,MontalvaEtAl2017SInter,SA(1.0),0.211,0.7931277,USGS,GEM,seismic,0.211
5,"Median gmf - 19850919_M8.1_Michoacan (Rupture:USGS, GMPEs:GEM, Recording Stations:seismic)",35,YoungsEtAl1997SInter,SA(1.0),0.215,0.67283833,USGS,GEM,seismic,0.215
3,"Median gmf - 19850919_M8.1_Michoacan (Rupture:GCMT, GMPEs:GEM, Recording Stations:seismic)",33,YoungsEtAl1997SInter,SA(1.0),0.223,0.670264,GCMT,GEM,seismic,0.223
1,"Median gmf - 19850919_M8.1_Michoacan (Rupture:Eissler_et_al_1986, GMPEs:GEM, Recording Stations:seismic)",32,YoungsEtAl1997SInter,PGA,0.226,0.47562948,Eissler_et_al_1986,GEM,seismic,0.226
3,"Median gmf - 19850919_M8.1_Michoacan (Rupture:GCMT, GMPEs:GEM, Recording Stations:seismic)",33,YoungsEtAl1997SInter,SA(0.3),-0.237,0.75736517,GCMT,GEM,seismic,0.237
6,"Median gmf - 19850919_M8.1_Michoacan (Rupture:USGS, GMPEs:USGS, Recording Stations:seismic)",37,AbrahamsonEtAl2015SInter,SA(0.3),-0.246,1.2279453,USGS,USGS,seismic,0.246
5,"Median gmf - 19850919_M8.1_Michoacan (Rupture:USGS, GMPEs:GEM, Recording Stations:seismic)",35,YoungsEtAl1997SInter,SA(0.3),-0.253,0.76784563,USGS,GEM,seismic,0.253
2,"Median gmf - 19850919_M8.1_Michoacan (Rupture:Eissler_et_al_1986, GMPEs:USGS, Recording Stations:seismic)",33,AtkinsonBoore2003SInter,PGA,0.257,0.2863276,Eissler_et_al_1986,USGS,seismic,0.257
4,"Median gmf - 19850919_M8.1_Michoacan (Rupture:GCMT, GMPEs:USGS, Recording Stations:seismic)",33,AbrahamsonEtAl2015SInter,SA(0.3),-0.261,0.89401937,GCMT,USGS,seismic,0.261
5,"Median gmf - 19850919_M8.1_Michoacan (Rupture:USGS, GMPEs:GEM, Recording Stations:seismic)",35,ZhaoEtAl2006SInter,SA(1.0),0.263,1.1023229,USGS,GEM,seismic,0.263
6,"Median gmf - 19850919_M8.1_Michoacan (Rupture:USGS, GMPEs:USGS, Recording Stations:seismic)",37,AtkinsonBoore2003SInter,SA(0.3),-0.283,0.7513492,USGS,USGS,seismic,0.283
6,"Median gmf - 19850919_M8.1_Michoacan (Rupture:USGS, GMPEs:USGS, Recording Stations:seismic)",37,ZhaoEtAl2016SInter,PGA,0.293,1.4821502,USGS,USGS,seismic,0.293
6,"Median gmf - 19850919_M8.1_Michoacan (Rupture:USGS, GMPEs:USGS, Recording Stations:seismic)",37,AbrahamsonEtAl2015SInter,PGA,-0.302,0.52095497,USGS,USGS,seismic,0.302
1,"Median gmf - 19850919_M8.1_Michoacan (Rupture:Eissler_et_al_1986, GMPEs:GEM, Recording Stations:seismic)",32,ZhaoEtAl2006SInter,SA(0.3),0.306,1.9401523,Eissler_et_al_1986,GEM,seismic,0.306
3,"Median gmf - 19850919_M8.1_Michoacan (Rupture:GCMT, GMPEs:GEM, Recording Stations:seismic)",33,ZhaoEtAl2006SInter,SA(1.0),0.308,1.0012451,GCMT,GEM,seismic,0.308
4,"Median gmf - 19850919_M8.1_Michoacan (Rupture:GCMT, GMPEs:USGS, Recording Stations:seismic)",33,AbrahamsonEtAl2015SInter,PGA,-0.313,0.3647005,GCMT,USGS,seismic,0.313
5,"Median gmf - 19850919_M8.1_Michoacan (Rupture:USGS, GMPEs:GEM, Recording Stations:seismic)",35,MontalvaEtAl2017SInter,PGA,-0.324,0.6996447,USGS,GEM,seismic,0.324
3,"Median gmf - 19850919_M8.1_Michoacan (Rupture:GCMT, GMPEs:GEM, Recording Stations:seismic)",33,MontalvaEtAl2017SInter,PGA,-0.336,0.45103514,GCMT,GEM,seismic,0.336
