STATION_ID,STATION_NAME,LONGITUDE,LATITUDE,STATION_TYPE,VS30,MMI_VALUE,MMI_STDDEV,PGA_LN_SIGMA,PGA_VALUE,PGV_LN_SIGMA,PGV_VALUE,SA(0.3)_LN_SIGMA,SA(0.3)_VALUE,SA(1.0)_LN_SIGMA,SA(1.0)_VALUE,SA(3.0)_LN_SIGMA,SA(3.0)_VALUE,VS30_TYPE,REFERENCES,GMICE
UTM:(29R 0557 3437 1000),,-8.3972,31.0699,macroseismic,898.41,9.1,0.5298,0.51,0.547211926,0.47,36.49758687,0.73,1.411220684,0.64,0.448213073,0.74,0.075589394,inferred,Stations_USGS_CataldiEtAl2021,CataldiEtAl2021
UTM:(29R 0539 3459 1000),,-8.5851,31.2691,macroseismic,414.52,8.9,0.5298,0.51,0.465564777,0.47,30.67555668,0.73,1.189174234,0.64,0.37025162,0.74,0.061927105,inferred,Stations_USGS_CataldiEtAl2021,CataldiEtAl2021
UTM:(29R 0520 3463 1000),,-8.7846,31.3057,macroseismic,314.54,8.9,0.5298,0.51,0.465564777,0.47,30.67555668,0.73,1.189174234,0.64,0.37025162,0.74,0.061927105,inferred,Stations_USGS_CataldiEtAl2021,CataldiEtAl2021
UTM:(29R 0598 3461 1000),,-7.9652,31.2836,macroseismic,690.19,8.7,0.5298,0.51,0.396099849,0.47,25.78224641,0.73,1.002065358,0.64,0.305850656,0.74,0.050734185,inferred,Stations_USGS_CataldiEtAl2021,CataldiEtAl2021
UTM:(29R 0556 3459 1000),,-8.4065,31.2684,macroseismic,441.18,8.7,0.5298,0.51,0.396099849,0.47,25.78224641,0.73,1.002065358,0.64,0.305850656,0.74,0.050734185,inferred,Stations_USGS_CataldiEtAl2021,CataldiEtAl2021
UTM:(29R 0592 3496 1000),,-8.0249,31.5999,macroseismic,295.14,8.4,0.5298,0.51,0.310843306,0.47,19.866127,0.73,0.775125251,0.64,0.229629716,0.74,0.037621019,inferred,Stations_USGS_CataldiEtAl2021,CataldiEtAl2021
UTM:(29R 0578 3484 1000),,-8.1734,31.4927,macroseismic,360.48,8.3,0.5298,0.51,0.286717235,0.47,18.21282684,0.73,0.711536468,0.64,0.208705701,0.74,0.034051835,inferred,Stations_USGS_CataldiEtAl2021,CataldiEtAl2021
UTM:(29R 0597 3457 1000),,-7.9761,31.2476,macroseismic,677.97,8.3,0.5298,0.51,0.286717235,0.47,18.21282684,0.73,0.711536468,0.64,0.208705701,0.74,0.034051835,inferred,Stations_USGS_CataldiEtAl2021,CataldiEtAl2021
UTM:(29R 0547 3442 1000),,-8.5018,31.1154,macroseismic,741.54,8.2,0.5298,0.51,0.264463706,0.47,16.69711773,0.73,0.653164304,0.64,0.189688296,0.74,0.030821266,inferred,Stations_USGS_CataldiEtAl2021,CataldiEtAl2021
UTM:(29R 0609 3502 1000),,-7.8451,31.6525,macroseismic,272.14,8.2,0.5298,0.51,0.264463706,0.47,16.69711773,0.73,0.653164304,0.64,0.189688296,0.74,0.030821266,inferred,Stations_USGS_CataldiEtAl2021,CataldiEtAl2021
UTM:(29R 0602 3484 1000),,-7.9208,31.4908,macroseismic,350.24,8,0.5298,0.51,0.225004209,0.47,14.03362319,0.73,0.550393124,0.64,0.156694223,0.74,0.025250524,inferred,Stations_USGS_CataldiEtAl2021,CataldiEtAl2021
UTM:(29R 0589 3499 1000),,-8.0563,31.6272,macroseismic,289.83,7.9,0.52,0.51,0.20754053,0.47,12.86571605,0.73,0.505240643,0.64,0.142416139,0.74,0.022854954,inferred,Stations_USGS_CataldiEtAl2021,CataldiEtAl2021
UTM:(29R 0596 3498 1000),,-7.9826,31.6176,macroseismic,269.74,7.8,0.4847,0.51,0.191432294,0.47,11.79500456,0.73,0.463792325,0.64,0.129439084,0.74,0.020686656,inferred,Stations_USGS_CataldiEtAl2021,CataldiEtAl2021
UTM:(29R 0588 3483 1000),,-8.0683,31.4829,macroseismic,313.02,7.7,0.5298,0.51,0.176574296,0.47,10.8133999,0.73,0.425744294,0.64,0.117644508,0.74,0.01872407,inferred,Stations_USGS_CataldiEtAl2021,CataldiEtAl2021
UTM:(29R 0609 3487 1000),,-7.8468,31.5172,macroseismic,331.86,7.7,0.5298,0.51,0.176574296,0.47,10.8133999,0.73,0.425744294,0.64,0.117644508,0.74,0.01872407,inferred,Stations_USGS_CataldiEtAl2021,CataldiEtAl2021
UTM:(29R 0596 3500 1000),,-7.9824,31.6356,macroseismic,281.14,7.7,0.5106,0.51,0.176574296,0.47,10.8133999,0.73,0.425744294,0.64,0.117644508,0.74,0.01872407,inferred,Stations_USGS_CataldiEtAl2021,CataldiEtAl2021
UTM:(29R 0669 3519 1000),,-7.2095,31.7985,macroseismic,312.84,7.6,0.5298,0.51,0.162869501,0.47,9.913486399,0.73,0.390817602,0.64,0.106924661,0.74,0.016947678,inferred,Stations_USGS_CataldiEtAl2021,CataldiEtAl2021
UTM:(29R 0598 3495 1000),,-7.9618,31.5904,macroseismic,302.75,7.6,0.5298,0.51,0.162869501,0.47,9.913486399,0.73,0.390817602,0.64,0.106924661,0.74,0.016947678,inferred,Stations_USGS_CataldiEtAl2021,CataldiEtAl2021
UTM:(29R 0605 3503 1000),,-7.8872,31.6619,macroseismic,278.49,7.5,0.52,0.51,0.150228401,0.47,9.088465564,0.73,0.358756183,0.64,0.097181613,0.74,0.015339817,inferred,Stations_USGS_CataldiEtAl2021,CataldiEtAl2021
