# 20120905_M7.6_Nicoya median gmf, Stations:Seismic, gmlt:GEM, Rupture:JMA
custom_site_id,lon,lat,AbrahamsonEtAl2015SInter,ParkerEtAl2020SInter,ZhaoEtAl2006SInter
m_104,-84.127,9.9839,0.052178465,0.050905075,0.05469578
m_105,-84.1278,9.8936,0.05859452,0.057236277,0.056012657
m_106,-84.0359,9.983,0.0950938,0.095193274,0.09942025
m_109,-84.0367,9.8927,0.071868375,0.074404016,0.0751562
m_113,-84.2205,9.7136,0.07569763,0.08395326,0.079796225
m_114,-84.1262,10.0742,0.0967648,0.09810185,0.08911457
m_120,-84.219,9.8943,0.08034607,0.07933385,0.08253281
m_123,-84.3975,10.3475,0.07312074,0.076706186,0.072580256
m_131,-84.1317,9.4419,0.04599539,0.045963563,0.0462667
m_133,-85.8548,11.2602,0.041114483,0.046201386,0.04531366
m_139,-83.9457,9.892,0.057093386,0.057596363,0.056015342
m_143,-86.3106,12.166,0.017966779,0.01388156,0.014746008
m_145,-86.2195,11.8944,0.024259266,0.02156741,0.019687017
m_74,-85.4938,10.1737,0.2599477,0.30197048,0.29174897
m_75,-85.5846,10.2645,0.48175243,0.5559778,0.49975032
m_76,-85.6748,10.5361,0.11085594,0.1455966,0.13035125
m_80,-85.6774,9.9032,0.31511456,0.4006594,0.36660346
m_81,-85.7665,10.4461,0.14473014,0.19096304,0.15256703
m_83,-84.2174,10.075,0.13489652,0.13611726,0.14648065
m_84,-85.4951,9.9024,0.28551134,0.4033707,0.2800068
m_94,-84.9445,10.4419,0.104339436,0.12151067,0.11746159
m_95,-84.4909,10.0771,0.2431852,0.24617884,0.2439545
m_96,-85.3118,10.0824,0.15212901,0.19504768,0.1739987
m_97,-84.2182,9.9847,0.1149869,0.11572895,0.11128668
m_98,-84.4005,9.9861,0.13705109,0.1465624,0.15043655
m_99,-83.6778,9.3476,0.03129373,0.031839903,0.03216643
s_0,-85.648,9.979,1.58,1.58,1.58
s_1,-85.59,10.286,0.563,0.563,0.563
s_10,-84.623,9.609,0.157,0.157,0.157
s_100,-84.1613,9.79912,0.09028,0.09028,0.09028
s_101,-83.8687,9.82729,0.08602,0.08602,0.08602
s_102,-85.01,10.8981,0.08407,0.08407,0.08407
s_103,-84.0706,9.93624,0.08402,0.08402,0.08402
s_107,-84.4315,10.3242,0.0784,0.0784,0.0784
s_108,-84.0967,9.91474,0.07161,0.07161,0.07161
s_11,-85.091,10.428,0.146,0.146,0.146
s_110,-84.7176,11.0311,0.06128,0.06128,0.06128
s_111,-84.0561,9.75095,0.06123,0.06123,0.06123
s_112,-83.9177,9.83255,0.0598,0.0598,0.0598
s_115,-83.9417,9.89729,0.05511,0.05511,0.05511
s_116,-84.0359,9.86917,0.05479,0.05479,0.05479
s_117,-84.1394,10.3907,0.05278,0.05278,0.05278
s_118,-84.0768,9.93359,0.05197,0.05197,0.05197
s_119,-85.6182,10.837,0.05083,0.05083,0.05083
s_12,-84.214,10.025,0.139,0.139,0.139
s_121,-83.8935,9.82064,0.04712,0.04712,0.04712
s_122,-84.1218,9.99894,0.04709,0.04709,0.04709
s_124,-84.1369,9.44267,0.04578,0.04578,0.04578
s_125,-83.6866,9.90297,0.04512,0.04512,0.04512
s_126,-84.1595,9.42838,0.04372,0.04372,0.04372
s_127,-83.3457,10.0849,0.04212,0.04212,0.04212
s_128,-82.8562,9.6235,0.04046,0.04046,0.04046
s_129,-83.9003,9.86731,0.03776,0.03776,0.03776
s_13,-85.178,10.349,0.132,0.132,0.132
s_130,-83.3357,9.17238,0.03698,0.03698,0.03698
s_132,-83.8036,9.84079,0.03363,0.03363,0.03363
