# 20120905_M7.6_Nicoya median gmf, Stations:None, gmlt:GEM, Rupture:JMA
custom_site_id,lon,lat,AbrahamsonEtAl2015SInter,ParkerEtAl2020SInter,ZhaoEtAl2006SInter
t_0,-85.13534,9.5982,0.20885114,0.16911379,0.24290831
t_1,-83.83278,9.24372,0.0578067,0.037739623,0.06933081
t_10,-83.96753,9.33237,0.09390436,0.06426638,0.106991276
t_100,-84.37177,9.5982,0.13164425,0.099833876,0.18546249
t_1000,-83.47345,9.81956,0.038363818,0.022069031,0.041961648
t_1001,-83.42854,9.81956,0.038558193,0.022039937,0.03987091
t_1002,-83.51837,9.81956,0.0376389,0.021647355,0.0441807
t_1003,-83.42854,9.86382,0.04360209,0.025268817,0.049564958
t_1004,-83.51837,9.86382,0.04440603,0.02631006,0.054848872
t_1005,-83.47345,9.86382,0.041440643,0.02410331,0.04129512
t_1006,-83.47345,9.90806,0.0436695,0.025485734,0.051226422
t_1007,-83.42854,9.90806,0.034429308,0.019105563,0.03860918
t_1008,-82.93446,9.5982,0.0331108,0.016581664,0.030488092
t_1009,-82.97938,9.5982,0.028852912,0.014338855,0.025343945
t_101,-84.28194,9.5982,0.124813125,0.09228283,0.16353306
t_1010,-82.88955,9.64248,0.026044458,0.012411598,0.02291557
t_1011,-82.97938,9.64248,0.028581128,0.014164325,0.025216576
t_1012,-82.93446,9.64248,0.02879532,0.014122628,0.03033994
t_1013,-82.93446,9.68676,0.031099865,0.015403636,0.030158378
t_1014,-82.88955,9.68676,0.02884197,0.013957864,0.028760605
t_1015,-82.97938,9.68676,0.032370634,0.016319366,0.031636015
t_1016,-82.93446,9.73103,0.027353944,0.013259424,0.023720624
t_1017,-82.88955,9.73103,0.031057348,0.015161246,0.028563052
t_1018,-82.66497,9.64248,0.02287383,0.010022054,0.022914978
t_1019,-82.84463,9.68676,0.029330244,0.0140526695,0.027437065
t_102,-84.32685,9.5982,0.12608203,0.094692156,0.17422125
t_1020,-82.79972,9.68676,0.030169483,0.014328553,0.02618371
t_1021,-82.7548,9.68676,0.02428173,0.011009631,0.024995675
t_1022,-82.7548,9.73103,0.024176389,0.010935098,0.024839086
t_1023,-82.79972,9.73103,0.024965014,0.011495452,0.026014674
t_1024,-82.84463,9.73103,0.030494787,0.0146637745,0.027254421
t_1025,-82.79972,9.7753,0.024835201,0.011402843,0.02582065
t_1026,-82.84463,9.7753,0.025652116,0.011987992,0.02704489
t_1027,-82.97938,9.73103,0.031395417,0.015732933,0.031404153
t_1028,-82.88955,9.7753,0.038044855,0.019066226,0.028649969
t_1029,-82.93446,9.7753,0.02806333,0.013634049,0.029699376
t_103,-84.28194,9.64248,0.111489944,0.08273188,0.15973544
t_1030,-82.97938,9.7753,0.032119438,0.016110497,0.031138638
t_1031,-82.88955,9.81956,0.026340578,0.012485325,0.028082328
t_1032,-82.97938,9.81956,0.03374574,0.016990429,0.030841025
t_1033,-82.93446,9.81956,0.030615963,0.015034292,0.029424459
t_1034,-82.88955,9.86382,0.026154637,0.01235064,0.027801646
t_1035,-82.97938,9.86382,0.03695725,0.018765438,0.030850379
t_1036,-82.93446,9.86382,0.027026743,0.012984611,0.029121127
t_1037,-82.84463,9.81956,0.025495488,0.011875372,0.026809579
t_1038,-83.0243,9.5982,0.030264545,0.015332571,0.033587158
t_1039,-83.11413,9.5982,0.030773154,0.015977629,0.029359
t_104,-84.32685,9.64248,0.11867419,0.088883616,0.1698408
t_1040,-83.0243,9.64248,0.030458285,0.015427617,0.03341245
t_1041,-83.06921,9.64248,0.030975595,0.015909996,0.03508412
t_1042,-83.11413,9.64248,0.028350068,0.014453808,0.029194992
t_1043,-83.06921,9.68676,0.026571995,0.013215134,0.02760785
t_1044,-83.0243,9.68676,0.03158671,0.016062854,0.033198614
t_1045,-83.11413,9.68676,0.030965583,0.016052628,0.02899452
t_1046,-83.0243,9.73103,0.037840687,0.019637704,0.032946996
t_1047,-83.11413,9.73103,0.030779328,0.015911765,0.028758945
t_1048,-83.24887,9.5982,0.037252482,0.020573124,0.043105606
t_1049,-83.20396,9.5982,0.03401826,0.018338755,0.032454327
t_105,-84.37177,9.64248,0.1369708,0.10252762,0.18040942
t_1050,-83.15904,9.64248,0.028314147,0.014554349,0.030681714
t_1051,-83.24887,9.64248,0.036695395,0.0201962,0.042835765
t_1052,-83.20396,9.64248,0.030753573,0.01623585,0.03225892
t_1053,-83.24887,9.68676,0.030384528,0.016099798,0.033671793
t_1054,-83.20396,9.68676,0.029242499,0.015244723,0.032020405
t_1055,-83.15904,9.68676,0.0308009,0.016114864,0.030463198
t_1056,-83.15904,9.73103,0.028707124,0.014757757,0.030206608
t_1057,-83.20396,9.73103,0.03283215,0.017516157,0.031740543
t_1058,-83.33871,9.64248,0.048489217,0.028041843,0.04746558
t_1059,-83.38362,9.64248,0.03986052,0.022880942,0.039609436
t_106,-84.28194,9.68676,0.10647548,0.078580044,0.12304112
t_1060,-83.33871,9.68676,0.033202473,0.018197173,0.037287097
t_1061,-83.29379,9.68676,0.033899058,0.018563254,0.035424985
t_1062,-83.38362,9.68676,0.03996311,0.022912554,0.039265774
t_1063,-83.38362,9.73103,0.036637586,0.020667499,0.038863946
t_1064,-83.33871,9.73103,0.035427477,0.01969677,0.03692085
t_1065,-83.29379,9.73103,0.03673689,0.020360153,0.03509065
t_1066,-83.33871,9.7753,0.03233675,0.017574865,0.03650413
t_1067,-83.29379,9.7753,0.031100884,0.016639195,0.03470987
t_1068,-83.24887,9.73103,0.030173382,0.015941247,0.03336613
t_1069,-83.15904,9.7753,0.027780283,0.014159388,0.02991361
t_107,-84.4616,9.64248,0.14790519,0.11313974,0.2024779
t_1070,-83.20396,9.7753,0.028827297,0.0149354115,0.031421233
t_1071,-83.24887,9.7753,0.04374647,0.024370318,0.04168091
t_1072,-83.24887,9.81956,0.03937184,0.02166706,0.041190248
t_1073,-83.20396,9.81956,0.029140348,0.015098145,0.03106472
t_1074,-83.15904,9.81956,0.027552424,0.01399129,0.02958619
t_1075,-83.24887,9.86382,0.030198134,0.015865697,0.03220268
t_1076,-83.20396,9.86382,0.035354447,0.018937059,0.038721394
t_1077,-83.15904,9.86382,0.028944505,0.014836043,0.02922636
t_1078,-83.06921,9.73103,0.02831086,0.014268345,0.027391298
t_1079,-83.06921,9.7753,0.028122688,0.014128526,0.027143646
t_108,-84.50652,9.64248,0.14531542,0.11229372,0.16920817
t_1080,-83.11413,9.7753,0.026788004,0.013429525,0.028489737
t_1081,-83.0243,9.7753,0.031406116,0.015893951,0.03265905
t_1082,-83.06921,9.81956,0.032374244,0.01660726,0.033915717
t_1083,-83.0243,9.81956,0.027859125,0.013794967,0.02561549
t_1084,-83.11413,9.81956,0.028353145,0.014376007,0.028188657
t_1085,-83.06921,9.86382,0.033660997,0.017308515,0.033530496
t_1086,-83.0243,9.86382,0.0313489,0.015778564,0.03198117
t_1087,-83.11413,9.86382,0.032788385,0.01699682,0.035166763
t_1088,-83.38362,9.7753,0.033644978,0.018571801,0.038407218
t_1089,-83.33871,9.81956,0.038497,0.021595549,0.04549654
t_109,-84.41668,9.64248,0.14707859,0.1103545,0.19133797
t_1090,-83.29379,9.81956,0.030808195,0.016418537,0.034285545
t_1091,-83.38362,9.81956,0.033296093,0.018305318,0.03789937
t_1092,-83.29379,9.86382,0.030487297,0.016177041,0.033820618
t_1093,-83.33871,9.86382,0.031667877,0.01706769,0.035532556
t_1094,-83.38362,9.86382,0.03390562,0.018677348,0.037344247
t_1095,-83.29379,9.90806,0.030528067,0.01615984,0.033318527
t_1096,-83.38362,9.90806,0.032503325,0.017701447,0.036746252
t_1097,-83.33871,9.90806,0.031933147,0.017196564,0.03498495
t_1098,-83.06921,9.90806,0.03549148,0.01830828,0.033112373
t_1099,-83.11413,9.90806,0.030341277,0.015494146,0.027498333
t_11,-83.83278,9.33237,0.08343257,0.055261772,0.09006346
t_110,-84.4616,9.68676,0.14227633,0.108331665,0.19491592
t_1100,-83.0243,9.90806,0.038800716,0.019993784,0.031944606
t_1101,-83.0243,9.95231,0.040250704,0.0207879,0.031525128
t_1102,-83.11413,9.95231,0.03796848,0.019898599,0.034227002
t_1103,-83.06921,9.95231,0.03564918,0.018335244,0.032663386
t_1104,-83.0243,9.99654,0.028089575,0.013764673,0.030738931
t_1105,-83.11413,9.99654,0.042360708,0.022414792,0.034083504
t_1106,-83.06921,9.99654,0.03557328,0.018223207,0.032186247
t_1107,-83.11413,10.04078,0.029672906,0.01494067,0.033166703
t_1108,-83.20396,9.90806,0.03748668,0.020156136,0.038186576
t_1109,-83.24887,9.90806,0.03629385,0.019659275,0.0400702
t_111,-84.41668,9.68676,0.12930664,0.09802874,0.18470445
t_1110,-83.15904,9.90806,0.030692061,0.01586802,0.028836515
t_1111,-83.24887,9.95231,0.040091794,0.021875896,0.039447967
t_1112,-83.15904,9.95231,0.03406848,0.017837977,0.03587525
t_1113,-83.20396,9.95231,0.03297623,0.017373633,0.03761401
t_1114,-83.15904,9.99654,0.035855006,0.018819682,0.0353159
t_1115,-83.24887,9.99654,0.03362704,0.017889475,0.038789608
t_1116,-83.20396,9.99654,0.03669949,0.019537395,0.037007477
t_1117,-83.20396,10.04078,0.045254078,0.024549128,0.03677229
t_1118,-83.33871,9.95231,0.038728412,0.021530401,0.043426964
t_1119,-83.38362,9.95231,0.03364371,0.018429307,0.036109257
t_112,-84.50652,9.68676,0.14929628,0.114441484,0.20503455
t_1120,-83.29379,9.95231,0.033195075,0.017855985,0.032782257
t_1121,-83.29379,9.99654,0.04120075,0.02270329,0.04066834
t_1122,-83.33871,9.99654,0.038732238,0.021447001,0.042648803
t_1123,-83.38362,9.99654,0.037573017,0.020934049,0.044736296
t_1124,-83.38362,10.04078,0.036809634,0.020365411,0.043850586
t_1125,-83.33871,10.04078,0.04920611,0.02772211,0.04229692
t_1126,-83.29379,10.04078,0.04860586,0.027103437,0.040359937
t_1127,-83.38362,10.085,0.04151001,0.02318546,0.042932514
t_1128,-83.15904,10.04078,0.04343445,0.023208339,0.035111442
t_1129,-83.24887,10.04078,0.04642221,0.02550096,0.03851993
t_113,-84.50652,9.73103,0.15820928,0.116173625,0.19586681
t_1130,-83.24887,10.085,0.04702889,0.025791714,0.037792496
t_1131,-83.15904,10.085,0.030286755,0.0154007375,0.034113035
t_1132,-83.20396,10.085,0.042500094,0.022779793,0.036100414
t_1133,-83.15904,10.12922,0.029873608,0.015090848,0.033475816
t_1134,-83.24887,10.12922,0.044462387,0.024096753,0.037039872
t_1135,-83.20396,10.12922,0.030871581,0.015841067,0.035017036
t_1136,-83.24887,10.17343,0.04501463,0.02433497,0.03626599
t_1137,-83.74295,9.7753,0.05254478,0.033326767,0.058625452
t_1138,-83.69803,9.7753,0.060947366,0.038777538,0.070083424
t_1139,-83.74295,9.81956,0.048889067,0.03048093,0.057515513
t_114,-84.4616,9.73103,0.124181494,0.09395824,0.14794207
t_1140,-83.69803,9.81956,0.05340221,0.03360888,0.068820335
t_1141,-83.78786,9.81956,0.048938148,0.030562518,0.06070153
t_1142,-83.74295,9.86382,0.056820754,0.0361599,0.07109594
t_1143,-83.69803,9.86382,0.04394411,0.026594613,0.05343516
t_1144,-83.78786,9.86382,0.05688242,0.036522888,0.07495386
t_1145,-83.78786,9.90806,0.052022222,0.03290142,0.057970393
t_1146,-83.69803,9.90806,0.04533921,0.02762664,0.052284814
t_1147,-83.51837,9.90806,0.0379852,0.021818837,0.042663783
t_1148,-83.47345,9.95231,0.044740763,0.026070455,0.050266642
t_1149,-83.51837,9.95231,0.037251055,0.021253692,0.041831605
t_115,-84.41668,9.73103,0.11926981,0.089683235,0.14060092
t_1150,-83.42854,9.95231,0.03344664,0.01840471,0.03791368
t_1151,-83.42854,9.99654,0.03733144,0.020969976,0.037181925
t_1152,-83.47345,9.99654,0.040308084,0.023112014,0.04925849
t_1153,-83.51837,9.99654,0.03640845,0.020611798,0.040959034
t_1154,-83.51837,10.04078,0.03697543,0.020980027,0.04005166
t_1155,-83.42854,10.04078,0.04154837,0.023574203,0.04597376
t_1156,-83.47345,10.04078,0.036745038,0.020680357,0.038188305
t_1157,-83.6082,9.90806,0.041387804,0.024488067,0.04720286
