# 19881016_M5.88_Elia median gmf, Stations:None, gmlt:GEM, Rupture:EFEHR
custom_site_id,lon,lat,"BCHydroESHM20SInter
faba_taper_model = ""SFunc""
a = -100.00
b = 100.00","BCHydroESHM20SInter
sigma_mu_epsilon = -1.355630
faba_taper_model = ""SFunc""
a = -100.00
b = 100.00","BCHydroESHM20SInter
sigma_mu_epsilon = 1.355630
faba_taper_model = ""SFunc""
a = -100.00
b = 100.00","BCHydroESHM20SInter
theta_6_adjustment = -0.001500
faba_taper_model = ""SFunc""
a = -100.00
b = 100.00","BCHydroESHM20SInter
theta_6_adjustment = 0.001500
faba_taper_model = ""SFunc""
a = -100.00
b = 100.00"
t_0,21.029020000000003,38.50107,0.009073631,0.007091482,0.011609813,0.009073631,0.009073631
t_1,21.101730000000003,38.43494,0.010136482,0.007922151,0.0129697425,0.010136482,0.010136482
t_10,20.88336000000001,38.63319,0.0060213213,0.004705954,0.0077043483,0.0060213213,0.0060213213
t_100,20.86652000000001,39.31397,0.0013577787,0.0010611698,0.0017372931,0.0013577787,0.0013577787
t_1000,23.755799999999994,38.20062,0.0001658391,0.00012961129,0.000212193,0.0001658391,0.0001658391
t_1001,22.74911,37.99101,0.0014283984,0.0011163625,0.0018276519,0.0014283984,0.0014283984
t_1002,22.671099999999996,37.99622,0.0013298607,0.0010393505,0.0017015717,0.0013298607,0.0013298607
t_1003,22.713390000000004,38.02449,0.0012820947,0.001002019,0.0016404546,0.0012820947,0.0012820947
t_1004,22.677660000000003,38.05795,0.0014033903,0.0010968174,0.0017956537,0.0014033903,0.0014033903
t_1005,22.593079999999986,38.00139,0.0014935504,0.001167282,0.0019110146,0.0014935504,0.0014935504
t_1006,22.515050000000002,38.00653,0.0015910494,0.0012434821,0.0020357654,0.0015910494,0.0015910494
t_1007,22.63535999999999,38.02968,0.001259923,0.0009846907,0.0016120856,0.001259923,0.001259923
t_1008,22.55731,38.03484,0.0013358543,0.0010440348,0.0017092406,0.0013358543,0.0013358543
t_1009,22.47926000000001,38.03996,0.0018121547,0.0014162867,0.0023186724,0.0018121547,0.0018121547
