ID_1,NAME_1,FATALITIES,FATALITIES_GROUND_SHAKING,FATALITIES_ORIGINAL,INJURIES,MISSING,SURVIVED,INJURIES_LIGHT,INJURIES_SEVERE,DISPLACED_POPULATION,AFFECTED_POPULATION,CAUSE_OF_INJURY/DEATH,COMMENTS,REFERENCE
35533022B6259730729674,Fars,2150,2150,2132,433,18,5692,,,,,,,Kuwata_et_al_2005
35533022B31104615707077,Gilan,1166,1166,1127,692,39,6376,,,,,,,Kuwata_et_al_2005
35533022B55463835543913,Hormozgan,1575,1575,1566,758,9,7078,,,,,,,Kuwata_et_al_2005
35533022B37008061952406,Isfahan ,961,961,956,864,5,2879,,,,,,,Kuwata_et_al_2005
35533022B811098048381,Khorasan,2205,2205,2180,726,25,6439,,,,,,,Kuwata_et_al_2005
35533022B43373017713126,Markazi,3419,3419,3403,749,16,2005,,,,,,,Kuwata_et_al_2005
35533022B10120991379702,Mazandaran,673,673,659,188,14,5876,,,,,,,Kuwata_et_al_2005
35533022B57897798339025,Tehran,6270,6270,6059,2694,211,7104,,,,,,,Kuwata_et_al_2005
35533022B93788791122013,Yazd,3916,3916,3842,684,74,5236,,,,,,,Kuwata_et_al_2005
35533022B91067707197140,Sistan & Baluochestan,1148,1148,1112,578,36,13598,,,,,,,Kuwata_et_al_2005
35533022B6259730729674,Fars,2132,2132,,433,,,,,,,,,CEQID + Provincial Casualty Statistics
35533022B31104615707077,Gilan,1127,1127,,692,,,,,,,,,CEQID + Provincial Casualty Statistics
35533022B55463835543913,Hormozgan,1566,1566,,758,,,,,,,,,CEQID + Provincial Casualty Statistics
35533022B37008061952406,Isfahan ,956,956,,864,,,,,,,,,CEQID + Provincial Casualty Statistics
35533022B811098048381,Khorasan,2180,2180,,726,,,,,,,,,CEQID + Provincial Casualty Statistics
35533022B43373017713126,Markazi,3403,3403,,749,,,,,,,,,CEQID + Provincial Casualty Statistics
35533022B10120991379702,Mazandaran,659,659,,188,,,,,,,,,CEQID + Provincial Casualty Statistics
35533022B57897798339025,Tehran,6059,6059,,2694,,,,,,,,,CEQID + Provincial Casualty Statistics
35533022B93788791122013,Yazd,3842,3842,,684,,,,,,,,,CEQID + Provincial Casualty Statistics
35533022B91067707197140,Sistan & Baluochestan,1112,1112,,578,,,,,,,,,CEQID + Provincial Casualty Statistics
