# 20090930_M7.6_Padang median gmf, Stations:None, gmlt:GEM, Rupture:GCMT
custom_site_id,lon,lat,AbrahamsonEtAl2015SSlab,KuehnEtAl2020SSlab,ParkerEtAl2020SSlab,ZhaoEtAl2006SSlab
t_0,97.98054000000002,2.69259,0.025711445,0.023938257,0.020510469,0.0064807804
t_1,97.80087000000003,2.69259,0.023328774,0.02154875,0.018654399,0.006134037
t_10,97.71104000000003,2.78232,0.025562871,0.024321273,0.02041712,0.0058448315
t_100,99.05851999999999,2.60285,0.020017138,0.017009646,0.015769877,0.007494455
t_1000,99.59751,0.98673,0.08364521,0.09743914,0.0973163,0.06823577
t_1001,99.50767000000002,0.98673,0.095554955,0.113523886,0.10307917,0.06600801
t_1002,99.32801,0.98673,0.075452015,0.082016006,0.083583236,0.048964817
t_1003,99.23818,1.07655,0.07105393,0.0764436,0.0764207,0.05350626
t_1004,98.96868,1.07655,0.08289899,0.09444951,0.08329038,0.049210876
t_1005,99.50767000000002,1.07655,0.07609606,0.085784435,0.0853043,0.05893063
t_1006,99.14835,1.07655,0.092076465,0.10735344,0.08981658,0.052406795
t_1007,99.32801,1.07655,0.06345114,0.06665002,0.06802339,0.043762185
t_1008,99.05851999999999,1.07655,0.07294463,0.07931717,0.07700198,0.050223235
t_1009,99.41784000000001,1.07655,0.071900256,0.07872355,0.07941402,0.04519361
t_101,99.23818,2.60285,0.025653541,0.023513582,0.021426717,0.0099621285
t_1010,99.59751,1.07655,0.068919554,0.07722195,0.07927138,0.048230678
t_1011,102.29245000000003,0.26813,0.048329428,0.07978873,0.067777954,0.03526733
t_1012,102.11279000000002,0.26813,0.051303387,0.086956546,0.07610601,0.04318124
t_1013,102.38227999999998,0.26813,0.04773539,0.07804749,0.064899676,0.0319078
t_1014,102.20262000000002,0.26813,0.052436635,0.0884764,0.07381164,0.039010152
t_1015,101.93313,0.26813,0.058119915,0.10220185,0.0887768,0.053010244
t_1016,102.47210999999999,0.35796,0.044314865,0.07073964,0.059040666,0.027790489
t_1017,101.93313,0.35796,0.057017084,0.09930784,0.08574931,0.050265767
