FIELD,DESCRIPTION
Year,2016
Country,Tanzania
Region,Africa
Event Name,Bukoba 2016
Local Date,10/09/2016
Local Time,15:27:33
Latitude (decimal degrees),-1.0355
Longitude (decimal degrees),31.6181
Depth (km),40
Mw,5.9
Max Intensity (MMI),VII
Fault mechanism,Strike-slip
Tectonic region type,Cratonic
Fatalities,21-23
Injured,~440
Displaced population,590-10000
Affected population,~139161
Affected units,
Damaged units,1125-6281 
Collapsed units,118-7500 
Economic losses,458000 M USD
Insured losses,
Earthquake-triggered effects,
USGS event ID,us10006nkx
Wikipedia page,https://en.wikipedia.org/wiki/2016 Tanzania earthquake
