Rupture,Country,Event,strike,dip,longitude,latitude,depth,rake,mag,geometry,Reference
../Albania/20191126_M6.4_Albania/OpenQuake_gmfs/earthquake_rupture_model_ESM.xml,Albania,20191126_M6.4_Albania,142.96641426800045,68.99908921436833,19.521,41.4,22.1,79.0,6.4,"POLYGON((19.46799 41.48035 17.27917,19.6093 41.33964 17.27917,19.57388 41.31963 26.92083,19.43253 41.4603 26.92083,19.46799 41.48035 17.27917))",ESM
../Albania/20191126_M6.4_Albania/OpenQuake_gmfs/earthquake_rupture_model_Matrakuetal2023.xml,Albania,20191126_M6.4_Albania,160.00328963783477,40.00055455673067,19.5256,41.5138,15.0,70.0,6.38,"POLYGON((19.53024 41.60633 11.74285,19.60849 41.44512 11.74285,19.52097 41.42127 18.25715,19.44253 41.58242 18.25715,19.53024 41.60633 11.74285))",Matrakuetal2023
../Albania/20191126_M6.4_Albania/Rupture/earthquake_rupture_model_EFEHR.xml,Albania,20191126_M6.4_Albania,140.96385431286336,64.9991360664526,19.44,41.46,38.0,80.0,6.4,"POLYGON((19.38632 41.54079 33.32,19.53424 41.40386 33.32,19.49355 41.37918 42.68,19.3456 41.51606 42.68,19.38632 41.54079 33.32))",EFEHR
../Albania/20191126_M6.4_Albania/Rupture/earthquake_rupture_model_EMSC.xml,Albania,20191126_M6.4_Albania,154.98315725541306,72.00188303889378,19.442,41.459,25.0,85.0,6.3,"POLYGON((19.4143 41.53436 20.53135,19.50119 41.39465 20.53135,19.46964 41.38363 29.46865,19.38269 41.52332 29.46865,19.4143 41.53436 20.53135))",EMSC
../Albania/20191126_M6.4_Albania/Rupture/earthquake_rupture_model_ESM.xml,Albania,20191126_M6.4_Albania,142.96641426800045,68.99908921436833,19.521,41.4,22.1,79.0,6.4,"POLYGON((19.46799 41.48035 17.27917,19.6093 41.33964 17.27917,19.57388 41.31963 26.92083,19.43253 41.4603 26.92083,19.46799 41.48035 17.27917))",ESM
../Albania/20191126_M6.4_Albania/Rupture/earthquake_rupture_model_GCMT.xml,Albania,20191126_M6.4_Albania,144.96902244739726,67.99984792227474,19.45,41.39,24.1,79.0,6.4,"POLYGON((19.40159 41.47212 19.3122,19.53625 41.32779 19.3122,19.49829 41.30786 28.8878,19.36358 41.45214 28.8878,19.40159 41.47212 19.3122))",GCMT
../Albania/20191126_M6.4_Albania/Rupture/earthquake_rupture_model_Matrakuetal2023.xml,Albania,20191126_M6.4_Albania,160.00328963783477,40.00055455673067,19.5256,41.5138,15.0,70.0,6.38,"POLYGON((19.53024 41.60633 11.74285,19.60849 41.44512 11.74285,19.52097 41.42127 18.25715,19.44253 41.58242 18.25715,19.53024 41.60633 11.74285))",Matrakuetal2023
../Albania/20191126_M6.4_Albania/Rupture/earthquake_rupture_model_USGS.xml,Albania,20191126_M6.4_Albania,155.98661262960604,62.99839332847564,19.5256,41.5138,22.0,89.0,6.4,"POLYGON((19.50345 41.60284 17.39901,19.59908 41.44189 17.39901,19.54769 41.42476 26.60099,19.45195 41.58567 26.60099,19.50345 41.60284 17.39901))",USGS
../Algeria/20030521_M6.8_Boumerdes/Rupture/earthquake_rupture_model_Belabbes2009.xml,Algeria,20030521_M6.8_Boumerdes,64.8805221784886,40.000633842884696,3.65,36.83,8.0,90.0,6.8,"POLYGON((3.45249 36.81336 3.15786,3.79296 36.94046 3.15786,3.8476 36.84631 12.84214,3.50745 36.71937 12.84214,3.45249 36.81336 3.15786))",Belabbes2009
../Algeria/20030521_M6.8_Boumerdes/Rupture/earthquake_rupture_model_USGS.xml,Algeria,20030521_M6.8_Boumerdes,53.155955211988896,48.38367372045534,3.73852,36.89657,7.5,90.0,6.8,"POLYGON((3.4227 36.78431 0.0,3.96618 37.10784 0.0,4.05314 37.00588 15.0,3.51207 36.68823 15.0,3.4227 36.78431 0.0))",USGS
../Australia/DRAFT_19891227_M5.9_Newcastle/Rupture/earthquake_rupture_model_AUS.xml,Australia,DRAFT_19891227_M5.9_Newcastle,104.01197490565977,31.999121654576687,151.61,-32.95,11.5,35.0,5.438,"POLYGON((151.5827 -32.92421 10.14656,151.64853 -32.93798 10.14656,151.63732 -32.97579 12.85344,151.57146 -32.96201 12.85344,151.5827 -32.92421 10.14656))",AUS
../Australia/DRAFT_19891227_M5.9_Newcastle/Rupture/earthquake_rupture_model_Jackson_And_McKenzie_2022.xml,Australia,DRAFT_19891227_M5.9_Newcastle,134.9968676184302,45.00740954494212,151.61,-32.93,11.0,90.0,5.2,"POLYGON((151.60397 -32.90998 9.82387,151.63386 -32.93506 9.82387,151.61603 -32.95002 12.17613,151.58615 -32.92493 12.17613,151.60397 -32.90998 9.82387))",Jackson And McKenzie 2022
../Australia/DRAFT_19891227_M5.9_Newcastle/Rupture/earthquake_rupture_model_USGS.xml,Australia,DRAFT_19891227_M5.9_Newcastle,134.99831959081814,44.997910498641346,151.619,-32.967,10.0,90.0,5.4,"POLYGON((151.61024 -32.94158 8.57945,151.6493 -32.97434 8.57945,151.62776 -32.99242 11.42055,151.58871 -32.95965 11.42055,151.61024 -32.94158 8.57945))",USGS
../Botswana/20170403_M6.5_Moijabana/Rupture/earthquake_rupture_model_USGS.xml,Botswana,20170403_M6.5_Moijabana,126.02648310954203,53.00025347611397,25.1558,-22.6784,23.5,-114.0,6.5,"POLYGON((25.08695 -22.58655 18.05098,25.27178 -22.71044 18.05098,25.22475 -22.77022 28.94902,25.03988 -22.64627 28.94902,25.08695 -22.58655 18.05098))",USGS
../Chile/19600522_M9.5_Valdivia/Rupture/earthquake_rupture_model_Kanamori_and_Cipar_1974.xml,Chile,19600522_M9.5_Valdivia,11.578141900111518,10.015239854343783,-73.407,-38.143,34.0,90.0,9.5,"POLYGON((-75.88362 -43.41778 17.26444,-73.26483 -32.5467 17.26444,-71.26648 -32.82326 50.73556,-73.57287 -43.7391 50.73556,-75.88362 -43.41778 17.26444))",Kanamori and Cipar 1974
