STATION_ID,STATION_NAME,LATITUDE,LONGITUDE,STATION_TYPE,REFERENCES,PGA_VALUE,PGA_LN_SIGMA,PGA_VALUE_1,PGA_VALUE_2
Abbar,Abbar,36.92,48.97,seismic,Sarkar_et_al_2003,0.41,0,0.41,0.404
Abhar,Abhar,36.14,49.22,seismic,Sarkar_et_al_2003,0.188,0,0.127,0.188
Ardebil,Ardebil,38.26,48.28,seismic,Sarkar_et_al_2003,0.03,0,0.03,0.028
Gachsar,Gachsar,36.11,51.31,seismic,Sarkar_et_al_2003,0.098,0,0.063,0.098
Ghazvin,Ghazvin,36.27,50.01,seismic,Sarkar_et_al_2003,0.182,0,0.131,0.182
Kahrizak,Kahrizak,35.51,51.36,seismic,Sarkar_et_al_2003,0.046,0,0.046,0.035
Lahijan,Lahijan,37.21,50.03,seismic,Sarkar_et_al_2003,0.174,0,0.111,0.174
Roudsar,Roudsar,37.13,50.3,seismic,Sarkar_et_al_2003,0.091,0,0.091,0.083
Tonkabon,Tonkabon,36.81,50.87,seismic,Sarkar_et_al_2003,0.13,0,0.13,0.085
Zanjan,Zanjan,36.66,48.57,seismic,Sarkar_et_al_2003,0.124,0,0.124,0.059
