# 19890310_M6.2_Salima median gmf, Stations:None, gmlt:GEM, Rupture:USGS
custom_site_id,lon,lat,AkkarEtAlRjb2014,AtkinsonBoore2006Modified2011,ChiouYoungs2014,PezeshkEtAl2011NEHRPBC
t_0,34.85533,-13.57269,0.04460673,0.056283113,0.08281605,0.048465062
t_1,34.76549,-13.57269,0.05439867,0.062458087,0.086481966,0.06413401
t_10,34.94516,-15.83167,0.0033516337,0.010959937,0.005208848,0.008572103
t_100,34.40617,-14.44428,0.016554063,0.02852501,0.03974986,0.023847815
t_101,33.68752,-14.27023,0.012086048,0.030312052,0.029958764,0.021688491
t_102,34.22651,-14.27023,0.020445645,0.028498748,0.047540322,0.025042776
t_103,34.40617,-14.27023,0.021118598,0.029127996,0.04701873,0.028751852
t_104,33.86718,-14.27023,0.015788186,0.03391058,0.03965495,0.02281533
t_105,34.04684,-14.27023,0.019828033,0.03586632,0.04914702,0.02397696
t_106,34.13667,-14.09604,0.025320554,0.03548991,0.056783177,0.031046733
t_107,33.86718,-14.09604,0.017737828,0.031633683,0.04344155,0.023731122
t_108,34.22651,-14.09604,0.030654738,0.04345845,0.06678149,0.036794715
t_109,33.68752,-14.09604,0.013593479,0.030594932,0.03372891,0.022341644
t_11,35.12482,-15.65875,0.003887524,0.012834174,0.0065648435,0.009451837
t_110,34.31634,-14.09604,0.031055395,0.043089524,0.06370257,0.04275995
t_111,34.04684,-14.09604,0.022703882,0.031728584,0.05290494,0.026041469
t_112,34.40617,-14.09604,0.031812567,0.04353991,0.062086236,0.047797393
t_113,34.496,-14.09604,0.045623,0.06669296,0.09346631,0.050353188
t_114,34.58583,-14.09604,0.035349403,0.048515055,0.06934269,0.049407378
t_115,33.50785,-14.09604,0.011645072,0.032883897,0.029117007,0.02114965
t_116,34.04684,-14.0089,0.025926752,0.03670339,0.05932654,0.02964023
t_117,34.22651,-14.0089,0.03182375,0.04392968,0.063998185,0.045063745
t_118,34.31634,-14.0089,0.04459538,0.061563708,0.08644795,0.054830376
t_119,34.40617,-14.0089,0.056372087,0.07745363,0.10431243,0.063921236
t_12,35.30448,-15.65875,0.004592479,0.0154440105,0.007908148,0.009031924
t_120,34.496,-14.0089,0.064252324,0.09077001,0.11722281,0.06887623
t_121,34.58583,-14.0089,0.049950168,0.065167695,0.08729999,0.06701359
t_122,34.13667,-14.0089,0.030816143,0.043807484,0.06739966,0.036510486
t_123,34.13667,-13.92173,0.030448686,0.042268436,0.062734164,0.041986205
t_124,34.04684,-13.92173,0.022751873,0.03142949,0.048827074,0.0330681
t_125,33.86718,-13.92173,0.020209456,0.03143542,0.048503216,0.02450523
t_126,34.58583,-13.92173,0.07787967,0.08868577,0.11134043,0.09221354
t_127,33.50785,-13.92173,0.012728011,0.033046618,0.03198583,0.021648526
t_128,33.32819,-13.92173,0.010430268,0.032981407,0.025778174,0.02050502
