STATION_ID,STATION_NAME,LATITUDE,LONGITUDE,STATION_TYPE,REFERENCES,SOIL_TYPE,PGA_VALUE,SA(0.3)_VALUE,SA(0.6)_VALUE,SA(1.0)_VALUE,PGA_LN_SIGMA,SA(0.3)_LN_SIGMA,SA(0.6)_LN_SIGMA,SA(1.0)_LN_SIGMA,PGA_VALUE_1,SA(0.3)_VALUE_1,SA(0.6)_VALUE_1,SA(1.0)_VALUE_1,PGA_VALUE_2,SA(0.3)_VALUE_2,SA(0.6)_VALUE_2,SA(1.0)_VALUE_2,PGA_VALUE_V,SA(0.3)_VALUE_V,SA(0.6)_VALUE_V,SA(1.0)_VALUE_V
CARBE,ARBELAEZ,4.253,-74.437,seismic,SGS_Recording_Stations,ROCA,0.0116890724,0.0123178756,0.0150146202,0.014838926,0,0,0,0,0.0116890724,0.0123178756,0.0150146202,0.014838926,0.0050653619,0.0055731625,0.0078468858,0.0093954997,0.003332999,0.0039859666,0.0039472994,0.0062801916
CCAL5,CALI-VIVERO NORTE DAGMA,3.4678,-76.5123,seismic,SGS_Recording_Stations,SUELO,0.0629993753,0.0826394525,0.1075955268,0.136859866,0,0,0,0,0.0322470239,0.0589277812,0.1063565479,0.1020239211,0.0629993753,0.0826394525,0.1075955268,0.136859866,0.0342102712,0.0423725754,0.0665399131,0.1135338771
CCAL6,CALI-ZOOLOGICO ,3.4513,-76.5651,seismic,SGS_Recording_Stations,SUELO,0.0209050075,0.0292047371,0.0329289822,0.0291236284,0,0,0,0,0.0184163164,0.0271745442,0.0329289822,0.0253393468,0.0209050075,0.0292047371,0.0262565358,0.0291236284,0.0184163164,0.0214308753,0.0196579026,0.0257679199
CCAL7,CALI-UNIVERSIDAD AUTONOMA ,3.3561,-76.5233,seismic,SGS_Recording_Stations,SUELO,0.0209983339,0.0382546387,0.0363015856,0.0492275251,0,0,0,0,0.0179263551,0.0332543258,0.0363015856,0.0492275251,0.0209983339,0.0382546387,0.0319926268,0.0370624893,0.0245320807,0.0252269138,0.031022222,0.0535203685
CCAL8,CALI-UNIVERSIDAD JAVERIANA,3.3512,-76.5327,seismic,SGS_Recording_Stations,SUELO,0.0228561028,0.0395229443,0.0721176733,0.0459203394,0,0,0,0,0.0193427702,0.0389760925,0.0436689075,0.042715642,0.0228561028,0.0395229443,0.0721176733,0.0459203394,0.0395381121,0.0445076969,0.0599466807,0.0614709702
CCALA,CALARCA,4.509,-75.627,seismic,SGS_Recording_Stations,ROCA,0.003019483,0.0088574651,0.0043718381,0.0047056318,0,0,0,0,0.0027326997,0.0054529411,0.0043718381,0.0047056318,0.003019483,0.0088574651,0.0040995947,0.0031638856,0.0029072,0.0059020611,0.0046259525,0.0048905061
CECAL,EMBALSE,3.884,-76.561,seismic,SGS_Recording_Stations,ROCA,0.0187604559,0.0212924099,0.0264524262,0.0536363048,0,0,0,0,0.0115092257,0.0171808756,0.0264524262,0.033034147,0.0187604559,0.0212924099,0.0209068156,0.0536363048,0.0104243115,0.0153434907,0.0201355921,0.0315484899
CFILA,FILADELFIA,5.297,-75.568,seismic,SGS_Recording_Stations,ROCA,0.0074932942,0.0080683054,0.0089521,0.00825135,0,0,0,0,0.0074932942,0.0080683054,0.0089521,0.00825135,0.0050342532,0.0062535143,0.0074088345,0.0072391415,0.0087118777,0.0113274296,0.0099667359,0.014163384
CFQNE,EMBALSE,5.47,-73.738,seismic,SGS_Recording_Stations,ROCA,0.0094691792,0.009623482,0.0095873608,0.0098800591,0,0,0,0,0.0094691792,0.009623482,0.0095873608,0.0098800591,0.0034170903,0.0038235061,0.0037855568,0.0040488765,0.0048106601,0.0047960002,0.004954056,0.0051839581
CGUAD,GUADUAS,5.067,-74.593,seismic,SGS_Recording_Stations,ROCA,0.0095435482,0.0123986983,0.0101678245,0.0101600241,0,0,0,0,0.0022101717,0.0039091938,0.00320073,0.0044654727,0.0095435482,0.0123986983,0.0101678245,0.0101600241,0.0063126239,0.0079841602,0.0070489625,0.0082491952
