STATION_ID,STATION_NAME,LATITUDE,LONGITUDE,STATION_TYPE,REFERENCES,SOIL_TYPE,PGA_VALUE,SA(0.3)_VALUE,SA(0.6)_VALUE,SA(1.0)_VALUE,PGA_LN_SIGMA,SA(0.3)_LN_SIGMA,SA(0.6)_LN_SIGMA,SA(1.0)_LN_SIGMA,PGA_VALUE_1,SA(0.3)_VALUE_1,SA(0.6)_VALUE_1,SA(1.0)_VALUE_1,PGA_VALUE_2,SA(0.3)_VALUE_2,SA(0.6)_VALUE_2,SA(1.0)_VALUE_2,PGA_VALUE_V,SA(0.3)_VALUE_V,SA(0.6)_VALUE_V,SA(1.0)_VALUE_V,VS30,MMI_VALUE,MMI_STDDEV,PGV_LN_SIGMA,PGV_VALUE,SA(3.0)_LN_SIGMA,SA(3.0)_VALUE,VS30_TYPE
CARME,ARMENIA,4.55,-75.66,seismic,SGS_Recording_Stations,SUELO,0.5933040261,1.2030023209,1.2706127946,0.2416599361,0.0,0.0,0.0,0.0,0.5933040261,1.2030023209,1.2706127946,0.2088128954,0.5485075817,1.0642117891,0.7074230531,0.2416599361,0.4917654181,0.4223550194,0.1447945464,0.2109060357,,,,,,,,
CFLAN,FILANDIA,4.686,-75.617,seismic,SGS_Recording_Stations,SUELO,0.5803628314,1.3244046071,1.2072307889,0.5016039162,0.0,0.0,0.0,0.0,0.4897744652,1.2944807117,1.0689251042,0.5016039162,0.5803628314,1.3244046071,1.2072307889,0.4326892052,0.2010862638,0.6117712852,0.3376468871,0.1044092348,,,,,,,,
CCAST,CASTA?ARES,4.792,-75.687,seismic,SGS_Recording_Stations,RELLENO,0.2200003189,0.4174846514,0.846066821,0.211546019,0.0,0.0,0.0,0.0,0.1473305297,0.2734147139,0.5232052821,0.2011065424,0.2200003189,0.4174846514,0.846066821,0.211546019,0.1045250381,0.4463354171,0.1645872765,0.0748029927,,,,,,,,
CBOG1,BOGOTA,4.641,-74.08,seismic,SGS_Recording_Stations,ROCA,0.1453191617,0.1464232296,0.1473557548,0.1469426425,0.0,0.0,0.0,0.0,0.1453191617,0.1464232296,0.1473557548,0.1469426425,0.0896322618,0.0908311158,0.090910781,0.0910222718,0.0641819898,0.0646736695,0.0653051537,0.0658579532,,,,,,,,
CMAN1,MANIZALES,5.043,-75.314,seismic,SGS_Recording_Stations,SUELO,0.1148317203,0.2582310402,0.3968920245,0.1511195404,0.0,0.0,0.0,0.0,0.1148317203,0.2069806201,0.3968920245,0.1511195404,0.086878661,0.2582310402,0.3351861276,0.1240230345,0.0599687127,0.2197977324,0.0971263154,0.0346121295,,,,,,,,
CBOCA,PEREIRA,4.7817,-75.6455,seismic,SGS_Recording_Stations,ROCA,0.0861551417,0.2636320382,0.0915109843,0.0642304964,0.0,0.0,0.0,0.0,0.0550343478,0.1164081714,0.0771524234,0.0342682461,0.0861551417,0.2636320382,0.0915109843,0.0642304964,0.0312617554,0.0572378049,0.0328294765,0.0312037079,,,,,,,,
CPENS,PENSILVANIA,5.393,-75.161,seismic,SGS_Recording_Stations,ROCA,0.0293665582,0.0968846211,0.0330750253,0.0142254306,0.0,0.0,0.0,0.0,0.0258823902,0.0968846211,0.0330750253,0.0082502521,0.0293665582,0.0557395817,0.0280223711,0.0142254306,0.0084615507,0.0176207208,0.0096106857,0.0050841003,,,,,,,,
CCALI,CALI,3.4941,-76.517,seismic,SGS_Recording_Stations,SUELO,0.0233936991,0.0654171662,0.0265853903,0.0293987779,0.0,0.0,0.0,0.0,0.0233936991,0.0654171662,0.0265853903,0.0293987779,0.0223982226,0.0431562614,0.0258189803,0.0195694783,0.0114479804,0.0259886117,0.0185926879,0.0204813587,,,,,,,,
CBUEN,BUENAVENTURA,3.8869,-77.062,seismic,SGS_Recording_Stations,SUELO,0.0219004844,0.0779723012,0.0384414331,0.0187842432,0.0,0.0,0.0,0.0,0.0219004844,0.0779723012,0.0384414331,0.0187842432,0.0149321484,0.0584687146,0.0169535064,0.0137681204,0.0089592889,0.0173521604,0.0126544367,0.0140981748,,,,,,,,
CNEIV,NEIVA,2.942,-75.276,seismic,SGS_Recording_Stations,SUELO,0.020905008,0.0868317024,0.028928194,0.0130343896,0.0,0.0,0.0,0.0,0.020905008,0.0304053799,0.028928194,0.0130343896,0.0159276249,0.0868317024,0.024885417,0.0114584748,0.013936672,0.0286143722,0.0115655762,0.0106660915,,,,,,,,
