STATION_ID,STATION_NAME,LATITUDE,LONGITUDE,STATION_TYPE,REFERENCES,SOIL_TYPE,PGA_VALUE,SA(0.3)_VALUE,SA(0.6)_VALUE,SA(1.0)_VALUE,PGA_LN_SIGMA,SA(0.3)_LN_SIGMA,SA(0.6)_LN_SIGMA,SA(1.0)_LN_SIGMA,PGA_VALUE_1,SA(0.3)_VALUE_1,SA(0.6)_VALUE_1,SA(1.0)_VALUE_1,PGA_VALUE_2,SA(0.3)_VALUE_2,SA(0.6)_VALUE_2,SA(1.0)_VALUE_2,PGA_VALUE_V,SA(0.3)_VALUE_V,SA(0.6)_VALUE_V,SA(1.0)_VALUE_V
CARME,ARMENIA,4.55,-75.66,seismic,SGS_Recording_Stations,SUELO,0.5933040261,1.2030023209,1.2706127946,0.2416599361,0,0,0,0,0.5933040261,1.2030023209,1.2706127946,0.2088128954,0.5485075817,1.0642117891,0.7074230531,0.2416599361,0.4917654181,0.4223550194,0.1447945464,0.2109060357
CANDE,ANDES,5.663,-75.897,seismic,SGS_Recording_Stations,ROCA,0.0114479804,0.0154291499,0.0080820046,0.0053668105,0,0,0,0,0.0114479804,0.0147913635,0.0077140939,0.0049440805,0.0079638124,0.0154291499,0.0080820046,0.0053668105,0.0084615507,0.0118934857,0.0102724689,0.0093245563
CARBE,ARBELAEZ,4.253,-74.437,seismic,SGS_Recording_Stations,ROCA,0.0101589162,0.0224781355,0.0165677859,0.0125497899,0,0,0,0,0.0101589162,0.0157179102,0.0150081925,0.0119441846,0.0099081028,0.0224781355,0.0165677859,0.0125497899,0.0031337093,0.0107276005,0.0062006723,0.0039956549
CBETA,EMBALSE,2.708,-75.438,seismic,SGS_Recording_Stations,ROCA,0.006839527,0.0145753389,0.0098277577,0.0116858367,0,0,0,0,0.0062533235,0.0145753389,0.0098277577,0.0116858367,0.006839527,0.0132264142,0.0067812855,0.0057233757,0.00325863,0.0076325827,0.0049135036,0.0032819085
CBOCA,PEREIRA,4.7817,-75.6455,seismic,SGS_Recording_Stations,ROCA,0.0861551417,0.2636320382,0.0915109843,0.0642304964,0,0,0,0,0.0550343478,0.1164081714,0.0771524234,0.0342682461,0.0861551417,0.2636320382,0.0915109843,0.0642304964,0.0312617554,0.0572378049,0.0328294765,0.0312037079
CBOG2,GAVIOTAS,4.601,-74.06,seismic,SGS_Recording_Stations,COLUVION,0.005737114,0.0160033615,0.0098646459,0.0070276364,0,0,0,0,0.005737114,0.0160033615,0.0064518015,0.0046953924,0.0055854597,0.0110285176,0.0098646459,0.0070276364,0.0046789341,0.0071985039,0.0057066332,0.0053336899
CBUC1,FLORIDABLANCA,7.072,-73.074,seismic,SGS_Recording_Stations,ROCA,0.0014820355,0.0020218957,0.0008578204,0.0006178026,0,0,0,0,0.0014820355,0.0020218957,0.0008578204,0.0006178026,0.0012108069,0.0009772671,0.0002465875,0.000103558,0.0022942622,0.0023745256,0.0019581258,0.0019128306
CBUEN,BUENAVENTURA,3.8869,-77.062,seismic,SGS_Recording_Stations,SUELO,0.0219004844,0.0779723012,0.0384414331,0.0187842432,0,0,0,0,0.0219004844,0.0779723012,0.0384414331,0.0187842432,0.0149321484,0.0584687146,0.0169535064,0.0137681204,0.0089592889,0.0173521604,0.0126544367,0.0140981748
CCALI,CALI,3.4941,-76.517,seismic,SGS_Recording_Stations,SUELO,0.0233936991,0.0654171662,0.0265853903,0.0293987779,0,0,0,0,0.0233936991,0.0654171662,0.0265853903,0.0293987779,0.0223982226,0.0431562614,0.0258189803,0.0195694783,0.0114479804,0.0259886117,0.0185926879,0.0204813587
CCAST,CASTA?ARES,4.792,-75.687,seismic,SGS_Recording_Stations,RELLENO,0.2200003189,0.4174846514,0.846066821,0.211546019,0,0,0,0,0.1473305297,0.2734147139,0.5232052821,0.2011065424,0.2200003189,0.4174846514,0.846066821,0.211546019,0.1045250381,0.4463354171,0.1645872765,0.0748029927
CCOLO,COLOMBIA,3.38,-74.804,seismic,SGS_Recording_Stations,SUELO,0.0159276249,0.0817675364,0.0223210128,0.0129666099,0,0,0,0,0.0159276249,0.0817675364,0.0177698161,0.0129666099,0.0159276249,0.064564621,0.0223210128,0.012574288,0.0109502418,0.0261814062,0.0134221429,0.011400485
CCUC1,CUCUTA,7.878,-72.508,seismic,SGS_Recording_Stations,ROCA,0.0093957823,0.0100810706,0.0080862591,0.0078842238,0,0,0,0,0.0012686491,0.0012885193,0.0007848536,0.0004706188,0.0093957823,0.0100810706,0.0080862591,0.0078842238,0.0037597708,0.0033947236,0.0031553065,0.0031176727
CDAGU,DAGUA,3.655,-76.705,seismic,SGS_Recording_Stations,ROCA,0.0043206989,0.0090384445,0.0052349606,0.0031358805,0,0,0,0,0.0043206989,0.007041656,0.0051344667,0.0031358805,0.0035983951,0.0090384445,0.0052349606,0.0027045859,0.0042891042,0.0090845159,0.0037290075,0.0025004705
CECAL,EMBALSE,3.884,-76.561,seismic,SGS_Recording_Stations,ROCA,0.0094434169,0.0106660455,0.009931382,0.0119022604,0,0,0,0,0.0094434169,0.0106660455,0.009931382,0.0104296119,0.0086914634,0.0095581466,0.0089253876,0.0119022604,0.0034063967,0.0054366241,0.004092865,0.0049976877
CFILA,FILADELFIA,5.297,-75.568,seismic,SGS_Recording_Stations,ROCA,0.0153793354,0.039503597,0.0363066714,0.0244260821,0,0,0,0,0.0144835034,0.039503597,0.0359175461,0.0193246995,0.0153793354,0.0296623784,0.0363066714,0.0244260821,0.0066110728,0.0151360181,0.0129138205,0.0156182101
CFLAN,FILANDIA,4.686,-75.617,seismic,SGS_Recording_Stations,SUELO,0.5803628314,1.3244046071,1.2072307889,0.5016039162,0,0,0,0,0.4897744652,1.2944807117,1.0689251042,0.5016039162,0.5803628314,1.3244046071,1.2072307889,0.4326892052,0.2010862638,0.6117712852,0.3376468871,0.1044092348
CGARZ,GARZON,2.193,-75.608,seismic,SGS_Recording_Stations,SUELO,0.0109502418,0.0226193111,0.0119464854,0.0123921457,0,0,0,0,0.0059728595,0.0150159077,0.0099026367,0.0118421516,0.0109502418,0.0226193111,0.0119464854,0.0123921457,0.0059728595,0.0116233529,0.0098518807,0.0127187316
CGUAD,GUADUAS,5.067,-74.593,seismic,SGS_Recording_Stations,ROCA,0.017831571,0.0348628296,0.0237207394,0.0237128855,0,0,0,0,0.017831571,0.0348628296,0.0237207394,0.0237128855,0.0104952783,0.0199930728,0.0127767769,0.0125413749,0.0063471356,0.0095544084,0.0090471031,0.0064236402
CNEIV,NEIVA,2.942,-75.276,seismic,SGS_Recording_Stations,SUELO,0.020905008,0.0868317024,0.028928194,0.0130343896,0,0,0,0,0.020905008,0.0304053799,0.028928194,0.0130343896,0.0159276249,0.0868317024,0.024885417,0.0114584748,0.013936672,0.0286143722,0.0115655762,0.0106660915
CNORC,NORCASIA,5.56,-74.89,seismic,SGS_Recording_Stations,ROCA,0.0079638124,0.0221887944,0.0048185318,0.0048566143,0,0,0,0,0.0079638124,0.0221887944,0.0048185318,0.0048566143,0.0079638124,0.0129611362,0.0042508003,0.0045542684,0.0159276249,0.0231393678,0.0156630479,0.0177360632
CPENS,PENSILVANIA,5.393,-75.161,seismic,SGS_Recording_Stations,ROCA,0.0293665582,0.0968846211,0.0330750253,0.0142254306,0,0,0,0,0.0258823902,0.0968846211,0.0330750253,0.0082502521,0.0293665582,0.0557395817,0.0280223711,0.0142254306,0.0084615507,0.0176207208,0.0096106857,0.0050841003
CPLAT,LA PLATA,2.387,-75.91,seismic,SGS_Recording_Stations,SUELO,0.0084843963,0.0208964601,0.0103790618,0.0108021907,0,0,0,0,0.0084843963,0.0208964601,0.0103790618,0.0108021907,0.0055874039,0.0164934278,0.0095032045,0.0090582615,0.0051927127,0.0098961486,0.0060641238,0.0046853993
CPOP2,POPAYAN,2.459,-76.596,seismic,SGS_Recording_Stations,SUELO,0.0089592889,0.0128638124,0.013370442,0.0205476305,0,0,0,0,0.0089592889,0.0126221555,0.013370442,0.019760599,0.0059728595,0.0128638124,0.012823537,0.0205476305,0.006968336,0.0087655874,0.0093655647,0.01347591
CPOP4,POPAYAN,2.455,-76.602,seismic,SGS_Recording_Stations,SUELO,0.0064705978,0.0099548618,0.0138924951,0.0176388169,0,0,0,0,0.0054751209,0.0099548618,0.0100083246,0.0128054972,0.0064705978,0.0097856058,0.0138924951,0.0176388169,0.0004977382,4.919694473277135e-05,2.4334940860736926e-05,1.600240387596916e-05
CPRAD,EMBALSE,3.755,-74.891,seismic,SGS_Recording_Stations,ROCA,0.0025518809,0.0055500034,0.0062510558,0.0031337293,0,0,0,0,0.0020643498,0.0050428263,0.005617703,0.0026249083,0.0025518809,0.0055500034,0.0062510558,0.0031337293,0.001936999,0.0040215625,0.00525884,0.003447389
CRIOS,RIOSUCIO,5.423,-75.719,seismic,SGS_Recording_Stations,ROCA,0.0078986789,0.01968089,0.0166622745,0.0150867896,0,0,0,0,0.007191443,0.0171557058,0.0141980772,0.012401989,0.0078986789,0.01968089,0.0166622745,0.0150867896,0.0068973692,0.0250149081,0.0154942393,0.012130631
CSONS,SONSON,5.687,-75.329,seismic,SGS_Recording_Stations,ROCA,0.0079220102,0.0185360846,0.0076706858,0.0077241656,0,0,0,0,0.0079220102,0.0185360846,0.0071642645,0.0052335454,0.0072711592,0.016418421,0.0076706858,0.0077241656,0.0028726891,0.0068713336,0.0049533351,0.0039554667
CTOCH,EL TOCHE,3.621,-76.088,seismic,SGS_Recording_Stations,ROCA,0.0040378047,0.0085232139,0.0041577721,0.0042681851,0,0,0,0,0.0034569476,0.0078964107,0.0041182959,0.0042681851,0.0040378047,0.0085232139,0.0041577721,0.0029339374,0.0028153321,0.0074710706,0.0031422564,0.0023347726
CTUTU,TUTUNENDO,5.746,-76.546,seismic,SGS_Recording_Stations,ROCA,0.0129411955,0.0196528469,0.0152180339,0.0184438873,0,0,0,0,0.0079638124,0.0191676665,0.0106719626,0.0141133186,0.0129411955,0.0196528469,0.0152180339,0.0184438873,0.0119457191,0.0150480609,0.0137651856,0.017400164
CVHER,VILLAHERMOSA,5.032,-75.12,seismic,SGS_Recording_Stations,ROCA,0.009019076,0.0141514381,0.010322764,0.0073685401,0,0,0,0,0.0061677741,0.0118956021,0.0078501671,0.0035299326,0.009019076,0.0141514381,0.010322764,0.0073685401,0.0127462801,0.021678509,0.0075099548,0.0041076967
CVIL1,VILLAVICENCIO,4.174,-73.639,seismic,SGS_Recording_Stations,ROCA,0.0102916135,0.0185209073,0.0114818698,0.0114258333,0,0,0,0,0.0102916135,0.0185209073,0.0114818698,0.0114258333,0.0032357847,0.0109709703,0.0050369203,0.0041417784,0.0088139531,0.0112873043,0.0095006798,0.0108903564
CFLOR,FLORENCIA,1.585,-75.656,seismic,SGS_Recording_Stations,ROCA,0.0060812534,0.0139266142,0.0077454001,0.0086531469,0,0,0,0,0.0060812534,0.0139266142,0.0077454001,0.0086531469,0.0044261766,0.0081995235,0.0046771703,0.0053111213,0.0071054084,0.0135585533,0.0068070552,0.0079597702
CSJGU,SAN JOSE DEL GUAVIARE,2.545,-72.627,seismic,SGS_Recording_Stations,SUELO,0.0094570271,0.0186409306,0.0096639753,0.0075137437,0,0,0,0,0.0094570271,0.0186409306,0.0096639753,0.0075137437,0.0054751209,0.0130308145,0.0048302065,0.0036616378,0.0014932147,0.0035537606,0.0009476845,0.000770264
