# 20010113_M7.7_Subduction median gmf, Stations:Seismic, gmlt:MARN, Rupture:USGS
custom_site_id,lon,lat,AbrahamsonEtAl2018SSlabHigh,MontalvaEtAl2016SSlab,SiEtAl2020SSlab,ZhaoEtAl2006SSlabCascadia
s_18,-89.85012,13.91647,0.09784041,0.09532849,0.10499312,0.09787097
s_26,-89.49795,14.32681,0.07641182,0.08456557,0.08213749,0.07300207
t_0,-88.07562,13.1642,0.21040757,0.2610808,0.20592695,0.2623542
t_1,-88.03968,13.1642,0.19949001,0.24235485,0.19646674,0.24739577
t_10,-87.91392,13.1642,0.2570032,0.19634321,0.24038462,0.20991832
t_100,-87.96782,13.3216,0.13383888,0.16349174,0.13818684,0.14613175
t_1000,-88.27325,13.5837,0.18342201,0.23525304,0.19445498,0.17503351
t_1001,-88.29121,13.60116,0.16701819,0.23822354,0.17899261,0.17868571
t_1002,-88.27325,13.60116,0.21189038,0.23319106,0.21894874,0.17178167
t_1003,-88.41698,13.5837,0.28828883,0.33558398,0.30138257,0.2791294
t_1004,-88.39901,13.5837,0.27207744,0.32734,0.2849443,0.26546782
t_1005,-88.38104,13.5837,0.24051452,0.31214935,0.2522608,0.25082785
t_1006,-88.38104,13.60116,0.26080295,0.29970378,0.27327836,0.2315817
t_1007,-88.39901,13.60116,0.24471445,0.30342156,0.2575179,0.24230993
t_1008,-88.41698,13.60116,0.25709018,0.3081578,0.26986486,0.2517887
t_1009,-88.38104,13.61862,0.23056543,0.28234455,0.24375221,0.2146371
t_101,-87.94985,13.3216,0.12312655,0.1515155,0.12724012,0.138599
t_1010,-88.39901,13.61862,0.23049149,0.28510702,0.24352458,0.22247037
t_1011,-88.41698,13.61862,0.22651689,0.28392157,0.2387317,0.22902283
t_1012,-88.39901,13.63608,0.20196767,0.2651532,0.2145526,0.20559858
t_1013,-88.34511,13.5837,0.19821323,0.28000233,0.20870543,0.22207138
t_1014,-88.36308,13.60116,0.21762416,0.28592288,0.23031282,0.22037286
t_1015,-88.34511,13.60116,0.21869355,0.27850562,0.23156717,0.20920317
t_1016,-88.32715,13.60116,0.2268808,0.26892206,0.23819524,0.19842173
t_1017,-88.34511,13.61862,0.21512063,0.2687674,0.22817208,0.19732945
t_1018,-88.36308,13.61862,0.23092441,0.27700227,0.24364533,0.20611005
t_1019,-88.32715,13.61862,0.18068916,0.2534995,0.19352695,0.18862587
t_102,-87.93189,13.3216,0.11478472,0.14024808,0.11858834,0.13059881
t_1020,-88.34511,13.63608,0.19500956,0.2569844,0.20870735,0.18651854
t_1021,-88.36308,13.63608,0.18134516,0.25527838,0.19393092,0.193399
t_1022,-88.32715,13.63608,0.15046586,0.23315175,0.1613111,0.1422105
t_1023,-88.30918,13.60116,0.18162344,0.25165462,0.1939857,0.18821208
t_1024,-88.29121,13.61862,0.18158522,0.24054387,0.1945726,0.1722132
t_1025,-88.30918,13.61862,0.16043688,0.23865895,0.17222963,0.18020555
t_1026,-88.27325,13.61862,0.16917205,0.23021157,0.1821456,0.16474256
t_1027,-88.27325,13.63608,0.16256553,0.22690693,0.17624484,0.15961467
t_1028,-88.30918,13.63608,0.15791793,0.23435329,0.17062116,0.17261457
t_1029,-88.29121,13.63608,0.15195413,0.22710122,0.1647468,0.16594237
t_103,-88.02172,13.28663,0.16582106,0.20201279,0.169241,0.17939442
t_1030,-88.27325,13.65354,0.12448117,0.2044721,0.13546494,0.1224488
t_1031,-88.29121,13.65354,0.144419,0.22099987,0.15742305,0.15992637
t_1032,-88.30918,13.65354,0.12872119,0.21223281,0.13859169,0.1310887
t_1033,-88.41698,13.63608,0.21041083,0.26634216,0.22270323,0.21012653
t_1034,-88.38104,13.63608,0.21340546,0.26755285,0.2267343,0.19987705
t_1035,-88.39901,13.65354,0.17024305,0.24282621,0.18124805,0.19127358
t_1036,-88.41698,13.65354,0.20219286,0.25322,0.21462314,0.19441195
t_1037,-88.38104,13.65354,0.16849348,0.24305618,0.18022837,0.1870794
t_1038,-88.38104,13.671,0.15095189,0.22740963,0.16193007,0.1394081
t_1039,-88.39901,13.671,0.16090593,0.23171587,0.17231108,0.17907916
t_104,-88.00375,13.28663,0.15259281,0.18994795,0.15609427,0.17258112
t_1040,-88.41698,13.671,0.1718017,0.23443127,0.18347749,0.18126616
t_1041,-88.41698,13.68846,0.16024467,0.22312373,0.17195486,0.1701707
t_1042,-88.39901,13.68846,0.14395235,0.2166854,0.15457349,0.13358814
t_1043,-88.32715,13.65354,0.17747006,0.24230203,0.19162384,0.17114183
t_1044,-88.34511,13.65354,0.14781326,0.22962911,0.1587087,0.14001794
t_1045,-88.36308,13.65354,0.14951774,0.23137812,0.15963642,0.14428946
t_1046,-88.32715,13.671,0.19086038,0.2394303,0.20423609,0.16346574
t_1047,-88.34511,13.671,0.16108517,0.23331524,0.17477082,0.16797835
t_1048,-88.36308,13.671,0.14833163,0.22644936,0.15982091,0.13642155
t_1049,-88.34511,13.68846,0.14359884,0.21978326,0.1564726,0.16009668
t_105,-88.00375,13.30411,0.14613767,0.18447778,0.15014748,0.16587748
t_1050,-88.36308,13.68846,0.14338346,0.2193647,0.1554865,0.16344263
t_1051,-88.32715,13.68846,0.14294419,0.21892647,0.15642385,0.15645674
t_1052,-88.36308,13.70591,0.1663763,0.22598615,0.18071787,0.15567529
t_1053,-88.21935,13.49636,0.14676139,0.17490743,0.15154687,0.15518579
t_1054,-88.23731,13.49636,0.15021299,0.19358821,0.1561093,0.16899249
t_1055,-88.25528,13.49636,0.1531209,0.21149583,0.15902202,0.18393129
t_1056,-88.21935,13.51383,0.14573956,0.17840311,0.15172273,0.15387973
t_1057,-88.23731,13.51383,0.15275915,0.1956364,0.15950942,0.16618888
t_1058,-88.25528,13.51383,0.16538598,0.21545883,0.17258239,0.1798658
t_1059,-88.23731,13.5313,0.13313669,0.19078138,0.14020446,0.1640807
t_106,-87.98579,13.30411,0.17339276,0.18475041,0.17441167,0.15896127
t_1060,-88.25528,13.5313,0.1690617,0.21733811,0.17714818,0.17630991
t_1061,-88.21935,13.5313,0.12618719,0.17675827,0.1332934,0.15330635
t_1062,-88.21935,13.54877,0.12254277,0.1794984,0.1302209,0.15268567
t_1063,-88.09358,13.51383,0.12883995,0.16190189,0.1371231,0.12874052
t_1064,-88.11155,13.5313,0.1199045,0.15895766,0.12879734,0.12812638
t_1065,-88.12952,13.5313,0.12365085,0.15768786,0.13174938,0.12883519
t_1066,-88.09358,13.5313,0.12446882,0.16314657,0.13387896,0.12755406
t_1067,-88.12952,13.54877,0.14618482,0.16732511,0.15262373,0.13047785
t_1068,-88.11155,13.54877,0.11332811,0.15994576,0.122989774,0.12772433
t_1069,-88.09358,13.54877,0.14478883,0.17081353,0.15280023,0.1266797
t_107,-88.02172,13.30411,0.20295578,0.20192781,0.19974096,0.17430685
t_1070,-88.12952,13.56623,0.13520207,0.17183939,0.14492474,0.12907831
t_1071,-88.09358,13.56623,0.1298662,0.1715567,0.14087301,0.1258973
t_1072,-88.11155,13.56623,0.118770026,0.16651607,0.1295013,0.1273192
t_1073,-88.14748,13.5313,0.12286831,0.1556601,0.1304393,0.13010646
t_1074,-88.18342,13.5313,0.13548827,0.16255948,0.14182563,0.1372359
t_1075,-88.20138,13.5313,0.120531864,0.16510928,0.12763056,0.1442132
t_1076,-88.16545,13.5313,0.14909971,0.15896751,0.15216632,0.13411118
t_1077,-88.20138,13.54877,0.1265004,0.1741924,0.13486074,0.14476645
t_1078,-88.16545,13.54877,0.12913305,0.16566652,0.13751386,0.13401282
t_1079,-88.14748,13.54877,0.1260304,0.16348715,0.13478494,0.13099664
t_108,-88.00375,13.3216,0.14921376,0.18327585,0.15374513,0.1597623
t_1080,-88.18342,13.54877,0.15236732,0.17317648,0.1580397,0.13852975
t_1081,-88.14748,13.56623,0.115954205,0.16524965,0.12573618,0.13142388
t_1082,-88.18342,13.56623,0.1262921,0.17483537,0.13586906,0.13901867
t_1083,-88.25528,13.54877,0.17970641,0.22065654,0.18805288,0.17290862
t_1084,-88.23731,13.54877,0.15265372,0.20212223,0.16152631,0.16210811
t_1085,-88.21935,13.56623,0.12572582,0.18557532,0.13457845,0.15168406
t_1086,-88.25528,13.56623,0.17924218,0.22225782,0.18858485,0.16942865
t_1087,-88.23731,13.56623,0.14713636,0.20358044,0.15700416,0.15995027
t_1088,-88.25528,13.5837,0.1752764,0.22308771,0.18587154,0.16575803
t_1089,-88.21935,13.5837,0.17916174,0.20237201,0.1858864,0.15186681
t_109,-88.02172,13.3216,0.14901747,0.1894126,0.1535885,0.16595721
t_1090,-88.23731,13.5837,0.14487599,0.20547174,0.15565185,0.15747346
t_1091,-88.23731,13.60116,0.18264624,0.2149611,0.19159578,0.15637535
t_1092,-88.25528,13.60116,0.1807322,0.22445402,0.1915108,0.16188508
t_1093,-88.20138,13.56623,0.16006058,0.18842031,0.16746433,0.1446857
t_1094,-88.16545,13.56623,0.11343272,0.16539279,0.122630954,0.13464965
t_1095,-88.16545,13.5837,0.13060226,0.17873268,0.14145304,0.13462766
t_1096,-88.18342,13.5837,0.118760005,0.17620763,0.12882547,0.13879915
t_1097,-88.14748,13.5837,0.11156759,0.16745201,0.1218323,0.13134882
t_1098,-88.20138,13.5837,0.14499977,0.19183621,0.15555973,0.1439752
t_1099,-88.16545,13.60116,0.1324978,0.18409789,0.1443888,0.13403413
t_11,-87.91392,13.18169,0.2245393,0.19435261,0.2169025,0.18734606
t_110,-87.98579,13.3216,0.14059801,0.17324123,0.14509745,0.15318468
t_1100,-88.20138,13.60116,0.15701166,0.19870205,0.16772227,0.14270508
t_1101,-88.14748,13.60116,0.13359104,0.18218698,0.1455871,0.13079904
t_1102,-88.18342,13.60116,0.13035807,0.18634684,0.14206375,0.13797587
t_1103,-88.11155,13.5837,0.13152468,0.17543143,0.14303583,0.12675425
t_1104,-88.09358,13.5837,0.1415316,0.17792435,0.15239671,0.12506053
t_1105,-88.12952,13.5837,0.1567235,0.17929775,0.1642285,0.13021497
t_1106,-88.12952,13.60116,0.15211473,0.18415174,0.1620495,0.12957086
t_1107,-88.11155,13.60116,0.12901525,0.17819165,0.14155722,0.12595941
t_1108,-88.09358,13.60116,0.12819362,0.17738913,0.14061101,0.1240879
t_1109,-88.12952,13.61862,0.15929933,0.18831643,0.16861992,0.12858605
t_111,-87.98579,13.33908,0.12037766,0.16143784,0.124790415,0.11731065
t_1110,-88.09358,13.61862,0.15510346,0.18568593,0.16431229,0.124301
t_1111,-88.11155,13.61862,0.13819945,0.1843007,0.15034127,0.12491467
t_1112,-88.11155,13.63608,0.15820117,0.189709,0.16736305,0.124996364
t_1113,-88.21935,13.60116,0.16786852,0.20644519,0.17797722,0.14826833
t_1114,-88.25528,13.61862,0.16692118,0.22265859,0.17959955,0.1578448
t_1115,-88.23731,13.61862,0.17317745,0.21641637,0.18448605,0.15156576
t_1116,-88.21935,13.61862,0.15235367,0.20650864,0.16494243,0.14593697
t_1117,-88.25528,13.63608,0.17825612,0.22398227,0.1904203,0.15369733
t_1118,-88.23731,13.63608,0.1677605,0.2166743,0.18040772,0.14824475
t_1119,-88.21935,13.63608,0.13798787,0.20286314,0.1513528,0.14329283
t_112,-88.02172,13.33908,0.17812759,0.19266835,0.17960925,0.1600643
t_1120,-88.25528,13.65354,0.14427254,0.21406597,0.15824315,0.14950712
t_1121,-88.21935,13.65354,0.14581281,0.20718661,0.16012794,0.14041796
t_1122,-88.23731,13.65354,0.15299179,0.2136025,0.16725206,0.14477445
t_1123,-88.20138,13.61862,0.16510257,0.20296805,0.17574623,0.14252529
t_1124,-88.14748,13.61862,0.15293024,0.19028904,0.164079,0.1312643
t_1125,-88.16545,13.61862,0.14632618,0.19208437,0.1585428,0.13295896
t_1126,-88.18342,13.61862,0.14070036,0.19392508,0.15339218,0.13665245
t_1127,-88.14748,13.63608,0.14489734,0.19223161,0.15734167,0.12849909
t_1128,-88.20138,13.63608,0.1364805,0.19842607,0.14997904,0.1388524
t_1129,-88.16545,13.63608,0.14071408,0.19366467,0.15401173,0.1314884
t_113,-88.03968,13.28663,0.15720183,0.20493826,0.16023642,0.18592015
t_1130,-88.18342,13.63608,0.14457305,0.19790766,0.15801722,0.13492641
t_1131,-88.18342,13.65354,0.14993188,0.2012823,0.16313766,0.13288616
t_1132,-88.20138,13.65354,0.15487723,0.20589681,0.16840148,0.1364526
t_1133,-88.12952,13.63608,0.15374549,0.1913696,0.16435748,0.12729503
t_1134,-88.09358,13.63608,0.13182792,0.18365735,0.14415973,0.12161158
t_1135,-88.12952,13.65354,0.12818518,0.18680848,0.14103799,0.12436578
t_1136,-88.09358,13.65354,0.16230617,0.19010201,0.17005962,0.121436276
t_1137,-88.11155,13.65354,0.13692787,0.18859358,0.14918603,0.12212619
t_1138,-88.12952,13.671,0.12622768,0.1873509,0.13898212,0.122614525
t_1139,-88.11155,13.671,0.14891014,0.19285558,0.1596677,0.12176941
t_114,-88.05765,13.28663,0.15687689,0.21078241,0.15935175,0.19230339
t_1140,-88.09358,13.671,0.12866317,0.18546878,0.14094125,0.11844836
t_1141,-88.12952,13.68846,0.1089982,0.17750366,0.12048418,0.12069227
t_1142,-88.11155,13.68846,0.12028781,0.18359947,0.13259262,0.11859517
t_1143,-88.14748,13.65354,0.15262595,0.1959271,0.16408475,0.12827781
t_1144,-88.16545,13.65354,0.1407197,0.19584127,0.1539792,0.12970193
t_1145,-88.20138,13.671,0.11023684,0.18413664,0.12165973,0.106026106
t_1146,-88.18342,13.671,0.116779685,0.18719916,0.12920879,0.13060947
t_1147,-88.14748,13.671,0.11891307,0.1849339,0.13147023,0.12501393
t_1148,-88.16545,13.671,0.12178143,0.1885033,0.13466035,0.12767062
t_1149,-88.20138,13.68846,0.12386378,0.1944773,0.13703346,0.1310981
t_115,-88.07562,13.30411,0.1544437,0.21182896,0.15723257,0.19072293
t_1150,-88.16545,13.68846,0.11161595,0.1824211,0.12341247,0.12545636
t_1151,-88.18342,13.68846,0.12041882,0.190325,0.13320358,0.12816297
t_1152,-88.14748,13.68846,0.11798265,0.18525863,0.13040122,0.12297121
t_1153,-88.84817,13.26914,0.36372483,0.44468445,0.3254102,0.47704467
t_1154,-88.7763,13.25166,0.47077376,0.42011654,0.43068063,0.47543356
t_1155,-88.79427,13.25166,0.4561248,0.43685415,0.4189332,0.4795627
t_1156,-88.81224,13.25166,0.4685388,0.42368042,0.42834234,0.48401675
t_1157,-88.7763,13.26914,0.45693028,0.42214575,0.42066145,0.4637025
t_1158,-88.81224,13.26914,0.35763845,0.45396936,0.3215266,0.46704596
t_1159,-88.79427,13.26914,0.46674937,0.41012946,0.42755628,0.4677508
t_116,-88.03968,13.30411,0.14561044,0.19618386,0.1489036,0.1786553
t_1160,-88.79427,13.28663,0.4688112,0.38909337,0.42890283,0.4553417
t_1161,-88.8302,13.26914,0.45246693,0.4254359,0.41581663,0.47185382
t_1162,-88.8841,13.28663,0.3646248,0.4263759,0.3262808,0.47691846
t_1163,-88.8302,13.28663,0.47584745,0.38239732,0.43357322,0.464691
t_1164,-88.86613,13.28663,0.4656871,0.40102565,0.42644677,0.47593787
t_1165,-88.84817,13.28663,0.46296144,0.4022882,0.424418,0.4700924
t_1166,-88.84817,13.30411,0.4639367,0.38533837,0.42519063,0.457214
t_1167,-88.86613,13.30411,0.47559008,0.3727961,0.43356943,0.46329018
t_1168,-88.8302,13.30411,0.46806768,0.37605318,0.42789412,0.45167914
t_1169,-88.8841,13.30411,0.35813728,0.41713232,0.3221791,0.4647273
t_117,-88.05765,13.30411,0.15008643,0.2041117,0.15315874,0.18473662
t_1170,-88.7763,13.28663,0.4728944,0.37927392,0.43205082,0.45142028
t_1171,-88.81224,13.28663,0.45216072,0.41157475,0.41658053,0.45976952
t_1172,-88.81224,13.30411,0.46070537,0.38441256,0.42281646,0.44672447
t_1173,-88.79427,13.30411,0.46498868,0.37521505,0.42590657,0.44236392
t_1174,-88.7763,13.30411,0.46111393,0.38046616,0.42360637,0.43860906
t_1175,-88.81224,13.3216,0.47040492,0.34116673,0.42920977,0.46216166
t_1176,-88.7763,13.3216,0.4589027,0.36192593,0.421596,0.42525658
t_1177,-88.79427,13.3216,0.45124793,0.37629133,0.415998,0.42881134
t_1178,-88.79427,13.33908,0.4540723,0.34864303,0.41719234,0.44255623
t_1179,-88.81224,13.33908,0.45274857,0.35455373,0.41618082,0.4188525
t_118,-88.05765,13.3216,0.2404381,0.19842294,0.22543414,0.19160336
t_1180,-88.90207,13.30411,0.4907528,0.35812613,0.44504818,0.47688252
t_1181,-88.92003,13.30411,0.3670842,0.40942582,0.32850927,0.47896364
t_1182,-88.90207,13.3216,0.48837686,0.3423745,0.44352278,0.4955321
t_1183,-88.938,13.3216,0.48666653,0.36479864,0.44363865,0.48042062
t_1184,-88.92003,13.3216,0.4854523,0.35927853,0.44203907,0.47221038
t_1185,-88.92003,13.33908,0.481684,0.34903842,0.43951723,0.45967063
t_1186,-88.90207,13.33908,0.46681485,0.36285684,0.42837948,0.4512878
t_1187,-88.938,13.33908,0.48886946,0.34622034,0.44547087,0.46844023
t_1188,-88.92003,13.35656,0.46632358,0.35555682,0.42900535,0.44674242
t_1189,-88.90207,13.35656,0.46181083,0.35307845,0.42487052,0.4377782
t_119,-88.03968,13.3216,0.20940152,0.20268399,0.20438722,0.17377132
t_1190,-88.8841,13.3216,0.4756921,0.36026055,0.433897,0.4569152
t_1191,-88.86613,13.3216,0.46776935,0.3665109,0.42791557,0.45000762
t_1192,-88.8302,13.3216,0.45511097,0.37559265,0.41857186,0.43804407
t_1193,-88.84817,13.3216,0.46455768,0.3660974,0.42528787,0.4437014
t_1194,-88.8302,13.33908,0.46151614,0.34286198,0.42230317,0.45228156
t_1195,-88.8841,13.33908,0.46276978,0.36149704,0.42481863,0.4434057
t_1196,-88.86613,13.33908,0.46289387,0.35458845,0.42417863,0.43614322
