# 20010113_M7.7_Subduction median gmf, Stations:None, gmlt:MARN, Rupture:USGS
custom_site_id,lon,lat,AbrahamsonEtAl2018SSlabHigh,MontalvaEtAl2016SSlab,SiEtAl2020SSlab,ZhaoEtAl2006SSlabCascadia
t_0,-88.07562,13.1642,0.21138942,0.4025666,0.3200044,0.26394272
t_1,-88.03968,13.1642,0.20433843,0.3813842,0.3117112,0.253756
t_10,-87.91392,13.1642,0.28250498,0.33737814,0.4156384,0.2330184
t_100,-87.96782,13.3216,0.16830404,0.33338487,0.2743548,0.1810271
t_1000,-88.27325,13.5837,0.16911349,0.382681,0.27998742,0.15667032
t_1001,-88.29121,13.60116,0.1472392,0.369888,0.24669886,0.15488432
t_1002,-88.27325,13.60116,0.19576968,0.3743987,0.31416875,0.15416369
t_1003,-88.41698,13.5837,0.17943455,0.4184242,0.2922183,0.17826799
t_1004,-88.39901,13.5837,0.1764949,0.4140345,0.28830808,0.17535344
t_1005,-88.38104,13.5837,0.16296054,0.40436986,0.26787475,0.17250371
t_1006,-88.38104,13.60116,0.18812548,0.40411115,0.30552417,0.16773349
t_1007,-88.39901,13.60116,0.1689845,0.40358987,0.27778065,0.17047697
t_1008,-88.41698,13.60116,0.17254524,0.40817797,0.28270262,0.17328213
t_1009,-88.38104,13.61862,0.1738317,0.394516,0.2860935,0.1631403
t_101,-87.94985,13.3216,0.16041394,0.32127294,0.26235765,0.17777641
t_1010,-88.39901,13.61862,0.16906244,0.3962723,0.27872962,0.16578268
t_1011,-88.41698,13.61862,0.16262825,0.39606395,0.26827705,0.16848378
t_1012,-88.39901,13.63608,0.15581332,0.3825807,0.25905758,0.16126175
t_1013,-88.34511,13.5837,0.14865291,0.38741785,0.24579953,0.16699284
t_1014,-88.36308,13.60116,0.16195136,0.39358935,0.2679483,0.16505142
t_1015,-88.34511,13.60116,0.17024209,0.39342064,0.28097063,0.16242604
t_1016,-88.32715,13.60116,0.1851208,0.39124244,0.3016646,0.15985864
t_1017,-88.34511,13.61862,0.1727807,0.38695806,0.28507182,0.1580265
t_1018,-88.36308,13.61862,0.17980276,0.3918428,0.29460946,0.1605564
t_1019,-88.32715,13.61862,0.14949793,0.37291098,0.25021327,0.15555187
t_102,-87.93189,13.3216,0.15587522,0.31176606,0.25574976,0.17449681
t_1020,-88.34511,13.63608,0.16077316,0.37630367,0.26812252,0.1537863
t_1021,-88.36308,13.63608,0.14526363,0.3698474,0.24310581,0.15622523
t_1022,-88.32715,13.63608,0.12676522,0.34642363,0.21281208,0.119932115
t_1023,-88.30918,13.60116,0.15360521,0.37798,0.25640318,0.15734476
t_1024,-88.29121,13.61862,0.16151239,0.3719557,0.26960453,0.15075558
t_1025,-88.30918,13.61862,0.1372994,0.35966933,0.23056208,0.15312824
t_1026,-88.27325,13.61862,0.15548292,0.36543068,0.26094478,0.14843376
t_1027,-88.27325,13.63608,0.14954747,0.35670516,0.2525006,0.14453316
t_1028,-88.30918,13.63608,0.13711742,0.3543195,0.23139358,0.14906251
t_1029,-88.29121,13.63608,0.13575327,0.34998882,0.22971335,0.14677356
t_103,-88.02172,13.28663,0.18924965,0.3680083,0.30235353,0.20220622
t_1030,-88.27325,13.65354,0.11446406,0.31881398,0.19433676,0.11151054
t_1031,-88.29121,13.65354,0.13001019,0.33965182,0.2210143,0.14293152
t_1032,-88.30918,13.65354,0.11305938,0.32181787,0.19038261,0.11497363
t_1033,-88.41698,13.63608,0.16075318,0.38797173,0.26631626,0.16386381
t_1034,-88.38104,13.63608,0.16808009,0.38554555,0.2782717,0.15871562
t_1035,-88.39901,13.65354,0.13729443,0.36144224,0.2294413,0.15690586
t_1036,-88.41698,13.65354,0.16319317,0.38215384,0.27090678,0.1594136
t_1037,-88.38104,13.65354,0.13734357,0.35947964,0.23025347,0.15445143
t_1038,-88.38104,13.671,0.12745109,0.34366894,0.21435346,0.11909253
t_1039,-88.39901,13.671,0.1353249,0.35379755,0.22730725,0.15270722
t_104,-88.00375,13.28663,0.1778629,0.3536103,0.2851306,0.19867393
t_1040,-88.41698,13.671,0.14478172,0.36403245,0.24259377,0.15512508
t_1041,-88.41698,13.68846,0.14048766,0.35443604,0.2365329,0.15099064
t_1042,-88.39901,13.68846,0.12541178,0.33771676,0.21129572,0.117760345
t_1043,-88.32715,13.65354,0.15324064,0.363185,0.25770107,0.14739606
t_1044,-88.34511,13.65354,0.124436416,0.3412019,0.20924315,0.118583776
t_1045,-88.36308,13.65354,0.123496234,0.34214425,0.20681742,0.120447084
t_1046,-88.32715,13.671,0.1683769,0.36156633,0.2796156,0.14353302
t_1047,-88.34511,13.671,0.13932495,0.35099012,0.23593302,0.14575446
t_1048,-88.36308,13.671,0.12642215,0.34063807,0.21327169,0.117257684
t_1049,-88.34511,13.68846,0.12679982,0.3340293,0.21576828,0.14194915
t_105,-88.00375,13.30411,0.17256074,0.34964874,0.27808455,0.19294848
t_1050,-88.36308,13.68846,0.12558168,0.3346592,0.2129953,0.14413966
t_1051,-88.32715,13.68846,0.12755758,0.3326518,0.21768928,0.13980454
t_1052,-88.36308,13.70591,0.14967418,0.34870678,0.25330698,0.140393
t_1053,-88.21935,13.49636,0.17739491,0.39957643,0.2902332,0.17151281
t_1054,-88.23731,13.49636,0.16721657,0.40111324,0.27422068,0.17433202
t_1055,-88.25528,13.49636,0.15700622,0.39984792,0.25685552,0.17721666
t_1056,-88.21935,13.51383,0.17152448,0.3919912,0.2822559,0.1667726
t_1057,-88.23731,13.51383,0.16720687,0.39571583,0.27523175,0.16948682
t_1058,-88.25528,13.51383,0.1679526,0.4015145,0.27582473,0.1722633
t_1059,-88.23731,13.5313,0.1426089,0.37310705,0.23616958,0.16482244
t_106,-87.98579,13.30411,0.20853244,0.35949382,0.33170104,0.18958269
t_1060,-88.25528,13.5313,0.1694145,0.39635342,0.2789763,0.16749603
t_1061,-88.21935,13.5313,0.14391094,0.36960244,0.23917246,0.16220815
t_1062,-88.21935,13.54877,0.13512029,0.35691074,0.22540858,0.15781099
t_1063,-88.09358,13.51383,0.15918557,0.34757778,0.2663519,0.14932835
t_1064,-88.11155,13.5313,0.14791763,0.34281644,0.24939483,0.1476436
t_1065,-88.12952,13.5313,0.15520309,0.3524626,0.26029137,0.14994462
t_1066,-88.09358,13.5313,0.15050767,0.33934495,0.25383782,0.14539012
t_1067,-88.12952,13.54877,0.17591561,0.35407513,0.28950182,0.14760013
