# 20010113_M7.7_Subduction median gmf, Stations:None, gmlt:GEM, Rupture:USGS
custom_site_id,lon,lat,AbrahamsonEtAl2015SInterHigh,MontalvaEtAl2017SInter,ZhaoEtAl2006SInter
t_0,-88.07562,13.1642,0.13303694,0.20402348,0.25990042
t_1,-88.03968,13.1642,0.12962963,0.1979985,0.25297302
t_10,-87.91392,13.1642,0.14999932,0.19691351,0.24409975
t_100,-87.96782,13.3216,0.11088647,0.16096486,0.19984002
t_1000,-88.27325,13.5837,0.109690964,0.1534458,0.18029237
t_1001,-88.29121,13.60116,0.10066099,0.14404055,0.17881683
t_1002,-88.27325,13.60116,0.118596934,0.15902728,0.1787741
t_1003,-88.41698,13.5837,0.11516728,0.16448997,0.19767673
t_1004,-88.39901,13.5837,0.11382947,0.16243711,0.19537799
t_1005,-88.38104,13.5837,0.1082096,0.15613142,0.19311664
t_1006,-88.38104,13.60116,0.11759832,0.16358405,0.18930015
t_1007,-88.39901,13.60116,0.11054859,0.15797867,0.19149992
t_1008,-88.41698,13.60116,0.11214209,0.16026565,0.19373569
t_1009,-88.38104,13.61862,0.11196085,0.1573412,0.18558745
t_101,-87.94985,13.3216,0.107416965,0.1565553,0.19729002
t_1010,-88.39901,13.61862,0.110285185,0.15649262,0.1877279
t_1011,-88.41698,13.61862,0.10785001,0.15477586,0.18990305
t_1012,-88.39901,13.63608,0.1046258,0.14970222,0.18405801
t_1013,-88.34511,13.5837,0.10183445,0.1480725,0.18870403
t_1014,-88.36308,13.60116,0.107377544,0.15344161,0.1871368
t_1015,-88.34511,13.60116,0.11052661,0.15581661,0.1850067
t_1016,-88.32715,13.60116,0.115840636,0.15967712,0.18291144
t_1017,-88.34511,13.61862,0.111188024,0.15518647,0.18140876
t_1018,-88.36308,13.61862,0.11399493,0.15837939,0.1834821
t_1019,-88.32715,13.61862,0.101662196,0.14525075,0.17936905
t_102,-87.93189,13.3216,0.105317526,0.15354885,0.19469967
t_1020,-88.34511,13.63608,0.10622582,0.14939937,0.17790662
t_1021,-88.36308,13.63608,0.099866904,0.14350611,0.17992522
t_1022,-88.32715,13.63608,0.09128058,0.1328975,0.13935602
