# 20010113_M7.7_Subduction median gmf, Stations:Seismic, gmlt:GEM, Rupture:GCMT
custom_site_id,lon,lat,AbrahamsonEtAl2015SInterHigh,MontalvaEtAl2017SInter,ZhaoEtAl2006SInter
s_21,-88.17603,13.48032,0.192026,0.18921302,0.17327756
s_24,-88.62596,13.87493,0.15153335,0.14900039,0.13810115
s_25,-87.82263,13.33241,0.13316779,0.13197164,0.12642327
s_26,-89.49795,14.32681,0.12459391,0.12406526,0.12246573
t_0,-88.07562,13.1642,0.1607991,0.16925758,0.1826895
t_1,-88.03968,13.1642,0.15495682,0.1624013,0.17522109
t_10,-87.91392,13.1642,0.19145872,0.18042001,0.1641685
t_100,-87.96782,13.3216,0.14396524,0.14602569,0.14762202
t_1000,-88.27325,13.5837,0.19926131,0.19730854,0.18639183
t_1001,-88.29121,13.60116,0.1837797,0.18515112,0.18737294
t_1002,-88.27325,13.60116,0.21587436,0.20687786,0.1819809
t_1003,-88.41698,13.5837,0.28795227,0.28563204,0.28098932
t_1004,-88.39901,13.5837,0.2737921,0.27225417,0.26766187
t_1005,-88.38104,13.5837,0.2480409,0.24944599,0.25361046
t_1006,-88.38104,13.60116,0.25822997,0.25260255,0.23490418
t_1007,-88.39901,13.60116,0.24819313,0.24736424,0.24513794
t_1008,-88.41698,13.60116,0.2586651,0.25712308,0.25430235
t_1009,-88.38104,13.61862,0.23204513,0.22903611,0.21842635
t_101,-87.94985,13.3216,0.13844952,0.14078175,0.14482206
t_1010,-88.39901,13.61862,0.23316473,0.2314317,0.2258828
t_1011,-88.41698,13.61862,0.23113315,0.23095092,0.23219304
t_1012,-88.39901,13.63608,0.20852931,0.20867074,0.20961295
t_1013,-88.34511,13.5837,0.2126136,0.2160094,0.22688326
t_1014,-88.36308,13.60116,0.22515818,0.22537656,0.22440083
t_1015,-88.34511,13.60116,0.22461744,0.22283515,0.21415007
t_1016,-88.32715,13.60116,0.2292232,0.22377002,0.20447889
t_1017,-88.34511,13.61862,0.21848841,0.21519832,0.20236038
t_1018,-88.36308,13.61862,0.23098135,0.2263524,0.21043724
t_1019,-88.32715,13.61862,0.19234927,0.19323345,0.19451058
t_102,-87.93189,13.3216,0.13506483,0.13731757,0.14211537
t_1020,-88.34511,13.63608,0.20085898,0.1991775,0.19165534
t_1021,-88.36308,13.63608,0.19163382,0.19304432,0.19802949
t_1022,-88.32715,13.63608,0.16665888,0.17011799,0.14677723
t_1023,-88.30918,13.60116,0.19530517,0.19602312,0.19553371
t_1024,-88.29121,13.61862,0.19181165,0.18983014,0.18012375
t_1025,-88.30918,13.61862,0.17632906,0.17875683,0.1870646
t_1026,-88.27325,13.61862,0.18225513,0.18100579,0.17372778
t_1027,-88.27325,13.63608,0.17461318,0.17358243,0.16770422
t_1028,-88.30918,13.63608,0.17196062,0.17361736,0.17910586
t_1029,-88.29121,13.63608,0.16697334,0.16846615,0.17322312
t_103,-88.02172,13.28663,0.15654872,0.15952635,0.1600919
t_1030,-88.27325,13.65354,0.14295508,0.14615479,0.12831171
t_1031,-88.29121,13.65354,0.15901305,0.16060293,0.16674365
t_1032,-88.30918,13.65354,0.14698377,0.15103051,0.13603848
t_1033,-88.41698,13.63608,0.21532562,0.21479008,0.21400484
t_1034,-88.38104,13.63608,0.21599065,0.21342826,0.20413496
t_1035,-88.39901,13.65354,0.18203881,0.18452416,0.19594051
t_1036,-88.41698,13.65354,0.20611759,0.20445327,0.1990699
t_1037,-88.38104,13.65354,0.18014337,0.18233053,0.19184798
t_1038,-88.38104,13.671,0.16474733,0.16763122,0.1436373
t_1039,-88.39901,13.671,0.17288364,0.1749698,0.18446176
t_104,-88.00375,13.28663,0.14879446,0.15235886,0.15688495
t_1040,-88.41698,13.671,0.1815069,0.18246233,0.18677928
t_1041,-88.41698,13.68846,0.17123058,0.17223632,0.176609
t_1042,-88.39901,13.68846,0.15834424,0.16114867,0.13846876
t_1043,-88.32715,13.65354,0.18475644,0.18335915,0.17687634
t_1044,-88.34511,13.65354,0.16304336,0.16640095,0.14422053
t_1045,-88.36308,13.65354,0.16492699,0.16872536,0.1482345
t_1046,-88.32715,13.671,0.19179307,0.18669283,0.16927366
t_1047,-88.34511,13.671,0.171259,0.17179999,0.17353281
t_1048,-88.36308,13.671,0.1621771,0.16489452,0.14069553
t_1049,-88.34511,13.68846,0.15642844,0.15813352,0.16598399
t_105,-88.00375,13.30411,0.14700802,0.15042232,0.15521832
t_1050,-88.36308,13.68846,0.15682621,0.15900779,0.1693232
t_1051,-88.32715,13.68846,0.15537573,0.15665692,0.16243628
t_1052,-88.36308,13.70591,0.17243835,0.17029497,0.16210437
t_1053,-88.21935,13.49636,0.19305752,0.193389,0.18623745
t_1054,-88.23731,13.49636,0.19126329,0.1938325,0.19439942
t_1055,-88.25528,13.49636,0.18979077,0.19448917,0.20390368
t_1056,-88.21935,13.51383,0.188739,0.18902409,0.18268828
t_1057,-88.23731,13.51383,0.19123897,0.19277579,0.19054978
t_1058,-88.25528,13.51383,0.19871078,0.2006921,0.19967751
t_1059,-88.23731,13.5313,0.17084594,0.17499158,0.18632205
t_106,-87.98579,13.30411,0.16692248,0.16521175,0.15216793
t_1060,-88.25528,13.5313,0.19906358,0.19971563,0.19494334
t_1061,-88.21935,13.5313,0.16696516,0.17041877,0.17885743
t_1062,-88.21935,13.54877,0.15930456,0.16305408,0.17480104
t_1063,-88.09358,13.51383,0.15767089,0.15651861,0.14816874
t_1064,-88.11155,13.5313,0.15212627,0.15230016,0.1491983
t_1065,-88.12952,13.5313,0.1593093,0.1588773,0.15293494
t_1066,-88.09358,13.5313,0.1521449,0.15152505,0.1457598
t_1067,-88.12952,13.54877,0.17341082,0.1686341,0.15184195
t_1068,-88.11155,13.54877,0.14356485,0.1446698,0.14660293
t_1069,-88.09358,13.54877,0.16548726,0.16090189,0.1433021
t_107,-88.02172,13.30411,0.18283598,0.17835799,0.16014294
t_1070,-88.12952,13.56623,0.1609683,0.15863098,0.14736803
t_1071,-88.09358,13.56623,0.1515823,0.14975744,0.1408081
t_1072,-88.11155,13.56623,0.14520365,0.14538871,0.14396134
t_1073,-88.14748,13.5313,0.1624438,0.16230373,0.15702346
t_1074,-88.18342,13.5313,0.1776841,0.17644833,0.16661555
t_1075,-88.20138,13.5313,0.1636919,0.16649246,0.17234014
t_1076,-88.16545,13.5313,0.18739568,0.18202521,0.16333286
t_1077,-88.20138,13.54877,0.1638312,0.1657528,0.1686569
t_1078,-88.16545,13.54877,0.16508363,0.16459474,0.15840538
t_1079,-88.14748,13.54877,0.16026297,0.15979998,0.15408483
t_108,-88.00375,13.3216,0.15159988,0.15373379,0.1535348
t_1080,-88.18342,13.54877,0.1853507,0.1810596,0.16323157
