# 20010113_M7.7_Subduction median gmf, Stations:None, gmlt:MARN, Rupture:GCMT
custom_site_id,lon,lat,AbrahamsonEtAl2018SSlabHigh,MontalvaEtAl2016SSlab,SiEtAl2020SSlab,ZhaoEtAl2006SSlabCascadia
t_0,-88.07562,13.1642,0.098441415,0.1982363,0.16459624,0.11454845
t_1,-88.03968,13.1642,0.09396543,0.18830001,0.15672293,0.108923845
t_10,-87.91392,13.1642,0.14019415,0.2066832,0.21815777,0.098518506
t_100,-87.96782,13.3216,0.084348455,0.17299993,0.13907017,0.08613723
t_1000,-88.27325,13.5837,0.09880922,0.22915056,0.16175115,0.08750456
t_1001,-88.29121,13.60116,0.08554941,0.21563613,0.14111559,0.08704292
t_1002,-88.27325,13.60116,0.11729029,0.24071838,0.18672287,0.086598925
t_1003,-88.41698,13.5837,0.10526782,0.26087794,0.1742419,0.09986511
t_1004,-88.39901,13.5837,0.10340435,0.2557078,0.1710454,0.09819915
t_1005,-88.38104,13.5837,0.094830014,0.24297689,0.15724473,0.0965696
t_1006,-88.38104,13.60116,0.11174731,0.257504,0.18245383,0.09446444
t_1007,-88.39901,13.60116,0.099248104,0.24930261,0.164195,0.09604773
t_1008,-88.41698,13.60116,0.10151374,0.2548447,0.16801487,0.09766609
t_1009,-88.38104,13.61862,0.10302822,0.24801934,0.16921932,0.09241902
t_101,-87.94985,13.3216,0.07978779,0.16547774,0.13144566,0.08426373
t_1010,-88.39901,13.61862,0.09992402,0.24799272,0.1648611,0.09395772
t_1011,-88.41698,13.61862,0.09579955,0.24637307,0.15866396,0.09553024
t_1012,-88.39901,13.63608,0.09203434,0.23709634,0.15215234,0.091926895
t_1013,-88.34511,13.5837,0.085935295,0.22550055,0.14234123,0.09341654
t_1014,-88.36308,13.60116,0.09479081,0.23825823,0.1566768,0.09291612
t_1015,-88.34511,13.60116,0.1000945,0.24098414,0.16458589,0.0914001
t_1016,-88.32715,13.60116,0.109872006,0.2462126,0.17835267,0.08991716
t_1017,-88.34511,13.61862,0.10237594,0.24132268,0.16750087,0.089440204
t_1018,-88.36308,13.61862,0.10697201,0.24833687,0.17457019,0.09091404
t_1019,-88.32715,13.61862,0.08748504,0.22222792,0.14434884,0.087998286
t_102,-87.93189,13.3216,0.07712357,0.16033672,0.12690686,0.08242663
t_1020,-88.34511,13.63608,0.095192105,0.23244017,0.15632597,0.08753483
t_1021,-88.36308,13.63608,0.08535885,0.22321422,0.14101294,0.08896798
t_1022,-88.32715,13.63608,0.07387459,0.20132855,0.12166178,0.06823015
t_1023,-88.30918,13.60116,0.08953098,0.22340043,0.14768043,0.088464774
t_1024,-88.29121,13.61862,0.095102355,0.22554372,0.15567946,0.085202865
t_1025,-88.30918,13.61862,0.079888634,0.2092738,0.13179554,0.08658584
t_1026,-88.27325,13.61862,0.09124588,0.21867152,0.14955814,0.08384933
t_1027,-88.27325,13.63608,0.08799215,0.213721,0.14422965,0.08209579
t_1028,-88.30918,13.63608,0.08022692,0.20864108,0.13221031,0.08475858
t_1029,-88.29121,13.63608,0.079360254,0.20501778,0.13066873,0.08341313
t_103,-88.02172,13.28663,0.09466282,0.19074555,0.15678936,0.09511645
t_1030,-88.27325,13.65354,0.066668026,0.18204556,0.109245986,0.0636762
t_1031,-88.29121,13.65354,0.07622756,0.19942226,0.12536924,0.08167089
t_1032,-88.30918,13.65354,0.06588302,0.18466148,0.107937895,0.06573384
t_1033,-88.41698,13.63608,0.09518696,0.24361417,0.15738589,0.093455225
t_1034,-88.38104,13.63608,0.09991387,0.24296905,0.1640952,0.090431176
t_1035,-88.39901,13.65354,0.080896355,0.22022422,0.13369232,0.08995311
